row,label,type,local_id,dim,B42_0,B42_1,B42_2,B42_3,B42_4,B42_5,B42_6,B12_0,B12_1,B12_2,B12_3
0,face_00,face_line,0,1,0,0,0,1,0,0,0,0,0,1,0
1,triplet_00,complement_triplet,0,3,1,0,0,0,0,1,1,0,1,1,1
2,triplet_01,complement_triplet,1,3,1,1,0,0,1,0,0,0,2,0,1
3,face_01,face_line,1,1,0,0,0,0,1,0,0,0,0,0,1
4,face_02,face_line,2,1,0,0,0,0,0,0,1,0,0,1,0
5,face_03,face_line,3,1,1,0,0,0,0,0,0,0,1,0,0
6,face_04,face_line,4,1,1,0,0,0,0,0,0,0,1,0,0
7,face_05,face_line,5,1,0,0,0,1,0,0,0,0,0,1,0
8,triplet_02,complement_triplet,2,3,0,0,0,0,0,1,2,0,0,2,1
9,face_06,face_line,6,1,0,0,0,0,0,1,0,0,0,0,1
10,face_07,face_line,7,1,0,0,0,0,0,1,0,0,0,0,1
11,face_08,face_line,8,1,0,0,0,0,1,0,0,0,0,0,1
12,triplet_03,complement_triplet,3,3,0,0,0,1,1,1,0,0,0,1,2
13,face_09,face_line,9,1,0,1,0,0,0,0,0,0,1,0,0
14,face_10,face_line,10,1,0,0,0,0,0,1,0,0,0,0,1
15,face_11,face_line,11,1,0,0,0,0,0,0,1,0,0,1,0
16,terminal_5,terminal,5,5,0,0,0,1,1,2,1,0,0,2,3
17,face_12,face_line,12,1,0,0,0,1,0,0,0,0,0,1,0
18,face_13,face_line,13,1,0,0,0,1,0,0,0,0,0,1,0
19,triplet_04,complement_triplet,4,3,1,1,0,0,0,0,1,0,2,1,0
20,terminal_6,terminal,6,6,0,0,1,0,0,0,0,1,1,1,1
21,face_14,face_line,14,1,0,0,0,0,0,1,0,0,0,0,1
22,terminal_4,terminal,4,4,0,0,0,1,1,1,1,0,0,2,2
23,face_15,face_line,15,1,1,0,0,0,0,0,0,0,1,0,0
24,triplet_05,complement_triplet,5,3,1,1,0,1,0,0,0,0,2,1,0
25,terminal_7,terminal,7,7,1,0,0,0,2,2,2,0,1,2,4
26,face_16,face_line,16,1,0,0,0,0,1,0,0,0,0,0,1
27,triplet_06,complement_triplet,6,3,2,0,0,0,0,0,1,0,2,1,0
28,triplet_07,complement_triplet,7,3,1,1,0,0,0,0,1,0,2,1,0
29,triplet_08,complement_triplet,8,3,0,0,0,0,2,1,0,0,0,0,3
30,triplet_09,complement_triplet,9,3,0,1,0,1,1,0,0,0,1,1,1
31,face_17,face_line,17,1,1,0,0,0,0,0,0,0,1,0,0
32,face_18,face_line,18,1,0,0,0,0,0,1,0,0,0,0,1
33,face_19,face_line,19,1,0,1,0,0,0,0,0,0,1,0,0
