sample,word,final_equal,internal_scatter_l1,final_terms,final_hash
0,"(853, 568, 182, 495)",True,12268,104,1cada4f9245acaba077cd9214c8d798ac9baece04eed1c6be4fc144e3ca27a7d
1,"(422, 524, 713, 56)",True,2518,81,f3dd3fadeda376008a484efc335593daf38b89b077a23ff2f7ff3aefefc14103
2,"(610, 390, 425, 292)",True,476,20,eaa3a8b0161cb7c0dafa2b03bc23d04735e57ad6a573171c09a212828ad577b8
3,"(687, 860, 634, 683)",True,2922,44,8c86c90b72bf01d47d12b941ca3a7db6bee21392b5aadfce4029dbd10d5c47e8
4,"(322, 141, 27, 89)",True,734,32,2d21e967d9b785c89646c8206e08911eb8f8fe62f425bfa7a8a4ea048648faf8
5,"(127, 771, 223, 211)",True,11540,32,abaed38e4bd5330a843f0c7947b090f1b4749e54e49a386dfda7e89aa044829f
6,"(901, 966, 963, 951)",True,944,15,30e105510ccfc6255d45104322edb15369ac1bb15f482414c90234dae88de458
7,"(182, 359, 369, 507)",True,324,20,cee83b514dfeb28766627dc40320e2650c5b9d44e8138a4370a163fcbbbc7c34
8,"(594, 319, 148, 65)",True,11808,32,ee8ac0c1b7b532c620adcd3a4d3e816009d68910177c6b6d68a032a93443ec5a
9,"(644, 634, 605, 451)",True,2056,44,032a4c604418175a28a4e2e7b4e0c0642a9da3a7a9c0a60de8a20f29968f32d6
10,"(57, 345, 244, 295)",True,3392,15,d561f0b4c55f1e9b7730708b3f9a7560d78a7c791a36be5723b286b008b3aee8
11,"(287, 944, 915, 729)",True,2448,8,fbc77796c697840404cf44c226dd0cddf4f5c33564353c59c714be5e313f65b2
12,"(406, 446, 573, 285)",True,5398,40,e353524c61965f1ae0ee21116a5cddc73681cedfee845d16dfad5527c75d88f3
13,"(349, 478, 949, 941)",True,290,12,a97f122e917c9795b879119e658a8996113dca98900cf6f5b894d53dfa7b517d
14,"(931, 941, 911, 883)",True,416,15,66bb489c4172d780736a88d10630a3cdc271356a2a0c9b0f58139b9e29f4dadc
15,"(205, 892, 793, 347)",True,804,4,ee424ad91a14733718ca6fcca0ce95ca1b62c8f85ed2fc176e90d17ed3bac6da
16,"(688, 933, 904, 882)",True,1196,44,0b736af4bec3bccd8fb2a940e01bd0e418be5013023329228b371c062dc87c5c
17,"(682, 896, 835, 363)",True,1464,32,56acbb11797e2dfdb51b37947b9f55d08eefa43e9de19a71775e01a720a84ad1
18,"(489, 885, 792, 524)",True,2812,8,684d94cc38eb01ebd0bca9d8d453a2358b296b7c5fd1db66970bada7de1781c5
19,"(926, 766, 237, 272)",True,2928,72,c831dace44117df906e0633e4551afa0c84aa417cad7de8841611a243b1162e8
20,"(956, 750, 164, 183)",True,1970,44,b026bcf5b2154963aa7e48156be4bfeeb3e225e151bf6450701b72873576b36d
21,"(500, 762, 245, 441)",True,2120,32,02294e683af8018b1e2c7899271cec3950c4baa1dc30e7b951e2d2d88809b0d6
