package,layer,invariant,value,status,source,result,artifact
imported,base,D20 critical group,Z/2 x Z/12 x Z/60^3,CERTIFIED_BY_RECOMPUTATION,d20.json + this package,,
imported,base,critical group order,5184000,CERTIFIED_BY_RECOMPUTATION,d20.json + this package,,
imported,ECA,image quotient,Z/2,CERTIFIED_BY_RECOMPUTATION,ECA_pattern_basis.csv,,
imported,ECA,image size,2592000,CERTIFIED_BY_RECOMPUTATION,ECA_pattern_basis.csv,,
imported,family,ECA_all_ternary_boolean_functions_quotient,Z/2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,ECA_all_ternary_boolean_functions_image_size,2592000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Gates_all_binary_axis_pairs_quotient,Z/2^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Gates_all_binary_axis_pairs_image_size,1296000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Gates_common_logic_quotient,Z/2^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Gates_common_logic_image_size,1296000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_all_CNF_arity_1_to_3_quotient,Z/2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_all_CNF_arity_1_to_3_image_size,2592000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_2SAT_quotient,Z/2^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_2SAT_image_size,1296000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_3SAT_quotient,Z/2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_3SAT_image_size,2592000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_Horn_quotient,Z/2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_Horn_image_size,2592000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_XOR_quotient,Z/2^3,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_XOR_image_size,648000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_NAE3_quotient,Z/2^2 x Z/12,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Clauses_NAE3_image_size,108000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Proof_implication_resolution_xor_threshold_quotient,Z/2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Proof_implication_resolution_xor_threshold_image_size,2592000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,A985_frame_fields_quotient,Z/2 x Z/20 x Z/60,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,family,A985_frame_fields_image_size,2160,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv,,
imported,prior,sandpile_burningship,D20_SANDPILE_BURNINGSHIP_STATIC_ACTION_CERTIFIED,IMPORTED_CERTIFICATE_HASHED,d20_sandpile_burningship_certificate.json,,
imported,prior,fractal_sandpile,D20_FRACTAL_SANDPILE_INVESTIGATION_CERTIFIED,IMPORTED_CERTIFICATE_HASHED,d20_fractal_sandpile_certificate.json,,
