package,layer,invariant,value,status,source,version,result,artifact
v18,prior,v17_ledger,imported,HASHED_IN_CERTIFICATE,prior/v17_running_ledger.csv,v18,PRIOR_IMPORTED,prior/v17_running_ledger.csv
v18,external_solver_evidence,strong_bundle_files,21,CERTIFIED_BY_REPLAY,audit/external_analysis.json,v18,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
v18,external_solver_evidence,parsed_external_events,88,CERTIFIED_BY_REPLAY,audit/external_analysis.json,v18,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
v18,external_solver_evidence,nonempty_external_routes,10,CERTIFIED_BY_REPLAY,audit/external_analysis.json,v18,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
v18,external_solver_evidence,DRAT_proofs_verified,5/5,CERTIFIED_BY_DRAT_TRIM,audit/strong_cadical_drat_verification_summary.csv,v18,VERIFIED,external_solver_evidence_bundle_strong_cadical/
v18,external_solver_ordered_route,strong_cadical_rank_F2,5,CERTIFIED_BY_REPLAY,audit/external_analysis.json,v18,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
v18,external_solver_ordered_route,strong_cadical_rank_F3,5,CERTIFIED_BY_REPLAY,audit/external_analysis.json,v18,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
v18,external_solver_ordered_route,strong_cadical_rank_F5,5,CERTIFIED_BY_REPLAY,audit/external_analysis.json,v18,EVIDENCE_PRESENT,external_solver_evidence_bundle_strong_cadical/
v18,proof_route_cvx,proofs_audited,5,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,v18,C_PUBLIC_PROOF_TRACE,proof_artifact/cvx_proof_route_audit_v18.md
v18,proof_route_cvx,proof_steps,83,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,v18,C_PUBLIC_PROOF_TRACE,proof_artifact/cvx_proof_route_audit_v18.md
v18,proof_route_cvx,C_steps,83,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,v18,C_PUBLIC_PROOF_TRACE,proof_artifact/cvx_proof_route_audit_v18.md
v18,proof_route_cvx,V_steps,0,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,v18,NOT_DETECTED,proof_artifact/cvx_proof_route_audit_v18.md
v18,proof_route_cvx,X_steps,0,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,v18,NOT_DETECTED,proof_artifact/cvx_proof_route_audit_v18.md
v18,proof_route_cvx,extension_variables,0,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,v18,NOT_DETECTED,proof_artifact/cvx_proof_route_audit_v18.md
v18,proof_route_cvx,red_flags,0,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,v18,CLEAR,proof_artifact/cvx_proof_route_audit_v18.md
v18,theorem_route,supplied_cadical_drat_trace_type,C,CERTIFIED_BY_CVX_AUDIT,audit/cvx_proof_route_audit.json,v18,C_PUBLIC_PROOF_TRACE,proof_artifact/cvx_proof_route_audit_v18.md
v18,theorem_route,X_extractor_present,false,CERTIFIED_BY_TRACE_CLASSIFICATION,audit/cvx_proof_route_audit.json,v18,NOT_DETECTED,proof_artifact/cvx_proof_route_audit_v18.md
v18,theorem_route,e33_extraction_present,false,CERTIFIED_BY_TRACE_CLASSIFICATION,audit/cvx_proof_route_audit.json,v18,NOT_DETECTED,proof_artifact/cvx_proof_route_audit_v18.md
