benchmark,cadical_command,cadical_returncode,cadical_stderr,cadical_stdout,proof,proof_format,proof_sha256,proof_size,verified,verifier,verifier_command,verifier_returncode,verifier_stderr,verifier_stdout
scaled/horn_chain_16.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\cadical.exe --checkproof=3 --no-binary D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_16.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_drat\horn_chain_16.cadical.drat,20,logs/scaled_proof_runs/horn_chain_16.cadical_drat.stderr.txt,logs/scaled_proof_runs/horn_chain_16.cadical_drat.stdout.txt,proofs/scaled_cadical_drat/horn_chain_16.cadical.drat,DRAT,017c011ffc843b7b09f33b72b5ce51f4ad6c9750052478ee4cda15afd2c4d870,225,True,drat-trim,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\drat-trim.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_16.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_drat\horn_chain_16.cadical.drat,0,logs/scaled_proof_runs/horn_chain_16.drat_trim.stderr.txt,logs/scaled_proof_runs/horn_chain_16.drat_trim.stdout.txt
scaled/horn_chain_16.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\cadical.exe --lrat --checkproof=2 --no-binary D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_16.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_lrat\horn_chain_16.cadical.lrat,20,logs/scaled_proof_runs/horn_chain_16.cadical_lrat.stderr.txt,logs/scaled_proof_runs/horn_chain_16.cadical_lrat.stdout.txt,proofs/scaled_cadical_lrat/horn_chain_16.cadical.lrat,LRAT,059e80b1f60b79cad09ea8d637cb8cf8828fef2e998d253bf3d4911b0f8bb3f9,378,True,lrat-trim,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\lrat-trim.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_16.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_lrat\horn_chain_16.cadical.lrat,20,logs/scaled_proof_runs/horn_chain_16.lrat_trim.stderr.txt,logs/scaled_proof_runs/horn_chain_16.lrat_trim.stdout.txt
scaled/horn_chain_32.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\cadical.exe --checkproof=3 --no-binary D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_32.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_drat\horn_chain_32.cadical.drat,20,logs/scaled_proof_runs/horn_chain_32.cadical_drat.stderr.txt,logs/scaled_proof_runs/horn_chain_32.cadical_drat.stdout.txt,proofs/scaled_cadical_drat/horn_chain_32.cadical.drat,DRAT,af118dae4bc5930eb6d4df484dfc20f8470679c66b02fe53851332bce0c47952,481,True,drat-trim,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\drat-trim.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_32.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_drat\horn_chain_32.cadical.drat,0,logs/scaled_proof_runs/horn_chain_32.drat_trim.stderr.txt,logs/scaled_proof_runs/horn_chain_32.drat_trim.stdout.txt
scaled/horn_chain_32.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\cadical.exe --lrat --checkproof=2 --no-binary D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_32.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_lrat\horn_chain_32.cadical.lrat,20,logs/scaled_proof_runs/horn_chain_32.cadical_lrat.stderr.txt,logs/scaled_proof_runs/horn_chain_32.cadical_lrat.stdout.txt,proofs/scaled_cadical_lrat/horn_chain_32.cadical.lrat,LRAT,58ffa531c460df668051c236bab69b3cc396b3e58f113b43e4cdec40b632d6da,794,True,lrat-trim,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\lrat-trim.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_32.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_lrat\horn_chain_32.cadical.lrat,20,logs/scaled_proof_runs/horn_chain_32.lrat_trim.stderr.txt,logs/scaled_proof_runs/horn_chain_32.lrat_trim.stdout.txt
scaled/horn_chain_64.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\cadical.exe --checkproof=3 --no-binary D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_64.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_drat\horn_chain_64.cadical.drat,20,logs/scaled_proof_runs/horn_chain_64.cadical_drat.stderr.txt,logs/scaled_proof_runs/horn_chain_64.cadical_drat.stdout.txt,proofs/scaled_cadical_drat/horn_chain_64.cadical.drat,DRAT,4279ce6a1676ab93976116c5a7165ad0ec29a6f6dea06f4ab3b665b5c0633faa,993,True,drat-trim,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\drat-trim.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_64.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_drat\horn_chain_64.cadical.drat,0,logs/scaled_proof_runs/horn_chain_64.drat_trim.stderr.txt,logs/scaled_proof_runs/horn_chain_64.drat_trim.stdout.txt
scaled/horn_chain_64.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\cadical.exe --lrat --checkproof=2 --no-binary D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_64.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_lrat\horn_chain_64.cadical.lrat,20,logs/scaled_proof_runs/horn_chain_64.cadical_lrat.stderr.txt,logs/scaled_proof_runs/horn_chain_64.cadical_lrat.stdout.txt,proofs/scaled_cadical_lrat/horn_chain_64.cadical.lrat,LRAT,90b00da9c3d9a93715be126e56d6f89b885d489f14a28fab0c61b7708aa5dc5a,1714,True,lrat-trim,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\lrat-trim.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_64.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_lrat\horn_chain_64.cadical.lrat,20,logs/scaled_proof_runs/horn_chain_64.lrat_trim.stderr.txt,logs/scaled_proof_runs/horn_chain_64.lrat_trim.stdout.txt
scaled/horn_chain_128.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\cadical.exe --checkproof=3 --no-binary D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_128.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_drat\horn_chain_128.cadical.drat,20,logs/scaled_proof_runs/horn_chain_128.cadical_drat.stderr.txt,logs/scaled_proof_runs/horn_chain_128.cadical_drat.stdout.txt,proofs/scaled_cadical_drat/horn_chain_128.cadical.drat,DRAT,bbcc15f755c7cf4c97ee2d7cf7808f465133ff88376a62e2edbbfcd676b27eda,2104,True,drat-trim,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\drat-trim.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_128.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_drat\horn_chain_128.cadical.drat,0,logs/scaled_proof_runs/horn_chain_128.drat_trim.stderr.txt,logs/scaled_proof_runs/horn_chain_128.drat_trim.stdout.txt
scaled/horn_chain_128.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\cadical.exe --lrat --checkproof=2 --no-binary D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_128.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_lrat\horn_chain_128.cadical.lrat,20,logs/scaled_proof_runs/horn_chain_128.cadical_lrat.stderr.txt,logs/scaled_proof_runs/horn_chain_128.cadical_lrat.stdout.txt,proofs/scaled_cadical_lrat/horn_chain_128.cadical.lrat,LRAT,4be0c135b7bd5c2963a2956f0f903583801e46ee9711106ca4b922810442d8fb,3760,True,lrat-trim,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\lrat-trim.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_128.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_lrat\horn_chain_128.cadical.lrat,20,logs/scaled_proof_runs/horn_chain_128.lrat_trim.stderr.txt,logs/scaled_proof_runs/horn_chain_128.lrat_trim.stdout.txt
scaled/php_4_3.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\cadical.exe --checkproof=3 --no-binary D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_4_3.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_drat\php_4_3.cadical.drat,20,logs/scaled_proof_runs/php_4_3.cadical_drat.stderr.txt,logs/scaled_proof_runs/php_4_3.cadical_drat.stdout.txt,proofs/scaled_cadical_drat/php_4_3.cadical.drat,DRAT,1da9afd9748030492cb9f83cd4a711812773ddbc9fac4710372ac49946800190,1323,True,drat-trim,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\drat-trim.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_4_3.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_drat\php_4_3.cadical.drat,0,logs/scaled_proof_runs/php_4_3.drat_trim.stderr.txt,logs/scaled_proof_runs/php_4_3.drat_trim.stdout.txt
scaled/php_4_3.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\cadical.exe --lrat --checkproof=2 --no-binary D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_4_3.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_lrat\php_4_3.cadical.lrat,20,logs/scaled_proof_runs/php_4_3.cadical_lrat.stderr.txt,logs/scaled_proof_runs/php_4_3.cadical_lrat.stdout.txt,proofs/scaled_cadical_lrat/php_4_3.cadical.lrat,LRAT,65a5d1c4d9987e2d601acd31f9bb15fc468b0aa6083052dd62e2b5bfaa12a509,1360,True,lrat-trim,D:\Projects\carrollian\data\evidence\ss_sat\source_archives\legacy_roots\gnatural_ontological_computation_v16\cadical-rel-3.0.0\build\lrat-trim.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\php_4_3.cnf D:\Projects\carrollian\data\evidence\ss_sat\proofs\scaled_cadical_lrat\php_4_3.cadical.lrat,20,logs/scaled_proof_runs/php_4_3.lrat_trim.stderr.txt,logs/scaled_proof_runs/php_4_3.lrat_trim.stdout.txt
