benchmark,command,elapsed_seconds,model,model_sha256,returncode,solver,solver_identity,status,stderr,stderr_sha256,stderr_size,stdout,stdout_sha256,stdout_size,timed_out
scaled/horn_chain_16.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\cadical-rel-3.0.0\build\cadical.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_16.cnf,0.013566,,,20,cadical,3.0.0,UNSAT,logs/scaled_solver_runs/horn_chain_16.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/horn_chain_16.cadical.stdout.txt,dbc9a84459c45c51c18b225b8a8e55794ba490b6705e81ae11ea699d2a5f9b52,3438,False
scaled/horn_chain_16.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\kissat-rel-4.0.4\build\kissat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_16.cnf,0.008591,,,20,kissat,4.0.4 local-manual-build,UNSAT,logs/scaled_solver_runs/horn_chain_16.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/horn_chain_16.kissat.stdout.txt,62e61a31064a6318c44fe15d7e4c018845bd5f152f8792148dd5804410d6db65,2239,False
scaled/horn_chain_16.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\minisat\simp\minisat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_16.cnf D:\Projects\carrollian\data\evidence\ss_sat\logs\scaled_solver_runs\horn_chain_16.minisat.model.txt,0.012031,logs/scaled_solver_runs/horn_chain_16.minisat.model.txt,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,20,minisat,2.0 beta,UNSAT,logs/scaled_solver_runs/horn_chain_16.minisat.stderr.txt,66f6083b0c5ea55d92cce480c8f7d409c34f87fb99d08f68e5e2266a2217d446,459,logs/scaled_solver_runs/horn_chain_16.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,15,False
scaled/horn_chain_32.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\cadical-rel-3.0.0\build\cadical.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_32.cnf,0.009274,,,20,cadical,3.0.0,UNSAT,logs/scaled_solver_runs/horn_chain_32.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/horn_chain_32.cadical.stdout.txt,2cb0cd8457a7d6b89b1c4f10b8e170e8b3d086fa3ddeefeaebdfa2a215ca1628,3438,False
scaled/horn_chain_32.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\kissat-rel-4.0.4\build\kissat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_32.cnf,0.006388,,,20,kissat,4.0.4 local-manual-build,UNSAT,logs/scaled_solver_runs/horn_chain_32.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/horn_chain_32.kissat.stdout.txt,86deea94916fd34c1dfc900abd2ce640f41201b8807a864e242a994cc60bbbc5,2239,False
scaled/horn_chain_32.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\minisat\simp\minisat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_32.cnf D:\Projects\carrollian\data\evidence\ss_sat\logs\scaled_solver_runs\horn_chain_32.minisat.model.txt,0.010447,logs/scaled_solver_runs/horn_chain_32.minisat.model.txt,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,20,minisat,2.0 beta,UNSAT,logs/scaled_solver_runs/horn_chain_32.minisat.stderr.txt,f1e8585cf397e3b2baf417fe4647f2e089e1cf5207c004d3d03a70d873f9ea3d,459,logs/scaled_solver_runs/horn_chain_32.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,15,False
scaled/horn_chain_64.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\cadical-rel-3.0.0\build\cadical.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_64.cnf,0.011637,,,20,cadical,3.0.0,UNSAT,logs/scaled_solver_runs/horn_chain_64.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/horn_chain_64.cadical.stdout.txt,5bb7ce35043c95b53692257686770d205c5112675637f373cc02f5ddae4bc0e0,3438,False
scaled/horn_chain_64.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\kissat-rel-4.0.4\build\kissat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_64.cnf,0.007975,,,20,kissat,4.0.4 local-manual-build,UNSAT,logs/scaled_solver_runs/horn_chain_64.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/horn_chain_64.kissat.stdout.txt,87ce36cabfdf7ba302179d5e5f147ee170ea9c643a13ea1dec27f151d0a05e3c,2239,False
scaled/horn_chain_64.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\minisat\simp\minisat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_64.cnf D:\Projects\carrollian\data\evidence\ss_sat\logs\scaled_solver_runs\horn_chain_64.minisat.model.txt,0.010047,logs/scaled_solver_runs/horn_chain_64.minisat.model.txt,8e47e39240b5b347f444074f97e7ab4b4c11d3f534469b5cb23f4b6d2f7390df,20,minisat,2.0 beta,UNSAT,logs/scaled_solver_runs/horn_chain_64.minisat.stderr.txt,76a66b2817ad492ef3505a0ac87ad48a2ec043a6a9354f601382e5f352e4fb2f,459,logs/scaled_solver_runs/horn_chain_64.minisat.stdout.txt,5e165aa9d117fee115e16085c4cc8fd62dde61a0b2c7b24224e114a9cd49bf97,15,False
scaled/horn_chain_128.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\cadical-rel-3.0.0\build\cadical.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_128.cnf,0.009669,,,20,cadical,3.0.0,UNSAT,logs/scaled_solver_runs/horn_chain_128.cadical.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/horn_chain_128.cadical.stdout.txt,43f2b7c76e3fb70429bdd3e5cee89ef03291da82abd7af13e539c96be8a610de,3443,False
scaled/horn_chain_128.cnf,D:\Projects\carrollian\data\evidence\ss_sat\source_bundles\archived_roots\external_evidence_gate_root\kissat-rel-4.0.4\build\kissat.exe D:\Projects\carrollian\data\evidence\ss_sat\benchmarks\scaled\horn_chain_128.cnf,0.006813,,,20,kissat,4.0.4 local-manual-build,UNSAT,logs/scaled_solver_runs/horn_chain_128.kissat.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,logs/scaled_solver_runs/horn_chain_128.kissat.stdout.txt,6f60c035617b1898029c9a67269ba97602a2233318ae9846d100585982b0b4af,2250,False
