kind,target,weight_type,series,total_dimension_n,q_exponent,coefficient,distance,interpretation
exact,32,m6_relation_count,grade0,8,176,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade0,8,240,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade0,10,304,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade0,12,160,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade0,12,424,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade0,14,248,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade0,14,328,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade0,16,264,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,9,280,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,9,332,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,9,364,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,9,404,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,11,502,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,13,474,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,13,502,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,15,192,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,17,208,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,19,224,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,21,240,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,23,256,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,25,272,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,27,288,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,29,304,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,31,320,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,33,336,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,35,352,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,37,368,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade1,39,384,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,6,112,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,7,72,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,7,128,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,8,196,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,8,244,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,8,300,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,8,372,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,9,228,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,9,276,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,9,284,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,11,204,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,11,220,32,0,exact weighted coefficient in search window
exact,32,m6_relation_count,grade2,12,402,32,0,exact weighted coefficient in search window
