weight_type,series,total_dimension_n,count,q_weighted_sum,q_mean,q2_weighted_sum
m6_relation_count,grade0,0,1,0,0.0,0
m6_relation_count,grade0,2,12,0,0.0,0
m6_relation_count,grade0,4,78,3940,50.51282051282051,712336
m6_relation_count,grade0,6,352,47304,134.38636363636363,12487200
m6_relation_count,grade0,8,1128,240088,212.84397163120568,77876704
m6_relation_count,grade0,10,2530,664640,262.70355731225294,243196800
m6_relation_count,grade0,12,4138,1149312,277.74577090381825,445245696
m6_relation_count,grade0,14,5602,1489280,265.8479114601928,588020608
m6_relation_count,grade0,16,7252,1777128,245.05350248207392,709098656
m6_relation_count,grade0,18,9594,2210904,230.44652908067542,907650400
m6_relation_count,grade0,20,12630,2751288,217.83752969121142,1177535520
m6_relation_count,grade0,22,15776,3020440,191.4579107505071,1328999712
m6_relation_count,grade0,24,18974,2868960,151.20480657742175,1274828160
m6_relation_count,grade0,26,23258,2703776,116.25144036460573,1216764864
m6_relation_count,grade0,28,28610,2386528,83.41586857742048,1081239040
m6_relation_count,grade0,30,35694,2115904,59.278982462038435,969204992
m6_relation_count,grade0,32,44556,1754016,39.3665499596014,807649024
m6_relation_count,grade0,34,55866,1468832,26.29205599112161,682403072
m6_relation_count,grade0,36,69782,1144608,16.402625318850134,532846848
m6_relation_count,grade0,38,87000,925840,10.64183908045977,434273152
m6_relation_count,grade0,40,107766,702128,6.515301672141492,329994112
m6_relation_count,grade1,3,20,0,0.0,0
m6_relation_count,grade1,5,240,19700,82.08333333333333,4236968
m6_relation_count,grade1,7,1453,268238,184.60977288368892,83254284
m6_relation_count,grade1,9,5012,1255664,250.5315243415802,452476264
m6_relation_count,grade1,11,10829,2965316,273.83100932680765,1147092744
m6_relation_count,grade1,13,17429,4587158,263.1911182511905,1813126620
m6_relation_count,grade1,15,25061,5898138,235.3512629184789,2312477524
m6_relation_count,grade1,17,36998,8171282,220.85739769717281,3267898380
m6_relation_count,grade1,19,54571,11826554,216.71866009418923,4980711276
m6_relation_count,grade1,21,74621,14836982,198.8311869312928,6502076572
m6_relation_count,grade1,23,95084,15375524,161.70464010769425,6870965392
m6_relation_count,grade1,25,119782,14430394,120.4721410562522,6520281380
m6_relation_count,grade1,27,152450,12918642,84.74019022630371,5892289988
m6_relation_count,grade1,29,195937,11193000,57.125504626487086,5154572920
m6_relation_count,grade1,31,252615,9211876,36.46606891910615,4272684144
m6_relation_count,grade1,33,325999,7369976,22.607357691281262,3441601984
m6_relation_count,grade1,35,419136,5658320,13.499961826233013,2653918016
m6_relation_count,grade1,37,535920,4329248,8.07816091954023,2041995904
m6_relation_count,grade1,39,679794,3209368,4.721089035796139,1520394976
m6_relation_count,grade2,1,6,0,0.0,0
m6_relation_count,grade2,2,15,0,0.0,0
m6_relation_count,grade2,3,72,1970,27.36111111111111,178084
m6_relation_count,grade2,4,195,9850,50.51282051282051,1504452
m6_relation_count,grade2,5,471,47566,100.98938428874735,9776204
m6_relation_count,grade2,6,1320,188534,142.8287878787879,49166052
m6_relation_count,grade2,7,2055,387276,188.45547445255474,111237576
m6_relation_count,grade2,8,5485,1249374,227.78012762078396,415763380
m6_relation_count,grade2,9,6060,1559906,257.4102310231023,540498388
m6_relation_count,grade2,10,14274,3942894,276.2290878520387,1480950060
m6_relation_count,grade2,11,12067,3492336,289.4121156874119,1320663112
m6_relation_count,grade2,12,25057,7069536,282.1381649838369,2773309856
m6_relation_count,grade2,13,18149,5247240,289.12006171138904,2050081976
m6_relation_count,grade2,14,36311,9551566,263.0488281787888,3791986084
m6_relation_count,grade2,15,24216,6510068,268.8333333333333,2543765880
m6_relation_count,grade2,16,50888,12133646,238.4382565634334,4824325724
m6_relation_count,grade2,17,32923,8326292,252.90198341584912,3296050344
m6_relation_count,grade2,18,73593,16759150,227.72750125691303,6900299492
m6_relation_count,grade2,19,44901,10823048,241.04247121444956,4406203664
m6_relation_count,grade2,20,103148,22325828,216.44460387016713,9623542312
m6_relation_count,grade2,21,58943,13125486,222.68099689530564,5472038836
m6_relation_count,grade2,22,134247,25209626,187.78539557680992,11192812860
m6_relation_count,grade2,23,73973,14215474,192.1711164884485,5950510468
m6_relation_count,grade2,24,167521,24338218,145.284579246781,10956924932
m6_relation_count,grade2,25,92208,14655538,158.93998351553012,6084744548
m6_relation_count,grade2,26,210570,22075634,104.8375077171487,10039713260
m6_relation_count,grade2,27,116807,15497774,132.67846961226638,6408093612
m6_relation_count,grade2,28,268057,19197360,71.61670838664911,8809344344
m6_relation_count,grade2,29,148708,16593000,111.58108507948462,6849899120
m6_relation_count,grade2,30,344196,16037330,46.59359783379237,7413010988
m6_relation_count,grade2,31,189879,18240592,96.06429357643552,7576897944
m6_relation_count,grade2,32,443781,13016782,29.331544162548646,6058390764
m6_relation_count,grade2,33,241507,20244884,83.82731763468554,8505752208
m6_relation_count,grade2,34,571416,10205036,17.859205902529855,4775230032
m6_relation_count,grade2,35,305229,22535626,73.83186394477589,9619332348
m6_relation_count,grade2,36,732560,7847140,10.711941683957628,3690293704
m6_relation_count,grade2,37,382155,24644332,64.48779160288365,10689616920
m6_relation_count,grade2,38,932713,5923670,6.3510104394384985,2798948212
m6_relation_count,grade2,39,473733,26136250,55.170845180724164,11495473236
m6_relation_count,grade2,40,1177970,4411268,3.7448050459689126,2095130608
m6_relation_count,grade3,1,6,0,0.0,0
m6_relation_count,grade3,2,51,985,19.313725490196077,44521
m6_relation_count,grade3,3,272,11820,43.455882352941174,930310
m6_relation_count,grade3,4,1092,89635,82.08333333333333,11145221
m6_relation_count,grade3,5,3651,480966,131.7354149548069,89800316
m6_relation_count,grade3,6,10488,1980831,188.86641876430207,489469883
m6_relation_count,grade3,7,26128,6409598,245.31529393753829,1934916688
m6_relation_count,grade3,8,55050,16027173,291.1384741144414,5460651441
m6_relation_count,grade3,9,98076,31864112,324.89204290550185,11744937142
m6_relation_count,grade3,10,148902,51760573,347.61502867657924,20035728185
m6_relation_count,grade3,11,197354,71289360,361.2258175664035,28491957744
m6_relation_count,grade3,12,234757,86160851,367.0214349305878,35022961345
m6_relation_count,grade3,13,259854,95008414,365.6222879001285,38840326888
m6_relation_count,grade3,14,278586,100168888,359.5618157409202,40726518038
m6_relation_count,grade3,15,298663,104953376,351.41070705109104,42366339702
m6_relation_count,grade3,16,324756,111739314,344.07159221076745,44649794988
m6_relation_count,grade3,17,356991,120269370,336.8974848105414,47798964640
m6_relation_count,grade3,18,396063,131262058,331.41711798375513,51740283908
m6_relation_count,grade3,19,440368,143225020,325.2393906914217,56294585730
m6_relation_count,grade3,20,490984,157423282,320.6281304482427,61355197178
m6_relation_count,grade3,21,545070,171141740,313.98121342212926,66454709344
m6_relation_count,grade3,22,606209,187505410,309.3081923890935,71955601148
m6_relation_count,grade3,23,670701,202508496,301.9355808325916,77262717410
m6_relation_count,grade3,24,747197,222900964,298.3161923829994,83943179146
m6_relation_count,grade3,25,827870,241246068,291.40573761580924,90399545016
m6_relation_count,grade3,26,929936,270492500,290.872167547014,100594063574
m6_relation_count,grade3,27,1037631,296971696,286.20164200953906,110665608540
m6_relation_count,grade3,28,1178671,341996730,290.15452997486153,128015681090
m6_relation_count,grade3,29,1328363,383892374,288.99658752916184,145725479082
m6_relation_count,grade3,30,1520588,451722288,297.0707962972219,174333808042
m6_relation_count,grade3,31,1710258,507961712,297.0088208913509,199760209468
