weight_type,series,total_dimension_n,q_exponent,coefficient
half,grade0,0,0,1
half,grade0,2,0,12
half,grade0,4,0,72
half,grade0,4,4,6
half,grade0,6,0,292
half,grade0,6,4,60
half,grade0,6,8,12
half,grade0,8,0,912
half,grade0,8,4,300
half,grade0,8,8,135
half,grade0,8,12,12
half,grade0,8,16,6
half,grade0,10,0,2364
half,grade0,10,4,1020
half,grade0,10,8,720
half,grade0,10,12,180
half,grade0,10,16,72
half,grade0,10,24,12
half,grade0,12,0,5336
half,grade0,12,4,2700
half,grade0,12,8,2520
half,grade0,12,12,1100
half,grade0,12,16,540
half,grade0,12,20,42
half,grade0,12,24,120
half,grade0,12,32,12
half,grade0,12,36,6
half,grade0,14,0,10836
half,grade0,14,4,6012
half,grade0,14,8,6720
half,grade0,14,12,4080
half,grade0,14,16,2700
half,grade0,14,20,540
half,grade0,14,24,672
half,grade0,14,28,60
half,grade0,14,32,120
half,grade0,14,36,60
half,grade0,14,40,12
half,grade0,14,48,12
half,grade0,16,0,20256
half,grade0,16,4,11820
half,grade0,16,8,14904
half,grade0,16,12,11040
half,grade0,16,16,9315
half,grade0,16,20,3360
half,grade0,16,24,2940
half,grade0,16,28,552
half,grade0,16,32,735
half,grade0,16,36,360
half,grade0,16,40,150
half,grade0,16,48,132
half,grade0,16,60,12
half,grade0,16,64,6
half,grade0,18,0,35436
half,grade0,18,4,21180
half,grade0,18,8,29040
half,grade0,18,12,24304
half,grade0,18,16,24192
half,grade0,18,20,12720
half,grade0,18,24,10960
half,grade0,18,28,3060
half,grade0,18,32,3312
half,grade0,18,36,1620
half,grade0,18,40,1020
half,grade0,18,44,120
half,grade0,18,48,720
half,grade0,18,52,60
half,grade0,18,56,12
half,grade0,18,60,120
half,grade0,18,64,60
half,grade0,18,72,12
half,grade0,18,80,12
half,grade0,20,0,58728
half,grade0,20,4,35340
half,grade0,20,8,51480
half,grade0,20,12,46560
half,grade0,20,16,51564
half,grade0,20,20,33966
half,grade0,20,24,33144
half,grade0,20,28,13020
half,grade0,20,32,11880
half,grade0,20,36,6192
half,grade0,20,40,4680
half,grade0,20,44,1140
half,grade0,20,48,2940
half,grade0,20,52,570
half,grade0,20,56,240
half,grade0,20,60,600
half,grade0,20,64,372
half,grade0,20,68,30
half,grade0,20,72,120
half,grade0,20,80,120
half,grade0,20,84,12
half,grade0,20,96,12
half,grade0,20,100,6
half,grade0,22,0,93060
half,grade0,22,4,55740
half,grade0,22,8,84960
half,grade0,22,12,80880
half,grade0,22,16,96120
half,grade0,22,20,72036
half,grade0,22,24,79620
half,grade0,22,28,42240
half,grade0,22,32,36744
half,grade0,22,36,20232
half,grade0,22,40,16632
half,grade0,22,44,6000
half,grade0,22,48,10320
half,grade0,22,52,2820
half,grade0,22,56,1980
half,grade0,22,60,2280
half,grade0,22,64,1680
half,grade0,22,68,360
half,grade0,22,72,672
half,grade0,22,76,60
half,grade0,22,80,600
half,grade0,22,84,180
half,grade0,22,96,132
half,grade0,22,100,60
half,grade0,22,112,12
half,grade0,22,120,12
half,grade0,24,0,142000
half,grade0,24,4,84012
half,grade0,24,8,132600
half,grade0,24,12,130720
half,grade0,24,16,163140
half,grade0,24,20,131892
half,grade0,24,24,158865
half,grade0,24,28,103860
half,grade0,24,32,98190
half,grade0,24,36,58300
half,grade0,24,40,48954
half,grade0,24,44,22512
half,grade0,24,48,31784
half,grade0,24,52,11160
half,grade0,24,56,9420
half,grade0,24,60,7920
half,grade0,24,64,6180
half,grade0,24,68,2160
half,grade0,24,72,2955
half,grade0,24,76,600
half,grade0,24,80,2202
half,grade0,24,84,1080
half,grade0,24,88,180
half,grade0,24,96,720
half,grade0,24,100,360
half,grade0,24,104,30
half,grade0,24,108,12
half,grade0,24,112,120
half,grade0,24,120,120
half,grade0,24,128,12
half,grade0,24,140,12
half,grade0,24,144,6
half,grade0,26,0,209820
half,grade0,26,4,121980
half,grade0,26,8,197904
half,grade0,26,12,199920
half,grade0,26,16,258480
half,grade0,26,20,219012
half,grade0,26,24,279360
half,grade0,26,28,205596
half,grade0,26,32,217920
half,grade0,26,36,148500
half,grade0,26,40,125220
half,grade0,26,44,67380
half,grade0,26,48,85536
half,grade0,26,52,37320
half,grade0,26,56,33480
half,grade0,26,60,25284
half,grade0,26,64,20532
half,grade0,26,68,8640
half,grade0,26,72,11220
half,grade0,26,76,3360
half,grade0,26,80,7020
half,grade0,26,84,4260
half,grade0,26,88,1692
half,grade0,26,92,240
half,grade0,26,96,2700
half,grade0,26,100,1560
half,grade0,26,104,360
half,grade0,26,108,180
half,grade0,26,112,600
half,grade0,26,116,60
half,grade0,26,120,612
half,grade0,26,124,60
half,grade0,26,128,120
half,grade0,26,140,120
half,grade0,26,144,72
half,grade0,26,160,12
half,grade0,26,168,12
half,grade0,28,0,301560
half,grade0,28,4,171660
half,grade0,28,8,284760
half,grade0,28,12,292704
half,grade0,28,16,388572
half,grade0,28,20,339252
half,grade0,28,24,450960
half,grade0,28,28,354240
half,grade0,28,32,406476
half,grade0,28,36,319326
half,grade0,28,40,286920
half,grade0,28,44,170940
half,grade0,28,48,202980
half,grade0,28,52,105162
half,grade0,28,56,98664
half,grade0,28,60,71580
half,grade0,28,64,62160
half,grade0,28,68,29220
half,grade0,28,72,36024
half,grade0,28,76,14160
half,grade0,28,80,20904
half,grade0,28,84,13860
half,grade0,28,88,7800
half,grade0,28,92,2640
half,grade0,28,96,8472
half,grade0,28,100,5190
half,grade0,28,104,2280
half,grade0,28,108,1260
half,grade0,28,112,2220
half,grade0,28,116,510
half,grade0,28,120,2280
half,grade0,28,124,480
half,grade0,28,128,720
half,grade0,28,132,72
half,grade0,28,140,600
half,grade0,28,144,480
half,grade0,28,148,30
half,grade0,28,160,132
half,grade0,28,168,120
half,grade0,28,180,12
half,grade0,28,192,12
half,grade0,28,196,6
half,grade0,30,0,423092
half,grade0,30,4,235260
half,grade0,30,8,397440
half,grade0,30,12,413680
half,grade0,30,16,560424
half,grade0,30,20,498852
half,grade0,30,24,684224
half,grade0,30,28,558960
half,grade0,30,32,673260
half,grade0,30,36,577896
half,grade0,30,40,574872
half,grade0,30,44,384732
half,grade0,30,48,432080
half,grade0,30,52,253440
half,grade0,30,56,247212
half,grade0,30,60,182880
half,grade0,30,64,165264
half,grade0,30,68,88380
half,grade0,30,72,101320
half,grade0,30,76,48120
half,grade0,30,80,59400
half,grade0,30,84,40224
half,grade0,30,88,26880
half,grade0,30,92,13080
half,grade0,30,96,25344
half,grade0,30,100,14532
half,grade0,30,104,9432
half,grade0,30,108,6180
half,grade0,30,112,7440
half,grade0,30,116,2400
half,grade0,30,120,7200
half,grade0,30,124,2160
half,grade0,30,128,3180
half,grade0,30,132,720
half,grade0,30,136,180
half,grade0,30,140,2040
half,grade0,30,144,2112
half,grade0,30,148,420
half,grade0,30,152,60
half,grade0,30,160,720
half,grade0,30,164,60
