weight_type,series,total_dimension_n,count,q_weighted_sum,q_mean,q2_weighted_sum
left_relation_coefficient_mass,symmetric_stack,0,1,0.0,0,
left_relation_coefficient_mass,symmetric_stack,1,49,313.46938775510205,5925268,
left_relation_coefficient_mass,symmetric_stack,2,357,365.7591036414566,50999926,
left_relation_coefficient_mass,symmetric_stack,3,1183,416.18427726120035,210889250,
left_relation_coefficient_mass,symmetric_stack,4,1747,443.378362907842,349034108,
left_relation_coefficient_mass,symmetric_stack,5,1176,447.92857142857144,237875820,
left_relation_coefficient_mass,symmetric_stack,6,462,456.0,96066432,
left_relation_support,symmetric_stack,0,1,0.0,0,
left_relation_support,symmetric_stack,1,66,309.75757575757575,7458542,
left_relation_support,symmetric_stack,2,591,381.8071065989848,90936136,
left_relation_support,symmetric_stack,3,1997,428.18227341011516,375381116,
left_relation_support,symmetric_stack,4,2837,451.90412407472684,587626476,
left_relation_support,symmetric_stack,5,2072,462.7567567567568,446672744,
left_relation_support,symmetric_stack,6,966,485.2173913043478,228187008,
output_relation_coefficient_mass,symmetric_stack,0,1,0.0,0,
output_relation_support,symmetric_stack,0,1,0.0,0,
output_relation_support,symmetric_stack,1,66,309.75757575757575,7458542,
output_relation_support,symmetric_stack,2,591,381.8071065989848,90936136,
output_relation_support,symmetric_stack,3,1997,428.18227341011516,375381116,
output_relation_support,symmetric_stack,4,2837,451.90412407472684,587626476,
output_relation_support,symmetric_stack,5,2072,462.7567567567568,446672744,
output_relation_support,symmetric_stack,6,966,485.2173913043478,228187008,
relation_orbit_size,symmetric_stack,0,1,0.0,0,
relation_orbit_size,symmetric_stack,1,985,15.691370558375635,388796,
relation_orbit_size,symmetric_stack,2,485605,31.38274111675127,622629588,
relation_orbit_size,symmetric_stack,3,159764045,47.0741116751269,425350768920,
relation_orbit_size,symmetric_stack,4,39461719115,62.76548223350254,178970876709352,
relation_orbit_size,symmetric_stack,5,7805528040947,78.45685279187818,53865777904746444,
relation_orbit_size,symmetric_stack,6,1287912126756255,94.1482233502538,12569239295534909988,
relation_orbit_size,symmetric_stack,7,182331559659349815,109.83959390862944,2390466179139442307904,
relation_orbit_size,symmetric_stack,8,22609113397759377060,125.53096446700508,383324813898472052418240,
relation_orbit_size,symmetric_stack,9,2494538844869600659845,141.22233502285454,53111401964381265517928916,
relation_orbit_size,symmetric_stack,10,247957161120245240005287,156.91370549300328,6476750621417627513170193700,
relation_orbit_size,symmetric_stack,11,22428852226830698243798562,172.6050748859291,705220356202398420396668662864,
relation_orbit_size,symmetric_stack,12,1861594680070648981505562018,188.29643557245407,69358169541119758596991350930984,
relation_orbit_size,symmetric_stack,13,142769964890979308604526880849,203.98774531752323,6219765140571458590975787783130348,
relation_orbit_size,symmetric_stack,14,10177449108707355201947894654900,219.67882187500481,512587748969339097858826157508088320,
relation_orbit_size,symmetric_stack,15,677815364775022961584478158001738,235.3690205396264,39080954226386066424040837876363333116,
relation_orbit_size,symmetric_stack,16,42362844567941935041270888566284822,251.0564125154493,2772221713136445839261353157724537511988,
relation_orbit_size,symmetric_stack,17,2494310205893221859424897773276862450,266.7360093248607,183853354074090655364143439654757833162508,
relation_orbit_size,symmetric_stack,18,138832249376539383286501143206042262886,282.39648063866224,11447443781773020249337608507355403672942728,
relation_orbit_size,symmetric_stack,19,7326529166623159340450443047424367011315,298.0149805465221,671539575270549493463888621529749352833401392,
relation_orbit_size,symmetric_stack,20,367520526941820403282169240501094988781838,313.5503234520589,37223512848936728566070841739936597539002343820,
relation_orbit_size,symmetric_stack,21,17561068092487143733463073294231721846991552,328.9358347234948,1953966164234418325110534839393359646112153778340,
relation_orbit_size,symmetric_stack,22,800568944804054591635391271627550127278983943,344.0743807839678,97284664837174015153257767464287428373825385814056,
relation_orbit_size,symmetric_stack,23,34855711656035617441341425134248858494478561267,358.838627089844,4598018302478019522657000405922033031949642057798372,
relation_orbit_size,symmetric_stack,24,1449980126046427303914094650044209706111127310852,373.07870679408785,206336802762827063765446348249008444849661173994773592,
relation_orbit_size,symmetric_stack,25,57620978902670063635544778071902360090516525715760,386.63709158868335,8787907605008978075747102107629808207350615831031183420,
relation_orbit_size,symmetric_stack,26,2185732644937403355686573800391802967575538350941658,399.36753120041357,354906720536829452526315515529638329652811514065959087888,
relation_orbit_size,symmetric_stack,27,79043919043383193649086373655809443830037751465086862,411.1530760150559,13574910486385592848362026736852426887206130167750021267480,
relation_orbit_size,symmetric_stack,28,2720812846561297212867124833747938735709689813093725390,421.918502270237,491075771406697880694608409183019901756726875803146905242540,
relation_orbit_size,symmetric_stack,29,88981818159809204669711542650171892419686324038641122607,431.634693620926,16777230752845413838806132456213197005573491199463691164267908,
relation_orbit_size,symmetric_stack,30,2759684378101897304662926493613991349078945467476396004338,440.3153721737963,540559037634533060892041162780478879413312754931121263856152740,
relation_orbit_size,symmetric_stack,31,81016659425007846527982611642787986221398727772327490090529,448.0086009000536,16404210312382221466458015484063598270613934613392416259352114980,
relation_orbit_size,symmetric_stack,32,2247499439830334326820494354184560327266605704044993527158419,454.78608786679314,468335820049328474210580819827745981259649818433218296818614039920,
relation_orbit_size,symmetric_stack,33,58824895842680278489907512134408334672975321134757135408753489,460.73279651280166,12566570329326245289753435138192137064473238869321790092510013969940,
relation_orbit_size,symmetric_stack,34,1450661103305717239986443110721925711535890782341486044048781917,465.9383620337246,316640210669460740095061686506646536495681035569328664476837213487288,
relation_orbit_size,symmetric_stack,35,33666842511991587118349771439261249747268523255442094212072881766,470.4908632570947,7486822610272657767312108525238052644774443748327463571949628487670848,
relation_orbit_size,symmetric_stack,36,734575321710507927238674299455293056515209248401928533608018927778,474.47284841995094,166018628559311576679189198319235946753521585809361578294923562235808172,
relation_orbit_size,symmetric_stack,37,15055857811654440979152095092918202207418753702651085031696573456193,477.959188883932,3450938641209765178327616780973275129537533886318546956603584191249604408,
relation_orbit_size,symmetric_stack,38,289676944067338039493504333325349038882698627100013155373729915072060,481.01625458213243,67216505497931896952502002779671350670293471569499666992670565031037986004,
relation_orbit_size,symmetric_stack,39,5229113036939856422372864526576611577466423369029233394463155202278466,483.7019592417849,1226456724741640825885294160770567761190751172090198922130993605458010298324,
relation_orbit_size,symmetric_stack,40,88526808154210014055855005783170201453058716698999818179172706357424604,486.06632384508583,20959864299472536709020666487346937509253392656029992362892187890258974406220,
right_relation_coefficient_mass,symmetric_stack,0,1,0.0,0,
right_relation_coefficient_mass,symmetric_stack,1,49,313.46938775510205,5925268,
right_relation_coefficient_mass,symmetric_stack,2,357,365.7591036414566,50999926,
right_relation_coefficient_mass,symmetric_stack,3,1183,416.18427726120035,210889250,
right_relation_coefficient_mass,symmetric_stack,4,1747,443.378362907842,349034108,
right_relation_coefficient_mass,symmetric_stack,5,1176,447.92857142857144,237875820,
right_relation_coefficient_mass,symmetric_stack,6,462,456.0,96066432,
right_relation_support,symmetric_stack,0,1,0.0,0,
right_relation_support,symmetric_stack,1,66,309.75757575757575,7458542,
right_relation_support,symmetric_stack,2,591,381.8071065989848,90936136,
right_relation_support,symmetric_stack,3,1997,428.18227341011516,375381116,
right_relation_support,symmetric_stack,4,2837,451.90412407472684,587626476,
right_relation_support,symmetric_stack,5,2072,462.7567567567568,446672744,
right_relation_support,symmetric_stack,6,966,485.2173913043478,228187008,
tensor_coefficient_value,symmetric_stack,0,1,0.0,0,
tensor_coefficient_value,symmetric_stack,1,1414965,1.7932316347047454,8119976,
tensor_coefficient_value,symmetric_stack,2,1001063683095,3.586463269409491,17927693850392,
tensor_coefficient_value,symmetric_stack,3,472157358825960955,5.379694904114236,17238470613714650528,
tensor_coefficient_value,symmetric_stack,4,167021888425813080143610,7.172926538818982,10278984868415914901899744,
tensor_coefficient_value,symmetric_stack,5,47266158888796861639544739618,8.966158173523727,4396075793623589395604054870320,
tensor_coefficient_value,symmetric_stack,6,11146699473813482552351103369546910,10.759389808228471,1459128483424198423719734892304506064,
