kind,target,weight_type,series,total_dimension_n,q_exponent,coefficient,distance,interpretation
exact,32,full_pair_coefficient_mass,symmetric_relation_pair_stack,1,29,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,full_pair_coefficient_mass,symmetric_relation_pair_stack,1,78,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,full_pair_coefficient_mass,symmetric_relation_pair_stack,1,116,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,271,32,0,exact relation-pair quotient stack coefficient in search window
nearest_with_exact_present,32,full_pair_coefficient_mass,symmetric_relation_pair_stack,1,29,32,0,nearest relation-pair quotient stack coefficient in search window
exact,39,full_pair_coefficient_mass,symmetric_relation_pair_stack,1,104,39,0,exact relation-pair quotient stack coefficient in search window
nearest_with_exact_present,39,full_pair_coefficient_mass,symmetric_relation_pair_stack,1,104,39,0,nearest relation-pair quotient stack coefficient in search window
nearest,91,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,476,90,1,nearest relation-pair quotient stack coefficient in search window
nearest,243,full_pair_coefficient_mass,symmetric_relation_pair_stack,1,60,246,3,nearest relation-pair quotient stack coefficient in search window
nearest,455,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,468,464,9,nearest relation-pair quotient stack coefficient in search window
nearest,2275,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,278,2232,43,nearest relation-pair quotient stack coefficient in search window
nearest,4095,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,334,4040,55,nearest relation-pair quotient stack coefficient in search window
nearest,6825,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,175,6864,39,nearest relation-pair quotient stack coefficient in search window
nearest,6912,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,175,6864,48,nearest relation-pair quotient stack coefficient in search window
nearest,14560,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,374,14432,128,nearest relation-pair quotient stack coefficient in search window
nearest,455640,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,139,461976,6336,nearest relation-pair quotient stack coefficient in search window
nearest,531441,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,125,529952,1489,nearest relation-pair quotient stack coefficient in search window
nearest,534656,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,125,529952,4704,nearest relation-pair quotient stack coefficient in search window
nearest,1414965,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,131,1321024,93941,nearest relation-pair quotient stack coefficient in search window
nearest,2537360,full_pair_coefficient_mass,symmetric_relation_pair_stack,2,85,2544488,7128,nearest relation-pair quotient stack coefficient in search window
exact,32,full_pair_output_support,symmetric_relation_pair_stack,1,48,32,0,exact relation-pair quotient stack coefficient in search window
nearest_with_exact_present,32,full_pair_output_support,symmetric_relation_pair_stack,1,48,32,0,nearest relation-pair quotient stack coefficient in search window
nearest,39,full_pair_output_support,symmetric_relation_pair_stack,1,44,40,1,nearest relation-pair quotient stack coefficient in search window
nearest,91,full_pair_output_support,symmetric_relation_pair_stack,1,29,88,3,nearest relation-pair quotient stack coefficient in search window
nearest,243,full_pair_output_support,symmetric_relation_pair_stack,1,28,230,13,nearest relation-pair quotient stack coefficient in search window
nearest,455,full_pair_output_support,symmetric_relation_pair_stack,1,23,424,31,nearest relation-pair quotient stack coefficient in search window
nearest,2275,full_pair_output_support,symmetric_relation_pair_stack,1,15,1828,447,nearest relation-pair quotient stack coefficient in search window
nearest,4095,full_pair_output_support,symmetric_relation_pair_stack,2,78,4096,1,nearest relation-pair quotient stack coefficient in search window
nearest,6825,full_pair_output_support,symmetric_relation_pair_stack,1,9,6767,58,nearest relation-pair quotient stack coefficient in search window
nearest,6912,full_pair_output_support,symmetric_relation_pair_stack,1,9,6767,145,nearest relation-pair quotient stack coefficient in search window
nearest,14560,full_pair_output_support,symmetric_relation_pair_stack,2,71,14272,288,nearest relation-pair quotient stack coefficient in search window
nearest,455640,full_pair_output_support,symmetric_relation_pair_stack,3,122,453408,2232,nearest relation-pair quotient stack coefficient in search window
nearest,531441,full_pair_output_support,symmetric_relation_pair_stack,2,64,528028,3413,nearest relation-pair quotient stack coefficient in search window
nearest,534656,full_pair_output_support,symmetric_relation_pair_stack,4,171,540672,6016,nearest relation-pair quotient stack coefficient in search window
nearest,1414965,full_pair_output_support,symmetric_relation_pair_stack,4,184,1390400,24565,nearest relation-pair quotient stack coefficient in search window
nearest,2537360,full_pair_output_support,symmetric_relation_pair_stack,2,56,2549625,12265,nearest relation-pair quotient stack coefficient in search window
exact,32,q42_pair_coefficient_mass,symmetric_relation_pair_stack,3,31,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,q42_pair_coefficient_mass,symmetric_relation_pair_stack,3,121,32,0,exact relation-pair quotient stack coefficient in search window
exact,32,q42_pair_coefficient_mass,symmetric_relation_pair_stack,3,167,32,0,exact relation-pair quotient stack coefficient in search window
