weight_type,series,total_dimension_n,count,q_weighted_sum,q_mean,q2_weighted_sum
full_pair_coefficient_mass,symmetric_relation_pair_stack,0,1,0,0.0,0
full_pair_coefficient_mass,symmetric_relation_pair_stack,1,970223,2536128,2.6139640062130045,65680328
full_pair_coefficient_mass,symmetric_relation_pair_stack,2,470666717021,2460558252808,5.227814425421154,70128294308668
full_pair_coefficient_mass,symmetric_relation_pair_stack,3,152217473986101767,1193622326055395640,7.841559150852677,37127040259319675216
full_pair_coefficient_mass,symmetric_relation_pair_stack,4,36921315289199730018073,386020100738065718919992,10.455209889312497,13012232084083641855303016
full_pair_coefficient_mass,symmetric_relation_pair_stack,5,7164405896855334730944814899,93630043161627681924163059892,13.068779813651348,3400043864837279549635234685756
full_pair_coefficient_mass,symmetric_relation_pair_stack,6,1158516822337584977737022606183672,18168187570781521384874207994185776,15.682282052774042,707092627603168460736617632267007028
full_pair_coefficient_mass,symmetric_relation_pair_stack,7,160575068353884820227375388348442731226,2937837897486085085883942202785530764112,18.295728767877616,121995768079495492019828651834743093535376
full_pair_coefficient_mass,symmetric_relation_pair_stack,8,19474322050804895987727276277584360055140704,407191143722083666633216955842329831274472260,20.909130631597723,17970500856196550059071586611784532173153658188
full_pair_coefficient_mass,symmetric_relation_pair_stack,9,2099396520023413560752269827963434518922831891528,49383047457360074345177667529319198947983091847034,23.522496577640002,2308195064194180943530422555360234375608022260385952
full_pair_coefficient_mass,symmetric_relation_pair_stack,10,203689916040018562950792057939248134268660731140026958,5323605777357728518349680640646885967920657306435757570,26.135833726357912,262714751040322281758516851495607144192125309236300274304
full_pair_coefficient_mass,symmetric_relation_pair_stack,11,17966038510245279630466787697555494246928844525523398106958,516508289679950350981019417642600575073731495243448813888844,28.749147419750173,26836700957250247329891754150365230710040098884133373083706556
full_pair_coefficient_mass,symmetric_relation_pair_stack,12,1452603183614945219400676410382855342724879633324354433883629834,45557182107227741532285522022088752933625243751647047112216637554,31.36244131990282,2485931280010630592066059432545963269376212080823327080757315987752
full_pair_coefficient_mass,symmetric_relation_pair_stack,13,108412655363967478638417508674759694706555684472240518069170382878078,3683397756390447675018734725519773219322555501987537261560088326707276,33.97571753984248,210605590389387827640012707383217708431609471974796362527088025951327496
full_pair_coefficient_mass,symmetric_relation_pair_stack,14,7513265224767153369809068825013664139839433941089581501332869716643259841,274902686899907216290454250138696547602076480409095611612347092155495477432,36.588976786511196,16435606122733507394998331360732566126358557023219421982706918781671403222220
