kind,target,weight_type,series,total_dimension_n,q_exponent,coefficient,distance,interpretation
nearest,32,tensor_coefficient_value,symmetric_stack,1,10,16,16,nearest relation-level weighted coefficient in search window
nearest,39,tensor_coefficient_value,symmetric_stack,1,10,16,23,nearest relation-level weighted coefficient in search window
nearest,91,tensor_coefficient_value,symmetric_stack,1,48,94,3,nearest relation-level weighted coefficient in search window
nearest,243,tensor_coefficient_value,symmetric_stack,1,18,252,9,nearest relation-level weighted coefficient in search window
nearest,455,tensor_coefficient_value,symmetric_stack,1,5,544,89,nearest relation-level weighted coefficient in search window
nearest,2275,tensor_coefficient_value,symmetric_stack,1,16,2306,31,nearest relation-level weighted coefficient in search window
nearest,4095,tensor_coefficient_value,symmetric_stack,2,128,5671,1576,nearest relation-level weighted coefficient in search window
nearest,6825,tensor_coefficient_value,symmetric_stack,2,128,5671,1154,nearest relation-level weighted coefficient in search window
nearest,6912,tensor_coefficient_value,symmetric_stack,2,128,5671,1241,nearest relation-level weighted coefficient in search window
nearest,14560,tensor_coefficient_value,symmetric_stack,1,8,14734,174,nearest relation-level weighted coefficient in search window
nearest,455640,tensor_coefficient_value,symmetric_stack,1,2,484870,29230,nearest relation-level weighted coefficient in search window
nearest,531441,tensor_coefficient_value,symmetric_stack,3,176,533074,1633,nearest relation-level weighted coefficient in search window
nearest,534656,tensor_coefficient_value,symmetric_stack,3,176,533074,1582,nearest relation-level weighted coefficient in search window
nearest,1414965,tensor_coefficient_value,symmetric_stack,3,146,1429092,14127,nearest relation-level weighted coefficient in search window
nearest,2537360,tensor_coefficient_value,symmetric_stack,3,160,2083854,453506,nearest relation-level weighted coefficient in search window
exact,32,relation_orbit_size,symmetric_stack,1,9,32,0,exact relation-level weighted coefficient in search window
nearest_with_exact_present,32,relation_orbit_size,symmetric_stack,1,9,32,0,nearest relation-level weighted coefficient in search window
nearest,39,relation_orbit_size,symmetric_stack,1,48,42,3,nearest relation-level weighted coefficient in search window
nearest,91,relation_orbit_size,symmetric_stack,1,24,105,14,nearest relation-level weighted coefficient in search window
nearest,243,relation_orbit_size,symmetric_stack,2,2,253,10,nearest relation-level weighted coefficient in search window
nearest,455,relation_orbit_size,symmetric_stack,2,65,462,7,nearest relation-level weighted coefficient in search window
nearest,2275,relation_orbit_size,symmetric_stack,2,88,2205,70,nearest relation-level weighted coefficient in search window
nearest,4095,relation_orbit_size,symmetric_stack,2,76,4116,21,nearest relation-level weighted coefficient in search window
nearest,6825,relation_orbit_size,symmetric_stack,2,25,6502,323,nearest relation-level weighted coefficient in search window
nearest,6912,relation_orbit_size,symmetric_stack,2,25,6502,410,nearest relation-level weighted coefficient in search window
nearest,14560,relation_orbit_size,symmetric_stack,2,40,15975,1415,nearest relation-level weighted coefficient in search window
nearest,455640,relation_orbit_size,symmetric_stack,4,180,446292,9348,nearest relation-level weighted coefficient in search window
nearest,531441,relation_orbit_size,symmetric_stack,3,104,534597,3156,nearest relation-level weighted coefficient in search window
nearest,534656,relation_orbit_size,symmetric_stack,3,104,534597,59,nearest relation-level weighted coefficient in search window
nearest,1414965,relation_orbit_size,symmetric_stack,3,20,1445363,30398,nearest relation-level weighted coefficient in search window
nearest,2537360,relation_orbit_size,symmetric_stack,3,72,2579498,42138,nearest relation-level weighted coefficient in search window
nearest,32,left_relation_coefficient_mass,symmetric_stack,3,443,30,2,nearest relation-level weighted coefficient in search window
nearest,39,left_relation_coefficient_mass,symmetric_stack,2,480,36,3,nearest relation-level weighted coefficient in search window
exact,91,left_relation_coefficient_mass,symmetric_stack,3,456,91,0,exact relation-level weighted coefficient in search window
nearest_with_exact_present,91,left_relation_coefficient_mass,symmetric_stack,3,456,91,0,nearest relation-level weighted coefficient in search window
nearest,243,left_relation_coefficient_mass,symmetric_stack,5,380,252,9,nearest relation-level weighted coefficient in search window
nearest,455,left_relation_coefficient_mass,symmetric_stack,4,468,448,7,nearest relation-level weighted coefficient in search window
nearest,2275,left_relation_coefficient_mass,symmetric_stack,6,456,462,1813,nearest relation-level weighted coefficient in search window
nearest,4095,left_relation_coefficient_mass,symmetric_stack,6,456,462,3633,nearest relation-level weighted coefficient in search window
nearest,6825,left_relation_coefficient_mass,symmetric_stack,6,456,462,6363,nearest relation-level weighted coefficient in search window
nearest,6912,left_relation_coefficient_mass,symmetric_stack,6,456,462,6450,nearest relation-level weighted coefficient in search window
nearest,14560,left_relation_coefficient_mass,symmetric_stack,6,456,462,14098,nearest relation-level weighted coefficient in search window
nearest,455640,left_relation_coefficient_mass,symmetric_stack,6,456,462,455178,nearest relation-level weighted coefficient in search window
nearest,531441,left_relation_coefficient_mass,symmetric_stack,6,456,462,530979,nearest relation-level weighted coefficient in search window
nearest,534656,left_relation_coefficient_mass,symmetric_stack,6,456,462,534194,nearest relation-level weighted coefficient in search window
nearest,1414965,left_relation_coefficient_mass,symmetric_stack,6,456,462,1414503,nearest relation-level weighted coefficient in search window
nearest,2537360,left_relation_coefficient_mass,symmetric_stack,6,456,462,2536898,nearest relation-level weighted coefficient in search window
nearest,32,right_relation_coefficient_mass,symmetric_stack,3,443,30,2,nearest relation-level weighted coefficient in search window
nearest,39,right_relation_coefficient_mass,symmetric_stack,2,480,36,3,nearest relation-level weighted coefficient in search window
exact,91,right_relation_coefficient_mass,symmetric_stack,3,456,91,0,exact relation-level weighted coefficient in search window
nearest_with_exact_present,91,right_relation_coefficient_mass,symmetric_stack,3,456,91,0,nearest relation-level weighted coefficient in search window
nearest,243,right_relation_coefficient_mass,symmetric_stack,5,380,252,9,nearest relation-level weighted coefficient in search window
nearest,455,right_relation_coefficient_mass,symmetric_stack,4,468,448,7,nearest relation-level weighted coefficient in search window
nearest,2275,right_relation_coefficient_mass,symmetric_stack,6,456,462,1813,nearest relation-level weighted coefficient in search window
nearest,4095,right_relation_coefficient_mass,symmetric_stack,6,456,462,3633,nearest relation-level weighted coefficient in search window
nearest,6825,right_relation_coefficient_mass,symmetric_stack,6,456,462,6363,nearest relation-level weighted coefficient in search window
nearest,6912,right_relation_coefficient_mass,symmetric_stack,6,456,462,6450,nearest relation-level weighted coefficient in search window
nearest,14560,right_relation_coefficient_mass,symmetric_stack,6,456,462,14098,nearest relation-level weighted coefficient in search window
nearest,455640,right_relation_coefficient_mass,symmetric_stack,6,456,462,455178,nearest relation-level weighted coefficient in search window
nearest,531441,right_relation_coefficient_mass,symmetric_stack,6,456,462,530979,nearest relation-level weighted coefficient in search window
nearest,534656,right_relation_coefficient_mass,symmetric_stack,6,456,462,534194,nearest relation-level weighted coefficient in search window
nearest,1414965,right_relation_coefficient_mass,symmetric_stack,6,456,462,1414503,nearest relation-level weighted coefficient in search window
nearest,2537360,right_relation_coefficient_mass,symmetric_stack,6,456,462,2536898,nearest relation-level weighted coefficient in search window
nearest,32,output_relation_coefficient_mass,symmetric_stack,0,0,1,31,nearest relation-level weighted coefficient in search window
nearest,39,output_relation_coefficient_mass,symmetric_stack,0,0,1,38,nearest relation-level weighted coefficient in search window
nearest,91,output_relation_coefficient_mass,symmetric_stack,0,0,1,90,nearest relation-level weighted coefficient in search window
nearest,243,output_relation_coefficient_mass,symmetric_stack,0,0,1,242,nearest relation-level weighted coefficient in search window
nearest,455,output_relation_coefficient_mass,symmetric_stack,0,0,1,454,nearest relation-level weighted coefficient in search window
nearest,2275,output_relation_coefficient_mass,symmetric_stack,0,0,1,2274,nearest relation-level weighted coefficient in search window
nearest,4095,output_relation_coefficient_mass,symmetric_stack,0,0,1,4094,nearest relation-level weighted coefficient in search window
nearest,6825,output_relation_coefficient_mass,symmetric_stack,0,0,1,6824,nearest relation-level weighted coefficient in search window
nearest,6912,output_relation_coefficient_mass,symmetric_stack,0,0,1,6911,nearest relation-level weighted coefficient in search window
nearest,14560,output_relation_coefficient_mass,symmetric_stack,0,0,1,14559,nearest relation-level weighted coefficient in search window
nearest,455640,output_relation_coefficient_mass,symmetric_stack,0,0,1,455639,nearest relation-level weighted coefficient in search window
nearest,531441,output_relation_coefficient_mass,symmetric_stack,0,0,1,531440,nearest relation-level weighted coefficient in search window
nearest,534656,output_relation_coefficient_mass,symmetric_stack,0,0,1,534655,nearest relation-level weighted coefficient in search window
nearest,1414965,output_relation_coefficient_mass,symmetric_stack,0,0,1,1414964,nearest relation-level weighted coefficient in search window
nearest,2537360,output_relation_coefficient_mass,symmetric_stack,0,0,1,2537359,nearest relation-level weighted coefficient in search window
exact,32,left_relation_support,symmetric_stack,3,511,32,0,exact relation-level weighted coefficient in search window
nearest_with_exact_present,32,left_relation_support,symmetric_stack,3,511,32,0,nearest relation-level weighted coefficient in search window
nearest,39,left_relation_support,symmetric_stack,2,360,36,3,nearest relation-level weighted coefficient in search window
nearest,91,left_relation_support,symmetric_stack,3,455,96,5,nearest relation-level weighted coefficient in search window
nearest,243,left_relation_support,symmetric_stack,5,380,252,9,nearest relation-level weighted coefficient in search window
nearest,455,left_relation_support,symmetric_stack,4,468,448,7,nearest relation-level weighted coefficient in search window
nearest,2275,left_relation_support,symmetric_stack,6,512,504,1771,nearest relation-level weighted coefficient in search window
nearest,4095,left_relation_support,symmetric_stack,6,512,504,3591,nearest relation-level weighted coefficient in search window
nearest,6825,left_relation_support,symmetric_stack,6,512,504,6321,nearest relation-level weighted coefficient in search window
