budget,weight,multiplicity,within_q_window
tensor_coefficient_value,1,758032,True
tensor_coefficient_value,2,484870,True
tensor_coefficient_value,3,32752,True
tensor_coefficient_value,4,105582,True
tensor_coefficient_value,5,544,True
tensor_coefficient_value,6,13552,True
tensor_coefficient_value,8,14734,True
tensor_coefficient_value,9,112,True
tensor_coefficient_value,10,16,True
tensor_coefficient_value,12,1443,True
tensor_coefficient_value,16,2306,True
tensor_coefficient_value,18,252,True
tensor_coefficient_value,20,16,True
tensor_coefficient_value,24,270,True
tensor_coefficient_value,32,284,True
tensor_coefficient_value,48,94,True
tensor_coefficient_value,64,106,True
relation_orbit_size,1,22,True
relation_orbit_size,2,14,True
relation_orbit_size,3,22,True
relation_orbit_size,4,46,True
relation_orbit_size,6,126,True
relation_orbit_size,8,74,True
relation_orbit_size,9,32,True
relation_orbit_size,12,196,True
relation_orbit_size,16,131,True
relation_orbit_size,18,124,True
relation_orbit_size,24,105,True
relation_orbit_size,32,30,True
relation_orbit_size,48,42,True
relation_orbit_size,64,21,True
left_relation_coefficient_mass,76,6,True
left_relation_coefficient_mass,139,2,True
left_relation_coefficient_mass,152,2,True
left_relation_coefficient_mass,170,2,True
left_relation_coefficient_mass,228,2,True
left_relation_coefficient_mass,240,8,True
left_relation_coefficient_mass,284,4,True
left_relation_coefficient_mass,304,3,True
left_relation_coefficient_mass,417,2,True
left_relation_coefficient_mass,456,4,True
left_relation_coefficient_mass,480,8,True
left_relation_coefficient_mass,510,6,True
left_relation_coefficient_mass,556,3,False
left_relation_coefficient_mass,568,4,False
left_relation_coefficient_mass,608,2,False
left_relation_coefficient_mass,834,12,False
left_relation_coefficient_mass,852,12,False
left_relation_coefficient_mass,912,5,False
left_relation_coefficient_mass,960,38,False
left_relation_coefficient_mass,1020,6,False
left_relation_coefficient_mass,1136,2,False
left_relation_coefficient_mass,1216,17,False
left_relation_coefficient_mass,1530,32,False
left_relation_coefficient_mass,1668,33,False
left_relation_coefficient_mass,1704,104,False
left_relation_coefficient_mass,1824,18,False
left_relation_coefficient_mass,1920,72,False
left_relation_coefficient_mass,2432,30,False
left_relation_coefficient_mass,3060,124,False
left_relation_coefficient_mass,3336,87,False
left_relation_coefficient_mass,3408,158,False
left_relation_coefficient_mass,3648,42,False
left_relation_coefficient_mass,3840,114,False
left_relation_coefficient_mass,4864,21,False
right_relation_coefficient_mass,76,6,True
right_relation_coefficient_mass,139,2,True
right_relation_coefficient_mass,152,2,True
right_relation_coefficient_mass,170,2,True
right_relation_coefficient_mass,228,2,True
right_relation_coefficient_mass,240,8,True
right_relation_coefficient_mass,284,4,True
right_relation_coefficient_mass,304,3,True
right_relation_coefficient_mass,417,2,True
right_relation_coefficient_mass,456,4,True
right_relation_coefficient_mass,480,8,True
right_relation_coefficient_mass,510,6,True
right_relation_coefficient_mass,556,3,False
right_relation_coefficient_mass,568,4,False
right_relation_coefficient_mass,608,2,False
right_relation_coefficient_mass,834,12,False
right_relation_coefficient_mass,852,12,False
right_relation_coefficient_mass,912,5,False
right_relation_coefficient_mass,960,38,False
right_relation_coefficient_mass,1020,6,False
right_relation_coefficient_mass,1136,2,False
right_relation_coefficient_mass,1216,17,False
right_relation_coefficient_mass,1530,32,False
right_relation_coefficient_mass,1668,33,False
right_relation_coefficient_mass,1704,104,False
right_relation_coefficient_mass,1824,18,False
right_relation_coefficient_mass,1920,72,False
right_relation_coefficient_mass,2432,30,False
right_relation_coefficient_mass,3060,124,False
right_relation_coefficient_mass,3336,87,False
