path,archive_path,size_bytes,sha256
act_dependence_factorization_audit/act_dependence_factorization_certificate.json,talagrand_python_handoff/work/act_dependence_factorization_audit/act_dependence_factorization_certificate.json,1815,42a4315df3d457c350313fa7ae9c7b0ecac83f5fa71dde0d4e5ebedc31ea3f62
act_dependence_factorization_audit/act_dependence_factorization_report.md,talagrand_python_handoff/work/act_dependence_factorization_audit/act_dependence_factorization_report.md,1061,77c30847ad3cfb644a5ff5b2f36d44c4d44f24da63a9822d11cd6216b5658ac4
act_dependence_factorization_audit/act_dependence_summary.csv,talagrand_python_handoff/work/act_dependence_factorization_audit/act_dependence_summary.csv,319,f67471a981d6c7abab15d6f212176e5736b94c4adb4718b043fbf5cb473ed9e6
act_dependence_factorization_audit/act_factorization_c2_faces.csv,talagrand_python_handoff/work/act_dependence_factorization_audit/act_factorization_c2_faces.csv,615063,a23dec93a0bef3efe3359e18c0dc5071fbe0412c4dabf3d44dcebae2013d6551
act_dependence_factorization_audit/act_factorization_h2_images.csv,talagrand_python_handoff/work/act_dependence_factorization_audit/act_factorization_h2_images.csv,88738,a17b51adec703c6137199a73f5b3a922327273516e60d72a048f1dd642b62819
act_dependence_factorization_audit/actor_dependence_lemma.md,talagrand_python_handoff/work/act_dependence_factorization_audit/actor_dependence_lemma.md,471,0ce3bfc20242dbbdbcec956ab5974cc1e37f53b20d62091ee03e05b83df36732
act_dependence_lemma_final/act_dependence_closure_ledger.csv,talagrand_python_handoff/work/act_dependence_lemma_final/act_dependence_closure_ledger.csv,240,e55304cca952f5d3b0eeda7150cfdda6080ec8df8402350f1471da14b2dd20e4
act_dependence_lemma_final/act_dependence_lemma_final.json,talagrand_python_handoff/work/act_dependence_lemma_final/act_dependence_lemma_final.json,988,ae82922a2e339ebc5dde7ac8f39797a4a4ed87431e289b8065d551ed0b6b8b94
act_dependence_lemma_final/act_dependence_lemma_final_certificate.json,talagrand_python_handoff/work/act_dependence_lemma_final/act_dependence_lemma_final_certificate.json,1550,efd8862dade0ef04fec543895eb5532f8203f0cede73bec1b778053a6bd506cb
act_dependence_lemma_final/act_dependence_lemma_final_report.md,talagrand_python_handoff/work/act_dependence_lemma_final/act_dependence_lemma_final_report.md,1905,8aca774d036bf0d43ff7578a635f3ed88fd809574c703b22dede0bbbd7c40747
all_residue_boundary_to_loop_materialization/all_mask_lambda_summary.csv,talagrand_python_handoff/work/all_residue_boundary_to_loop_materialization/all_mask_lambda_summary.csv,209628,bc42033e058aa1dec1f69f40c82be6283b90b3efaf13dbaf01f4c1815993d753
all_residue_boundary_to_loop_materialization/all_mask_lambda_vectors_dense.npz,talagrand_python_handoff/work/all_residue_boundary_to_loop_materialization/all_mask_lambda_vectors_dense.npz,70817,eca445e0144cb8a3a6e5b371e18f340826a1b25cd02dac3c8e05c51699005d14
all_residue_boundary_to_loop_materialization/all_mask_lambda_vectors_sparse.npz,talagrand_python_handoff/work/all_residue_boundary_to_loop_materialization/all_mask_lambda_vectors_sparse.npz,1474369,ec92fc0e1ca520b5dfdd71fcefdb49732fed27b1ce3fb9a223b1f0ab6b573d71
all_residue_boundary_to_loop_materialization/all_residue_boundary_to_loop_materialization_certificate.json,talagrand_python_handoff/work/all_residue_boundary_to_loop_materialization/all_residue_boundary_to_loop_materialization_certificate.json,1840,d56585c1f8ee086700b279b64671550e05f2c55eca5efa88fb64d54c947c14c0
all_residue_boundary_to_loop_materialization/all_residue_boundary_to_loop_materialization_report.md,talagrand_python_handoff/work/all_residue_boundary_to_loop_materialization/all_residue_boundary_to_loop_materialization_report.md,1596,99f8e0a5750e74311b97e7d1c3e16f508659420237cb1593901216bac788f5f3
all_residue_boundary_to_loop_materialization/directed_pair_lambda_summary.csv,talagrand_python_handoff/work/all_residue_boundary_to_loop_materialization/directed_pair_lambda_summary.csv,2810,b327cb906998b693f62b36b743e870e80b5f7bc620a422bbc45dc3c25e7e8454
all_residue_boundary_to_loop_materialization/primitive_cycle_lambda_entries.csv,talagrand_python_handoff/work/all_residue_boundary_to_loop_materialization/primitive_cycle_lambda_entries.csv,32097,de86aaa45baef288c56fde6d43a468391b26f993034b873b2442e1d846292426
all_residue_boundary_to_loop_materialization/primitive_cycle_lambda_summary.csv,talagrand_python_handoff/work/all_residue_boundary_to_loop_materialization/primitive_cycle_lambda_summary.csv,1674,6347a94e6cc86a55bf4b2fdde953b605b3dcafde8b65fd3e0572b5886ce21745
all_residue_boundary_to_loop_materialization/verify_all_residue_boundary_to_loop.py,talagrand_python_handoff/work/all_residue_boundary_to_loop_materialization/verify_all_residue_boundary_to_loop.py,414,953d020023149720cc79dd43600b15e1f76627be40c9a5b7bf5043c653871333
all_residue_height_action_return_reconstruction/all_residue_height_action_return_certificate.json,talagrand_python_handoff/work/all_residue_height_action_return_reconstruction/all_residue_height_action_return_certificate.json,4859,d4de13929cda3a11475bbb49f751bf3f2593b1428315ca4a8d94b70745c57583
all_residue_height_action_return_reconstruction/all_residue_height_action_return_report.md,talagrand_python_handoff/work/all_residue_height_action_return_reconstruction/all_residue_height_action_return_report.md,2557,a2b701a885bff18471f999a6aebb5286d6d73b23ceacc679bdc8781bf742132b
all_residue_height_action_return_reconstruction/all_residue_height_transport_rows.csv,talagrand_python_handoff/work/all_residue_height_action_return_reconstruction/all_residue_height_transport_rows.csv,180167,aab89d0152958e3bc034f48a46f3420eaaf31ed97fa84fb1574cd30be18784b1
all_residue_height_action_return_reconstruction/edge_mod2_gap_histogram.csv,talagrand_python_handoff/work/all_residue_height_action_return_reconstruction/edge_mod2_gap_histogram.csv,6857,ef1a6ff12cb7e1ed7829db1fb48ec0704fd26e1a22c5febb20d70958bb1cf6b7
all_residue_height_action_return_reconstruction/height_action_histogram.csv,talagrand_python_handoff/work/all_residue_height_action_return_reconstruction/height_action_histogram.csv,14158,713a12f5bbe83ac8889faea01d5eee6b8f676dde77b1b83dc18d2fc49121d5ba
all_residue_height_action_return_reconstruction/verify_all_residue_height_action_return.py,talagrand_python_handoff/work/all_residue_height_action_return_reconstruction/verify_all_residue_height_action_return.py,664,240146f671d93e84c977d02058320831208b1e82ec9060b5384d56e845fd9280
audited_talagrand_four_level_closure/audited_four_level_talagrand_closure_certificate.json,talagrand_python_handoff/work/audited_talagrand_four_level_closure/audited_four_level_talagrand_closure_certificate.json,4794,f6166a815b7d63cc6053c1411271f1e0106c0a5696e82e149404d89dbded661e
audited_talagrand_four_level_closure/audited_four_level_talagrand_closure_report.md,talagrand_python_handoff/work/audited_talagrand_four_level_closure/audited_four_level_talagrand_closure_report.md,1320,56d3bf11f361b365de87582e3173761c0d4fc4cf1ad680ed5118414d28b2d740
audited_talagrand_four_level_closure/audited_four_level_talagrand_closure_theorem.json,talagrand_python_handoff/work/audited_talagrand_four_level_closure/audited_four_level_talagrand_closure_theorem.json,1109,c6a86576e7ee15650da9362d4b9aa8b2c090ebd5576675de2309801bc92504ff
audited_talagrand_four_level_closure/dependency_ladder.csv,talagrand_python_handoff/work/audited_talagrand_four_level_closure/dependency_ladder.csv,2099,4bc8c8d6e2b609dcd2f4ebb6ee34649944ce72b749fd04bbd4913c59de9aab0b
e33_full_corrected_transport/all_mask_corrected_transport_summary.csv,talagrand_python_handoff/work/e33_full_corrected_transport/all_mask_corrected_transport_summary.csv,245966,76faf0f60423e7173327f777a50f7d4e6424bd42eed68595e41f0738a20dde81
e33_full_corrected_transport/all_mask_corrected_transport_vectors_dense.npz,talagrand_python_handoff/work/e33_full_corrected_transport/all_mask_corrected_transport_vectors_dense.npz,282634,a7a36336e6867917e22748aeab0aa69ed1fe8c288f7f3b2179e2f6d0a8714304
e33_full_corrected_transport/all_mask_corrected_transport_vectors_sparse.npz,talagrand_python_handoff/work/e33_full_corrected_transport/all_mask_corrected_transport_vectors_sparse.npz,1664301,a1678f9e083701fb00cc9f16b0294ffe76cce826ef92d9cc5a333a6c3d575d36
e33_full_corrected_transport/e33_full_corrected_transport_certificate.json,talagrand_python_handoff/work/e33_full_corrected_transport/e33_full_corrected_transport_certificate.json,3245,add7c450b1cafc1bcb8c1c16a561fc4522fadc65944819fdee24efc55d1f10b6
e33_full_corrected_transport/e33_full_corrected_transport_report.md,talagrand_python_handoff/work/e33_full_corrected_transport/e33_full_corrected_transport_report.md,1751,09e05da70703fc8bb50dfabeb68eb5893e57ee1c6bd66356d52c4a185b982c06
e33_full_corrected_transport/e33_vector.npz,talagrand_python_handoff/work/e33_full_corrected_transport/e33_vector.npz,363,2e162862de7a5ffccbda41a49910d6582a48a0270d7e88584ad8292d2633824d
e33_full_corrected_transport/e33_vector_entries.csv,talagrand_python_handoff/work/e33_full_corrected_transport/e33_vector_entries.csv,1137,5a0c68e8fcec378e9cc818bac7766de036d54cc6bc9ad2410b7b705945e7a12d
e33_full_corrected_transport/verify_e33_full_corrected_transport.py,talagrand_python_handoff/work/e33_full_corrected_transport/verify_e33_full_corrected_transport.py,558,a8ff2910fb256d38b5067bf3523a7f7e973519afbe4baf4e88e335d36872304b
exact_all_two_level_shell_certificate/exact_all_two_level_quotient_coefficients.csv,talagrand_python_handoff/work/exact_all_two_level_shell_certificate/exact_all_two_level_quotient_coefficients.csv,28296,5074ef48c3d1ae00f710ae751106f9a8e01b828481ab97e8e923d2f38b9294af
exact_all_two_level_shell_certificate/exact_all_two_level_shell_certificate.json,talagrand_python_handoff/work/exact_all_two_level_shell_certificate/exact_all_two_level_shell_certificate.json,1381,b24484dbffc88d76c3fc9fa667458facc0b16f763a91c184d78e72edb34cf625
exact_all_two_level_shell_certificate/exact_all_two_level_shell_report.md,talagrand_python_handoff/work/exact_all_two_level_shell_certificate/exact_all_two_level_shell_report.md,1059,d5776911f0b28324562bee77b2822f57a74c7c8799b7003d2d693d5df91c68a8
exact_all_two_level_shell_certificate/exact_all_two_level_shell_rows.csv,talagrand_python_handoff/work/exact_all_two_level_shell_certificate/exact_all_two_level_shell_rows.csv,26299,259f1afffc080b8431963467c677353560fec3ef3b57d7f4eb57b353449561f2
exact_all_two_level_shell_certificate/exact_all_two_level_shell_theorem.json,talagrand_python_handoff/work/exact_all_two_level_shell_certificate/exact_all_two_level_shell_theorem.json,716,24bdd60e87f7b5b0fd148050c4b151d296762aa7a5dd02f3aa168fb852bae986
exact_pair_stabilized_shell_certificate/exact_pair_stabilized_shell_certificate.json,talagrand_python_handoff/work/exact_pair_stabilized_shell_certificate/exact_pair_stabilized_shell_certificate.json,2864,796936a1eeecb36e3602de3d36f38499d2e27dae691670cde84f037c55bd3a6b
exact_pair_stabilized_shell_certificate/exact_pair_stabilized_shell_report.md,talagrand_python_handoff/work/exact_pair_stabilized_shell_certificate/exact_pair_stabilized_shell_report.md,1056,fee4fe36a6d2c00c8f1976242e13e5b8313eceea274d7d692224629c702c365c
exact_pair_stabilized_shell_certificate/pair_stabilized_Q0_coefficients.csv,talagrand_python_handoff/work/exact_pair_stabilized_shell_certificate/pair_stabilized_Q0_coefficients.csv,477,9300412e87efc53704f6b1953eb0016f3f7df544a4980e88de73665b7b323a36
exact_pair_stabilized_shell_certificate/pair_stabilized_R_coefficients.csv,talagrand_python_handoff/work/exact_pair_stabilized_shell_certificate/pair_stabilized_R_coefficients.csv,1107,7842c851679775e97462c11a8c2313d3dee2ead4d5cae7bc7c3309b7e23d9c21
exact_pair_stabilized_shell_certificate/pair_stabilized_certificate_rows.csv,talagrand_python_handoff/work/exact_pair_stabilized_shell_certificate/pair_stabilized_certificate_rows.csv,762,4794c7a9da456fea4bf6ea2cd4b1dbb48f7ceea5d2738f29c5b3909409068bd9
exact_pair_stabilized_shell_certificate/pair_stabilized_shell_theorem.json,talagrand_python_handoff/work/exact_pair_stabilized_shell_certificate/pair_stabilized_shell_theorem.json,837,7bc8854205ec7620efdd10226e84e7c8ff819b63ac6c766780d84d1556f848cf
exact_two_level_high_support_certificate/exact_two_level_high_support_certificate.json,talagrand_python_handoff/work/exact_two_level_high_support_certificate/exact_two_level_high_support_certificate.json,7582,e8a4077bc5ecfa4a491db64e78221981e401953be0525a15b65a55418fd3aec8
