shell,h2_basis_index,Act_support_size,Act_profile_ids,Act_image_zero,Act_image_nonnegative_by_three_level_certificates,status_multiset
12,0,4,"4569,4572,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,1,4,"6,7,4572,4573",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,2,2,"111,113",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
12,3,4,"41,43,115,116",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,4,4,"41,44,115,117",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,5,4,"41,45,115,118",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,6,4,"41,46,115,119",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,7,4,"41,47,115,120",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,8,4,"4539,4544,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,9,4,"6,7,4543,4544",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,10,2,"212,214",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
12,11,6,"41,42,113,115,218,221",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,12,4,"113,115,218,220",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,13,6,"41,43,113,115,218,222",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,14,6,"41,44,113,115,218,223",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,15,6,"41,45,113,115,218,224",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,16,6,"41,46,113,115,218,225",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,17,4,"4487,4498,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,18,2,"240,244",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
12,19,4,"6,7,4493,4494",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,20,2,"363,368",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
12,21,4,"6,7,4495,4498",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,22,2,"364,367",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
12,23,4,"4488,4498,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,24,4,"6,7,4497,4498",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,25,2,"365,367",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
12,26,2,"371,372",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
12,27,4,"214,218,372,377",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,28,4,"214,218,372,376",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
12,29,6,"113,115,214,218,372,379",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
12,30,8,"41,43,113,115,214,218,372,381",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
12,31,8,"41,44,113,115,214,218,372,382",False,True,"{""EXACT_RATIONAL_PASS"": 8}"
