mask,basis_cycle_ids,basis_active_count,lambda_support,lambda_coefficient_sum,lambda_abs_sum,lambda_vector_sha256
0,,0,0,0,0,ad5345954a23d42bbacd56d55a6e79c848369307b95fa96ac5cefcbc3c271de9
1,0,1,297,192736,192736,e1c663f49ca9792b0407c91fd5bf39902cbbe84c8ee9133c73fb1355b15404c4
2,1,1,297,227136,227136,e2978ed42c7f5142e8f691d4300ff08f129790c2abddd9272aec70b03b8d5b5f
3,0 1,2,297,419872,419872,fc0ca8abb27584b42edfb7fcb5637911243f8f5e8702d569fbe75f7562fe4969
4,2,1,253,101952,101952,037df87b01c9b6ccdf95be8f582b30c75afabe0e17fbb91d19852e293d7d4860
5,0 2,2,297,294688,294688,6180b9f1ca834e535074facb5f0a8f464f33aaf0fcaa9bca75081b85692d6b34
6,1 2,2,297,329088,329088,bbfcec714a59cee634192d4475503530fdb36c71ffe596f8aaa8f93a66ad64fb
7,0 1 2,3,297,521824,521824,3e4a6a86742a2c28e92b0ca68ba1953c9cbc40d6af817fe9704500e7e524b1c6
8,3,1,297,251424,251424,f539e84460460a7905c19e041e1e49863dee9b69dcb0c769a014a5463bd1b879
9,0 3,2,297,444160,444160,1eb483488d83096673e51d6e4c54ea6889f51c0ebdb358c598c19a21dd765d1e
10,1 3,2,297,478560,478560,ae1bd1678dd0824e579125c10b60c357652a8a7b9fc44d413965027051ac92a0
11,0 1 3,3,297,671296,671296,12493f305c9386cbf3d91d5d02e403c06b03081d989944e562a83e8643b19105
12,2 3,2,297,353376,353376,b5d385936d59cd16c278bc50c12966ddb4f1e21c2f454ac1b5f889b2b74ba76c
13,0 2 3,3,297,546112,546112,6bf7dee4573bbdc88889d61a48d0fd8852278eeb89ccf286216eb6f66e741f85
14,1 2 3,3,297,580512,580512,19eda02db8e68fac2f9b2cd35adf6ba01b786fcf6d54083c33b74d5c3c2828d7
15,0 1 2 3,4,297,773248,773248,8b966b7aed4def3f1612b43b2338ac43e60052c02c2c0e487d39ebea2642076c
16,4,1,297,180832,180832,81a678f032687333b2f9308f682bedc20b78260f23f16d958c28f76ab95b09bb
