mask,basis_cycle_ids,basis_active_count,basis_length_sum,height_action,edge_mod2_height_action,edge_mod2_height_gap,residual_integral,residual_mod_1000003,transport_scalar_mod_1000003,transport_scalar_signed,support_sector,q42_shadow_nonzero,q12_shadow_nonzero,coefficient_matches_residual_mod_prime
0,,0,0,0,0,0,0,0,0,0,33,0,0,True
1,0,1,8,1075200,1075200,0,-1075200,924806,462403,462403,33,0,0,True
2,1,1,8,1320960,1320960,0,-1320960,679046,339523,339523,33,0,0,True
3,0 1,2,16,2396160,1683456,712704,-2396160,603849,801926,-198077,33,0,0,True
4,2,1,5,774144,774144,0,-774144,225859,612931,-387072,33,0,0,True
5,0 2,2,13,1849344,817152,1032192,-1849344,150662,75331,75331,33,0,0,True
6,1 2,2,13,2095104,2095104,0,-2095104,904905,952454,-47549,33,0,0,True
7,0 1 2,3,21,3170304,1425408,1744896,-3170304,829708,414854,414854,33,0,0,True
8,3,1,10,1191936,1191936,0,-1191936,808070,404035,404035,33,0,0,True
9,0 3,2,18,2267136,2009088,258048,-2267136,732873,866438,-133565,33,0,0,True
10,1 3,2,18,2512896,976896,1536000,-2512896,487113,743558,-256445,33,0,0,True
11,0 1 3,3,26,3588096,1081344,2506752,-3588096,411916,205958,205958,33,0,0,True
12,2 3,2,15,1966080,1744896,221184,-1966080,33926,16963,16963,33,0,0,True
13,0 2 3,3,23,3041280,1529856,1511424,-3041280,958732,479366,479366,33,0,0,True
14,1 2 3,3,23,3287040,1529856,1757184,-3287040,712972,356486,356486,33,0,0,True
15,0 1 2 3,4,31,4362240,602112,3760128,-4362240,637775,818889,-181114,33,0,0,True
16,4,1,8,1081344,1081344,0,-1081344,918662,459331,459331,33,0,0,True
17,0 4,2,16,2156544,2009088,147456,-2156544,843465,921734,-78269,33,0,0,True
18,1 4,2,16,2402304,976896,1425408,-2402304,597705,798854,-201149,33,0,0,True
19,0 1 4,3,24,3477504,1191936,2285568,-3477504,522508,261254,261254,33,0,0,True
20,2 4,2,13,1855488,1855488,0,-1855488,144518,72259,72259,33,0,0,True
21,0 2 4,3,21,2930688,1751040,1179648,-2930688,69321,534662,-465341,33,0,0,True
22,1 2 4,3,21,3176448,1751040,1425408,-3176448,823564,411782,411782,33,0,0,True
23,0 1 2 4,4,29,4251648,933888,3317760,-4251648,748367,874185,-125818,33,0,0,True
24,3 4,2,18,2273280,700416,1572864,-2273280,726729,863366,-136637,33,0,0,True
25,0 3 4,3,26,3348480,1665024,1683456,-3348480,651532,325766,325766,33,0,0,True
26,1 3 4,3,26,3594240,1910784,1683456,-3594240,405772,202886,202886,33,0,0,True
27,0 1 3 4,4,34,4669440,2162688,2506752,-4669440,330575,665289,-334714,33,0,0,True
28,2 3 4,3,23,3047424,1253376,1794048,-3047424,952588,476294,476294,33,0,0,True
29,0 2 3 4,4,31,4122624,1185792,2936832,-4122624,877391,938697,-61306,33,0,0,True
30,1 2 3 4,4,31,4368384,2463744,1904640,-4368384,631631,815817,-184186,33,0,0,True
31,0 1 2 3 4,5,39,5443584,1683456,3760128,-5443584,556434,278217,278217,33,0,0,True
32,5,1,5,691200,691200,0,-691200,308803,654403,-345600,33,0,0,True
33,0 5,2,13,1766400,1618944,147456,-1766400,233606,116803,116803,33,0,0,True
34,1 5,2,13,2012160,1569792,442368,-2012160,987849,993926,-6077,33,0,0,True
35,0 1 5,3,21,3087360,1784832,1302528,-3087360,912652,456326,456326,33,0,0,True
36,2 5,2,10,1465344,1465344,0,-1465344,534662,267331,267331,33,0,0,True
37,0 2 5,3,18,2540544,1360896,1179648,-2540544,459465,729734,-270269,33,0,0,True
38,1 2 5,3,18,2786304,2343936,442368,-2786304,213705,606854,-393149,33,0,0,True
39,0 1 2 5,4,26,3861504,1526784,2334720,-3861504,138508,69254,69254,33,0,0,True
40,3 5,2,15,1883136,1293312,589824,-1883136,116870,58435,58435,33,0,0,True
41,0 3 5,3,23,2958336,2257920,700416,-2958336,41673,520838,-479165,33,0,0,True
42,1 3 5,3,23,3204096,1520640,1683456,-3204096,795916,397958,397958,33,0,0,True
43,0 1 3 5,4,31,4279296,1772544,2506752,-4279296,720719,860361,-139642,33,0,0,True
44,2 3 5,3,20,2657280,1846272,811008,-2657280,342729,671366,-328637,33,0,0,True
45,0 2 3 5,4,28,3732480,1778688,1953792,-3732480,267532,133766,133766,33,0,0,True
46,1 2 3 5,4,28,3978240,2073600,1904640,-3978240,21772,10886,10886,33,0,0,True
47,0 1 2 3 5,5,36,5053440,1293312,3760128,-5053440,946578,473289,473289,33,0,0,True
48,4 5,2,13,1772544,979968,792576,-1772544,227462,113731,113731,33,0,0,True
49,0 4 5,3,21,2847744,2055168,792576,-2847744,152265,576134,-423869,33,0,0,True
50,1 4 5,3,21,3093504,1317888,1775616,-3093504,906508,453254,453254,33,0,0,True
51,0 1 4 5,4,29,4168704,1680384,2488320,-4168704,831311,915657,-84346,33,0,0,True
52,2 4 5,3,18,2546688,1754112,792576,-2546688,453321,726662,-273341,33,0,0,True
53,0 2 4 5,4,26,3621888,1797120,1824768,-3621888,378124,189062,189062,33,0,0,True
54,1 2 4 5,4,26,3867648,2092032,1775616,-3867648,132364,66182,66182,33,0,0,True
55,0 1 2 4 5,5,34,4942848,1422336,3520512,-4942848,57167,528585,-471418,33,0,0,True
56,3 4 5,3,23,2964480,1188864,1775616,-2964480,35529,517766,-482237,33,0,0,True
57,0 3 4 5,4,31,4039680,2006016,2033664,-4039680,960335,980169,-19834,33,0,0,True
58,1 3 4 5,4,31,4285440,1956864,2328576,-4285440,714575,857289,-142714,33,0,0,True
59,0 1 3 4 5,5,39,5360640,2061312,3299328,-5360640,639378,319689,319689,33,0,0,True
60,2 3 4 5,4,28,3738624,1741824,1996800,-3738624,261388,130694,130694,33,0,0,True
61,0 2 3 4 5,5,36,4813824,1526784,3287040,-4813824,186191,593097,-406906,33,0,0,True
62,1 2 3 4 5,5,36,5059584,2509824,2549760,-5059584,940434,470217,470217,33,0,0,True
63,0 1 2 3 4 5,6,44,6134784,1582080,4552704,-6134784,865237,932620,-67383,33,0,0,True
64,6,1,5,903168,903168,0,-903168,96835,548419,-451584,33,0,0,True
65,0 6,2,13,1978368,1056768,921600,-1978368,21638,10819,10819,33,0,0,True
66,1 6,2,13,2224128,2002944,221184,-2224128,775881,887942,-112061,33,0,0,True
67,0 1 6,3,21,3299328,1886208,1413120,-3299328,700684,350342,350342,33,0,0,True
68,2 6,2,10,1677312,1234944,442368,-1677312,322694,161347,161347,33,0,0,True
69,0 2 6,3,18,2752512,1241088,1511424,-2752512,247497,623750,-376253,33,0,0,True
70,1 2 6,3,18,2998272,2334720,663552,-2998272,1737,500870,-499133,33,0,0,True
71,0 1 2 6,4,26,4073472,2070528,2002944,-4073472,926543,963273,-36730,33,0,0,True
72,3 6,2,15,2095104,1837056,258048,-2095104,904905,952454,-47549,33,0,0,True
73,0 3 6,3,23,3170304,2248704,921600,-3170304,829708,414854,414854,33,0,0,True
74,1 3 6,3,23,3416064,1400832,2015232,-3416064,583948,291974,291974,33,0,0,True
75,0 1 3 6,4,31,4491264,1542144,2949120,-4491264,508751,754377,-245626,33,0,0,True
76,2 3 6,3,20,2869248,1947648,921600,-2869248,130761,565382,-434621,33,0,0,True
77,0 2 3 6,4,28,3944448,2211840,1732608,-3944448,55564,27782,27782,33,0,0,True
78,1 2 3 6,4,28,4190208,1511424,2678784,-4190208,809807,904905,-95098,33,0,0,True
79,0 1 2 3 6,5,36,5265408,1505280,3760128,-5265408,734610,367305,367305,33,0,0,True
80,4 6,2,13,1984512,1837056,147456,-1984512,15494,7747,7747,33,0,0,True
81,0 4 6,3,21,3059712,2138112,921600,-3059712,940300,470150,470150,33,0,0,True
82,1 4 6,3,21,3305472,1511424,1794048,-3305472,694540,347270,347270,33,0,0,True
83,0 1 4 6,4,29,4380672,1542144,2838528,-4380672,619343,809673,-190330,33,0,0,True
84,2 4 6,3,18,2758656,2168832,589824,-2758656,241353,620678,-379325,33,0,0,True
85,0 2 4 6,4,26,3833856,2322432,1511424,-3833856,166156,83078,83078,33,0,0,True
86,1 2 4 6,4,26,4079616,1843200,2236416,-4079616,920399,960201,-39802,33,0,0,True
87,0 1 2 4 6,5,34,5154816,1726464,3428352,-5154816,845202,422601,422601,33,0,0,True
88,3 4 6,3,23,3176448,1492992,1683456,-3176448,823564,411782,411782,33,0,0,True
89,0 3 4 6,4,31,4251648,1757184,2494464,-4251648,748367,874185,-125818,33,0,0,True
90,1 3 4 6,4,31,4497408,2482176,2015232,-4497408,502607,751305,-248698,33,0,0,True
91,0 1 3 4 6,5,39,5572608,2476032,3096576,-5572608,427410,213705,213705,33,0,0,True
92,2 3 4 6,4,28,3950592,1603584,2347008,-3950592,49420,24710,24710,33,0,0,True
93,0 2 3 4 6,5,36,5025792,1720320,3305472,-5025792,974226,487113,487113,33,0,0,True
94,1 2 3 4 6,5,36,5271552,2592768,2678784,-5271552,728466,364233,364233,33,0,0,True
95,0 1 2 3 4 6,6,44,6346752,2439168,3907584,-6346752,653269,826636,-173367,33,0,0,True
96,5 6,2,10,1594368,1446912,147456,-1594368,405638,202819,202819,33,0,0,True
97,0 5 6,3,18,2669568,1747968,921600,-2669568,330441,665222,-334781,33,0,0,True
98,1 5 6,3,18,2915328,2104320,811008,-2915328,84681,542342,-457661,33,0,0,True
99,0 1 5 6,4,26,3990528,2135040,1855488,-3990528,9484,4742,4742,33,0,0,True
100,2 5 6,3,15,2368512,1778688,589824,-2368512,631497,815750,-184253,33,0,0,True
101,0 2 5 6,4,23,3443712,1932288,1511424,-3443712,556300,278150,278150,33,0,0,True
102,1 2 5 6,4,23,3689472,2436096,1253376,-3689472,310540,155270,155270,33,0,0,True
103,0 1 2 5 6,5,31,4764672,2319360,2445312,-4764672,235343,617673,-382330,33,0,0,True
104,3 5 6,3,20,2786304,2085888,700416,-2786304,213705,606854,-393149,33,0,0,True
105,0 3 5 6,4,28,3861504,2350080,1511424,-3861504,138508,69254,69254,33,0,0,True
106,1 3 5 6,4,28,4107264,2092032,2015232,-4107264,892751,946377,-53626,33,0,0,True
107,0 1 3 5 6,5,36,5182464,2085888,3096576,-5182464,817554,408777,408777,33,0,0,True
108,2 3 5 6,4,25,3560448,2196480,1363968,-3560448,439564,219782,219782,33,0,0,True
109,0 2 3 5 6,5,33,4635648,2313216,2322432,-4635648,364367,682185,-317818,33,0,0,True
110,1 2 3 5 6,5,33,4881408,2202624,2678784,-4881408,118607,559305,-440698,33,0,0,True
111,0 1 2 3 5 6,6,41,5956608,2049024,3907584,-5956608,43410,21705,21705,33,0,0,True
