relation_id,coefficient_mod,coefficient_signed
155,343751,343751
156,656252,-343751
157,656252,-343751
158,343751,343751
159,343751,343751
160,656252,-343751
161,656252,-343751
162,343751,343751
163,968753,-31250
164,656252,-343751
165,343751,343751
166,31250,31250
886,835940,-164063
890,835940,-164063
893,492189,492189
895,164063,164063
896,835940,-164063
897,164063,164063
907,164063,164063
908,164063,164063
909,835940,-164063
910,835940,-164063
912,507814,-492189
916,835940,-164063
917,492189,492189
921,164063,164063
923,835940,-164063
926,835940,-164063
927,164063,164063
928,164063,164063
930,835940,-164063
932,835940,-164063
934,507814,-492189
935,164063,164063
938,164063,164063
940,492189,492189
941,835940,-164063
943,835940,-164063
945,835940,-164063
951,164063,164063
954,164063,164063
955,164063,164063
956,835940,-164063
960,164063,164063
961,835940,-164063
962,835940,-164063
964,835940,-164063
965,164063,164063
969,164063,164063
973,835940,-164063
975,492189,492189
977,507814,-492189
978,164063,164063
981,164063,164063
982,164063,164063
983,507814,-492189
