shell,power_u,power_y,coefficient
12,10,0,989184
12,8,1,2472960
12,8,0,54405120
12,6,2,3297280
12,6,1,108810240
12,6,0,1196912640
12,4,3,2472960
12,4,2,108810240
12,4,1,1795368960
12,4,0,13166039040
12,2,4,989184
12,2,3,54405120
12,2,2,1196912640
12,2,1,13166039040
12,2,0,72413214720
12,0,5,164864
12,0,4,10881024
12,0,3,299228160
12,0,2,4388679680
12,0,1,36206607360
12,0,0,277028505600
16,14,0,1554432
16,12,1,5440512
16,12,0,119691264
16,10,2,10881024
16,10,1,359073792
16,10,0,3949811712
16,8,3,13601280
16,8,2,598456320
16,8,1,9874529280
16,8,0,72413214720
16,6,4,10881024
16,6,3,598456320
16,6,2,13166039040
16,6,1,144826429440
16,6,0,796545361920
16,4,5,5440512
16,4,4,359073792
16,4,3,9874529280
16,4,2,144826429440
16,4,1,1194818042880
16,4,0,5257199388672
16,2,6,1554432
16,2,5,119691264
16,2,4,3949811712
16,2,3,72413214720
16,2,2,796545361920
16,2,1,5257199388672
16,2,0,19276397758464
16,0,7,194304
16,0,6,17098752
16,0,5,658301952
16,0,4,14482642944
16,0,3,199136340480
16,0,2,1752399796224
16,0,1,9638198879232
16,0,0,66616335869952
