shell,complement_size,support_size,power,quotient_coefficient
12,0,24,0,0
12,1,23,0,2576
12,1,23,1,5152
12,1,23,2,363216
12,1,23,3,721280
12,1,23,4,21519904
12,1,23,5,42318528
12,1,23,6,689960992
12,1,23,7,1337603456
12,1,23,8,12798302160
12,1,23,9,24259000864
12,1,23,10,135199816976
12,2,22,0,164864
12,2,22,1,329728
12,2,22,2,11375616
12,2,22,3,22421504
12,2,22,4,332695552
12,2,22,5,642969600
12,2,22,6,5341923328
12,2,22,7,10040877056
12,2,22,8,50946438144
12,2,22,9,91851999232
12,2,22,10,174347199488
12,3,21,0,1877904
12,3,21,1,3755808
12,3,21,2,84505680
12,3,21,3,165255552
12,3,21,4,1626264864
12,3,21,5,3087274176
12,3,21,6,17430704928
12,3,21,7,31774135680
12,3,21,8,113750278992
12,3,21,9,142217589024
12,3,21,10,167424694416
12,4,20,0,10551296
12,4,20,1,21102592
12,4,20,2,348192768
12,4,20,3,675282944
12,4,20,4,4959109120
12,4,20,5,9242935296
12,4,20,6,39905001472
12,4,20,7,70567067648
12,4,20,8,177215176704
12,4,20,9,161557381120
12,4,20,10,141931642880
12,5,19,0,40250000
12,5,19,1,80500000
12,5,19,2,1038450000
12,5,19,3,1996400000
12,5,19,4,11672500000
12,5,19,5,21348600000
12,5,19,6,75196660000
12,5,19,7,119871777152
12,5,19,8,221639908944
12,5,19,9,155237421856
12,5,19,10,112017246608
16,0,24,0,0
16,1,23,0,759
16,1,23,1,1518
16,1,23,2,141933
16,1,23,3,282348
16,1,23,4,11665071
16,1,23,5,23047794
16,1,23,6,551576685
16,1,23,7,1080105576
16,1,23,8,16476586797
16,1,23,9,31873068018
16,1,23,10,320839872111
16,1,23,11,609806676204
16,1,23,12,4044832193325
16,1,23,13,7479857710446
16,1,23,14,31588983341751
16,2,22,0,194304
16,2,22,1,388608
16,2,22,2,17681664
16,2,22,3,34974720
16,2,22,4,710569728
16,2,22,5,1386164736
16,2,22,6,16544402688
16,2,22,7,31702640640
16,2,22,8,245997219072
16,2,22,9,460291797504
16,2,22,10,2426986172160
16,2,22,11,4393680546816
16,2,22,12,15998573800704
16,2,22,13,27603467054592
16,2,22,14,33174988822272
