shell,three_profile_id,rest_size,subsets_scanned,local_unique_four_profiles
12,44,4,16,5
12,45,3,8,4
12,46,2,4,3
12,47,1,2,2
12,48,0,1,1
12,116,4,16,5
12,117,3,8,4
12,118,2,4,3
12,119,1,2,2
12,120,0,1,1
12,220,4,16,5
12,221,4,16,5
12,222,3,8,4
12,223,2,4,3
12,224,1,2,2
12,225,0,1,1
12,376,4,16,5
12,377,4,16,8
12,378,4,16,5
12,379,3,8,4
12,380,3,8,4
12,381,2,4,3
12,382,1,2,2
12,383,0,1,1
12,635,4,16,6
12,636,4,16,6
12,637,4,16,9
12,638,4,16,5
12,639,4,16,8
12,640,4,16,9
12,641,3,8,6
12,642,3,8,4
12,643,3,8,6
12,644,2,4,3
12,645,2,4,3
12,646,1,2,2
12,647,0,1,1
12,996,4,16,5
12,997,4,16,8
12,998,4,16,8
12,999,4,16,8
12,1000,4,16,8
12,1001,4,16,8
12,1002,4,16,8
12,1003,4,16,8
12,1004,4,16,8
12,1005,3,8,4
12,1006,3,8,4
12,1007,3,8,4
12,1008,3,8,4
12,1009,3,8,4
12,1010,2,4,3
12,1011,2,4,3
12,1012,2,4,3
12,1013,1,2,2
12,1014,1,2,2
12,1015,0,1,1
12,1489,4,16,5
12,1490,4,16,9
12,1491,4,16,9
12,1492,4,16,9
12,1493,4,16,9
12,1494,4,16,5
12,1495,4,16,9
12,1496,4,16,9
12,1497,4,16,5
12,1498,4,16,9
12,1499,4,16,9
12,1500,4,16,9
12,1501,4,16,9
12,1502,4,16,9
12,1503,4,16,9
12,1504,3,8,4
12,1505,3,8,4
12,1506,3,8,4
12,1507,3,8,4
12,1508,3,8,4
12,1509,3,8,4
12,1510,3,8,4
12,1511,3,8,4
12,1512,2,4,3
12,1513,2,4,3
12,1514,2,4,3
12,1515,2,4,3
12,1516,2,4,3
12,1517,1,2,2
12,1518,1,2,2
12,1519,1,2,2
12,1520,0,1,1
12,1521,0,1,1
12,2034,4,16,5
12,2035,4,16,5
12,2036,4,16,5
12,2037,4,16,5
12,2038,4,16,5
12,2039,4,16,5
12,2040,4,16,5
12,2041,4,16,5
12,2042,4,16,5
12,2043,4,16,5
12,2044,4,16,5
12,2045,4,16,5
12,2046,4,16,5
12,2047,4,16,5
12,2048,4,16,5
12,2049,4,16,6
12,2050,4,16,10
12,2051,4,16,10
12,2052,3,8,4
12,2053,3,8,4
12,2054,3,8,4
12,2055,3,8,4
12,2056,3,8,4
12,2057,3,8,4
12,2058,3,8,4
12,2059,3,8,4
12,2060,3,8,6
12,2061,3,8,6
12,2062,2,4,3
12,2063,2,4,3
12,2064,2,4,3
12,2065,2,4,3
12,2066,2,4,3
12,2067,2,4,3
12,2068,1,2,2
12,2069,1,2,2
12,2070,1,2,2
12,2071,1,2,2
12,2072,0,1,1
12,2073,0,1,1
12,2613,4,16,5
12,2614,4,16,5
12,2615,4,16,5
12,2616,4,16,5
12,2617,4,16,5
12,2618,4,16,5
12,2619,4,16,5
12,2620,4,16,5
12,2621,4,16,5
12,2622,4,16,5
12,2623,4,16,5
12,2624,4,16,5
12,2625,4,16,5
12,2626,4,16,5
12,2627,4,16,5
12,2628,4,16,5
12,2629,4,16,5
12,2630,4,16,5
12,2631,4,16,5
12,2632,4,16,5
12,2633,4,16,5
12,2634,4,16,5
12,2635,4,16,5
12,2636,4,16,5
12,2637,4,16,8
12,2638,4,16,8
12,2639,4,16,8
12,2640,4,16,6
12,2641,4,16,16
12,2642,3,8,4
12,2643,3,8,4
12,2644,3,8,4
12,2645,3,8,4
12,2646,3,8,4
12,2647,3,8,4
12,2648,3,8,4
12,2649,3,8,4
12,2650,3,8,4
12,2651,3,8,4
12,2652,3,8,4
