support_k,projection_law,reason,extra_code_obstruction
1,independent Rademacher for all real coefficient vectors,dual distance 8 => coordinate projection uniform,none
2,independent Rademacher for all real coefficient vectors,dual distance 8 => coordinate projection uniform,none
3,independent Rademacher for all real coefficient vectors,dual distance 8 => coordinate projection uniform,none
4,independent Rademacher for all real coefficient vectors,dual distance 8 => coordinate projection uniform,none
5,independent Rademacher for all real coefficient vectors,dual distance 8 => coordinate projection uniform,none
6,independent Rademacher for all real coefficient vectors,dual distance 8 => coordinate projection uniform,none
7,independent Rademacher for all real coefficient vectors,dual distance 8 => coordinate projection uniform,none
8,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
9,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
10,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
11,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
12,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
13,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
14,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
15,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
16,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
17,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
18,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
19,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
20,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
21,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
22,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
23,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
24,Golay constraints may appear,supports can contain octads/dodecads/etc.; projection need not be full cube,visible in codeword/indicator probes
