shell,start_id,success,ratio,F,grad_norm,max_hessian_eigenvalue,min_hessian_eigenvalue,cv_exp_z,message
12,0,True,1.0000000000000007,5.551115123125783e-16,8.970682164693011e-10,-2.3314683517128287e-15,-0.739130436186485,2.477414919553419e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,1,True,1.0000000000000002,2.498001805406602e-16,1.6544193938932486e-08,2.55351295663786e-15,-0.7391304696100378,4.568976204011197e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,2,True,1.0000000000000018,1.7486012637846216e-15,5.504885485551074e-10,3.3306690738754696e-15,-0.7391304351979694,1.5202732969200924e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,3,True,1.0000000000000009,8.604228440844963e-16,1.3496692203920281e-08,-3.3306690738754696e-16,-0.7391304444114667,3.72735396633808e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,4,True,1.0000000000000002,2.0816681711721685e-16,3.3014884674002147e-09,3.4416913763379853e-15,-0.7391304356312388,9.117653307401749e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,5,True,1.000000000000001,1.1102230246251565e-15,8.85640882251887e-10,1.2212453270876722e-15,-0.7391304355928009,2.445857729064672e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,6,True,1.0,1.1102230246251565e-16,4.645923678043714e-10,-3.3306690738754696e-16,-0.7391304355175982,1.2830552827310725e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,7,True,1.0000000000000009,8.881784197001252e-16,2.9816634155374943e-08,3.552713678800501e-15,-0.7391304857542,8.234398833229267e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,8,True,1.0000000000000004,3.608224830031759e-16,1.6766664028924623e-09,-8.881784197001252e-16,-0.7391304366741877,4.63041405250211e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,9,True,0.9999999999999998,-2.220446049250313e-16,2.4470038245015376e-09,-3.3306690738754696e-15,-0.7391304380136741,6.757840240975981e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,10,True,1.0000000000000009,8.881784197001252e-16,1.2385897011780972e-09,4.440892098500626e-15,-0.739130436099302,3.420588494230724e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,11,True,1.0000000000000009,7.771561172376096e-16,8.886983171106706e-11,2.0039318904912813e-307,-0.7391304348573298,2.4543029547351955e-11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,12,True,1.000000000000001,1.0547118733938987e-15,5.687272381038648e-12,3.6637359812630166e-15,-0.7391304347888806,1.5705941408008035e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,13,True,0.9999999999999997,-2.983724378680108e-16,8.379116262609187e-09,-1.887379141862766e-15,-0.739130438789425,2.3140434689508963e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,14,True,1.0000000000000004,4.440892098500626e-16,5.830904960334385e-11,1.7763568394002505e-15,-0.7391304348447204,1.6103070311711853e-11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,15,True,1.0000000000000004,4.996003610813204e-16,4.641188582637461e-11,-6.661338147750939e-16,-0.7391304348312777,1.2817592946559138e-11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,16,True,0.9999999999999998,-2.220446049250313e-16,7.124463444271034e-09,-6.661338147750939e-16,-0.7391304391847201,1.9675486223172724e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,17,True,1.0000000000000016,1.5543122344752192e-15,2.289051254563786e-11,2.220446049250313e-15,-0.7391304348124085,6.321538383419333e-12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
12,18,True,1.0000000000000027,2.55351295663786e-15,1.759667848984276e-08,7.327471962526033e-15,-0.7391304734554996,4.859638787372245e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,19,True,1.000000000000001,1.1102230246251565e-15,1.0025822163755618e-09,-7.771561172376096e-16,-0.7391304356672659,2.768811195561541e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,20,True,1.0,0.0,4.67008561365096e-09,1.5543122344752192e-15,-0.7391304408773595,1.2897280291906155e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,21,True,1.0000000000000009,8.881784197001252e-16,1.2201204177816055e-09,-5.551115123125783e-16,-0.7391304358521306,3.369582046121422e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,22,True,1.0000000000000007,6.661338147750939e-16,5.057136333121383e-09,4.218847493575595e-15,-0.7391304388489571,1.39661923586655e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,23,True,0.9999999999999991,-8.881784197001252e-16,5.416624074662761e-09,-2.55351295663786e-15,-0.7391304399032912,1.4958979306677836e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,24,True,1.0000000000000009,8.881784197001252e-16,4.40583785182317e-09,5.218048215738236e-15,-0.7391304379803123,1.2167513803864996e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,25,True,1.0000000000000007,5.551115123125783e-16,1.7642843652963351e-09,1.9984014443252818e-15,-0.7391304367018007,4.872387054147985e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,26,True,0.9999999999999998,-2.220446049250313e-16,4.6041115570769435e-08,-1.2212453270876722e-15,-0.7391305177148375,1.2715080826984333e-08,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,27,True,1.0000000000000016,1.4432899320127035e-15,1.8661644703902105e-08,7.66053886991358e-15,-0.739130458048773,5.15374850523241e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,28,True,1.0,0.0,1.395628491143062e-08,-3.885780586188048e-15,-0.7391304604254848,3.854278667450622e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,29,True,1.0,1.1102230246251565e-16,3.475111200815715e-09,1.5543122344752192e-15,-0.739130441882531,9.597143808631293e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,30,True,0.9999999999999996,-4.440892098500626e-16,4.936132071176919e-09,2.220446049250313e-16,-0.7391304416610367,1.3632015561153292e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,31,True,1.0000000000000009,8.881784197001252e-16,1.5824450874342478e-09,2.9976021664879227e-15,-0.7391304378007221,4.3702055769575597e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
12,32,True,0.9999999999999996,-4.440892098500626e-16,1.4710169233175687e-08,-2.6645352591003757e-15,-0.7391304458044332,4.062477466073731e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
