index,eigenvalue
0,-0.25366022174186265
1,-0.253660221741859
2,-0.2536602217418589
3,-0.2536602217418588
4,-0.2536602217418587
5,-0.2536602217418587
6,-0.25366022174185865
7,-0.2536602217418586
8,-0.2536602217418586
9,-0.2536602217418586
10,-0.25366022174185854
11,-0.25366022174185854
12,-0.25366022174185854
13,-0.2536602217418584
14,-0.25366022174185837
15,-0.25366022174185826
16,-0.253660221741858
17,-0.2536602217418579
18,-0.25366022174185787
19,-0.25366022174185776
20,-0.2536602217418572
21,-0.25366022174185704
22,-0.253660221741857
23,-0.23118259804606148
