support_size,shortened_rank,support_mask_hex,contained_codewords_count,K2_equal_coeff,K_equal_coeff,scale,distribution_profile
8,0,0x17f,0,1.0000000999570244,1.0000000499785109,7.804477396843443e-05,-2.82842712475:16;-2.12132034356:128;-1.41421356237:448;-0.707106781187:896;0:1120;0.707106781187:896;1.41421356237:448;2.12132034356:128;2.82842712475:16
8,1,0xff,1,1.0000000072144957,1.0000000036072478,0.0002610435497526844,-2.82842712475:32;-1.41421356237:896;0:2240;1.41421356237:896;2.82842712475:32
9,0,0x37f,0,1.0000000047676203,1.00000000238381,0.0002561498592943408,-3:8;-2.33333333333:72;-1.66666666667:288;-1:672;-0.333333333333:1008;0.333333333333:1008;1:672;1.66666666667:288;2.33333333333:72;3:8
9,1,0x1ff,1,1.000000236495765,1.0000001182478755,4.739916339605072e-05,-3:16;-2.33333333333:16;-1.66666666667:448;-1:448;-0.333333333333:1120;0.333333333333:1120;1:448;1.66666666667:448;2.33333333333:16;3:16
10,0,0x77f,0,1.0000000019034807,1.0000000009517402,0.00034698969109334327,-3.16227766017:4;-2.52982212814:40;-1.8973665961:180;-1.26491106407:480;-0.632455532034:840;0:1008;0.632455532034:840;1.26491106407:480;1.8973665961:180;2.52982212814:40;3.16227766017:4
10,1,0x3ff,1,1.0000000346618427,1.0000000173309211,0.0001176844488070596,-3.16227766017:8;-2.52982212814:16;-1.8973665961:232;-1.26491106407:448;-0.632455532034:784;0:1120;0.632455532034:784;1.26491106407:448;1.8973665961:232;2.52982212814:16;3.16227766017:8
11,0,0x177f,0,0.99999999749584,0.99999999874792,0.0005288760862789133,-3.31662479036:2;-2.7136021012:22;-2.11057941204:110;-1.50755672289:330;-0.904534033733:660;-0.301511344578:924;0.301511344578:924;0.904534033733:660;1.50755672289:330;2.11057941204:110;2.7136021012:22;3.31662479036:2
11,1,0x7ff,1,0.9999999976778305,0.9999999988389152,0.0005266726807216048,-3.31662479036:4;-2.7136021012:12;-2.11057941204:124;-1.50755672289:340;-0.904534033733:616;-0.301511344578:952;0.301511344578:952;0.904534033733:616;1.50755672289:340;2.11057941204:124;2.7136021012:12;3.31662479036:4
12,0,0x1177f,0,0.9999999980459346,0.9999999990229673,0.0005278531771528339,-3.46410161514:1;-2.88675134595:12;-2.30940107676:66;-1.73205080757:220;-1.15470053838:495;-0.57735026919:792;0:924;0.57735026919:792;1.15470053838:495;1.73205080757:220;2.30940107676:66;2.88675134595:12;3.46410161514:1
12,1,0x17ff,1,1.000000005168597,1.0000000025842986,0.00027101637604453623,-3.46410161514:2;-2.88675134595:8;-2.30940107676:68;-1.73205080757:232;-1.15470053838:478;-0.57735026919:784;0:952;0.57735026919:784;1.15470053838:478;1.73205080757:232;2.30940107676:68;2.88675134595:8;3.46410161514:2
12,2,0xfff,3,1.0000000016184485,1.0000000008092242,0.000345424301325015,-3.46410161514:4;-2.30940107676:72;-1.73205080757:256;-1.15470053838:444;-0.57735026919:768;0:1008;0.57735026919:768;1.15470053838:444;1.73205080757:256;2.30940107676:72;3.46410161514:4
