stage,k,signed_projection_count,support_count,distinct_projection_subspaces,distinct_distributions,projection_rank_histogram,max_unit_call_defect,count_attaining_max_unit_call_defect,minimum_critical_scale,count_attaining_minimum_critical_scale,most_frequent_distribution,most_frequent_distribution_count,unit_call_defect_excess_over_endpoint_max,critical_scale_loss_vs_endpoint
C0_H8_oplus_3,1,48,24,1,1,{'1': 24},0.1010577195985673,48,0.7978845608048654,48,-1:1;1:1,48,0.0,0.0
C0_H8_oplus_3,2,1104,276,1,1,{'2': 276},0.050596061105696255,1104,0.8988078777906073,1104,-2:1;0:2;2:1,1104,0.0,0.0
C0_H8_oplus_3,3,16192,2024,1,1,{'3': 2024},0.059011701057329,16192,0.9213177319248946,16192,-3:1;-1:3;1:3;3:1,16192,0.0,0.0
C0_H8_oplus_3,4,170016,10626,2,3,"{'3': 42, '4': 10584}",0.2021154391971346,336,0.7978845608038654,336,-4:1;-2:4;0:6;2:4;4:1,169344,0.16016403983488903,0.14618024004780716
C0_H8_oplus_3,5,1360128,42504,6,3,"{'4': 840, '5': 41664}",0.10793794192361439,13440,0.8800014801870324,13440,-5:1;-3:5;-1:10;1:10;3:5;5:1,1333248,0.0625,0.07153138176217888
C1_neighbor_1,1,48,24,1,1,{'1': 24},0.1010577195985673,48,0.7978845608048654,48,-1:1;1:1,48,0.0,0.0
C1_neighbor_1,2,1104,276,1,1,{'2': 276},0.050596061105696255,1104,0.8988078777906073,1104,-2:1;0:2;2:1,1104,0.0,0.0
C1_neighbor_1,3,16192,2024,1,1,{'3': 2024},0.059011701057329,16192,0.9213177319248946,16192,-3:1;-1:3;1:3;3:1,16192,0.0,0.0
C1_neighbor_1,4,170016,10626,2,3,"{'3': 18, '4': 10608}",0.2021154391971346,144,0.7978845608038654,144,-4:1;-2:4;0:6;2:4;4:1,169728,0.16016403983488903,0.14618024004780716
C1_neighbor_1,5,1360128,42504,6,3,"{'4': 360, '5': 42144}",0.10793794192361439,5760,0.8800014801870324,5760,-5:1;-3:5;-1:10;1:10;3:5;5:1,1348608,0.0625,0.07153138176217888
C2_neighbor_2,1,48,24,1,1,{'1': 24},0.1010577195985673,48,0.7978845608048654,48,-1:1;1:1,48,0.0,0.0
C2_neighbor_2,2,1104,276,1,1,{'2': 276},0.050596061105696255,1104,0.8988078777906073,1104,-2:1;0:2;2:1,1104,0.0,0.0
C2_neighbor_2,3,16192,2024,1,1,{'3': 2024},0.059011701057329,16192,0.9213177319248946,16192,-3:1;-1:3;1:3;3:1,16192,0.0,0.0
C2_neighbor_2,4,170016,10626,2,3,"{'3': 6, '4': 10620}",0.2021154391971346,48,0.7978845608038654,48,-4:1;-2:4;0:6;2:4;4:1,169920,0.16016403983488903,0.14618024004780716
C2_neighbor_2,5,1360128,42504,4,3,"{'4': 120, '5': 42384}",0.10793794192361439,1920,0.8800014801870324,1920,-5:1;-3:5;-1:10;1:10;3:5;5:1,1356288,0.0625,0.07153138176217888
C3_Golay_endpoint,1,48,24,1,1,{'1': 24},0.1010577195985673,48,0.7978845608048654,48,-1:1;1:1,48,0.0,0.0
C3_Golay_endpoint,2,1104,276,1,1,{'2': 276},0.050596061105696255,1104,0.8988078777906073,1104,-2:1;0:2;2:1,1104,0.0,0.0
C3_Golay_endpoint,3,16192,2024,1,1,{'3': 2024},0.059011701057329,16192,0.9213177319248946,16192,-3:1;-1:3;1:3;3:1,16192,0.0,0.0
C3_Golay_endpoint,4,170016,10626,1,1,{'4': 10626},0.04195139936224557,170016,0.9440648008516725,170016,-4:1;-2:4;0:6;2:4;4:1,170016,0.0,0.0
C3_Golay_endpoint,5,1360128,42504,1,1,{'5': 42504},0.04543794192361439,1360128,0.9515328619492113,1360128,-5:1;-3:5;-1:10;1:10;3:5;5:1,1360128,0.0,0.0
