label,k,inside_weight,outside_weight,count
prefix_k23,23,0,0,1
prefix_k23,23,7,1,253
prefix_k23,23,8,0,506
prefix_k23,23,11,1,1288
prefix_k23,23,12,0,1288
prefix_k23,23,15,1,506
prefix_k23,23,16,0,253
prefix_k23,23,23,1,1
prefix_k18,18,0,0,1
prefix_k18,18,2,6,1
prefix_k18,18,4,4,60
prefix_k18,18,5,3,160
prefix_k18,18,6,2,300
prefix_k18,18,6,6,16
prefix_k18,18,7,1,192
prefix_k18,18,7,5,192
prefix_k18,18,8,0,46
prefix_k18,18,8,4,600
prefix_k18,18,9,3,960
prefix_k18,18,10,2,600
prefix_k18,18,10,6,46
prefix_k18,18,11,1,192
prefix_k18,18,11,5,192
prefix_k18,18,12,0,16
prefix_k18,18,12,4,300
prefix_k18,18,13,3,160
prefix_k18,18,14,2,60
prefix_k18,18,16,0,1
prefix_k18,18,18,6,1
random_k6_0,6,0,0,1
random_k6_0,6,0,8,45
random_k6_0,6,0,12,18
random_k6_0,6,1,7,198
random_k6_0,6,1,11,180
random_k6_0,6,1,15,6
random_k6_0,6,2,6,285
random_k6_0,6,2,10,630
random_k6_0,6,2,14,45
random_k6_0,6,3,5,180
random_k6_0,6,3,9,920
random_k6_0,6,3,13,180
random_k6_0,6,4,4,45
random_k6_0,6,4,8,630
random_k6_0,6,4,12,285
random_k6_0,6,5,3,6
random_k6_0,6,5,7,180
random_k6_0,6,5,11,198
random_k6_0,6,6,6,18
random_k6_0,6,6,10,45
random_k6_0,6,6,18,1
random_k6_1,6,0,0,1
random_k6_1,6,0,8,45
random_k6_1,6,0,12,18
random_k6_1,6,1,7,198
random_k6_1,6,1,11,180
random_k6_1,6,1,15,6
random_k6_1,6,2,6,285
random_k6_1,6,2,10,630
random_k6_1,6,2,14,45
random_k6_1,6,3,5,180
random_k6_1,6,3,9,920
random_k6_1,6,3,13,180
random_k6_1,6,4,4,45
random_k6_1,6,4,8,630
random_k6_1,6,4,12,285
random_k6_1,6,5,3,6
random_k6_1,6,5,7,180
random_k6_1,6,5,11,198
random_k6_1,6,6,6,18
random_k6_1,6,6,10,45
random_k6_1,6,6,18,1
prefix_k6,6,0,0,1
prefix_k6,6,0,8,46
prefix_k6,6,0,12,16
prefix_k6,6,0,16,1
prefix_k6,6,1,7,192
prefix_k6,6,1,11,192
prefix_k6,6,2,6,300
prefix_k6,6,2,10,600
prefix_k6,6,2,14,60
prefix_k6,6,3,5,160
prefix_k6,6,3,9,960
prefix_k6,6,3,13,160
prefix_k6,6,4,4,60
prefix_k6,6,4,8,600
prefix_k6,6,4,12,300
prefix_k6,6,5,7,192
prefix_k6,6,5,11,192
prefix_k6,6,6,2,1
prefix_k6,6,6,6,16
prefix_k6,6,6,10,46
prefix_k6,6,6,18,1
prefix_k11,11,0,0,1
prefix_k11,11,0,8,3
prefix_k11,11,1,7,12
prefix_k11,11,2,6,108
prefix_k11,11,2,10,16
prefix_k11,11,3,5,219
prefix_k11,11,3,9,120
prefix_k11,11,3,13,1
prefix_k11,11,4,4,230
prefix_k11,11,4,8,384
prefix_k11,11,4,12,2
prefix_k11,11,5,3,148
prefix_k11,11,5,7,768
prefix_k11,11,5,11,36
prefix_k11,11,6,2,36
prefix_k11,11,6,6,768
prefix_k11,11,6,10,148
prefix_k11,11,7,1,2
prefix_k11,11,7,5,384
prefix_k11,11,7,9,230
prefix_k11,11,8,0,1
prefix_k11,11,8,4,120
prefix_k11,11,8,8,219
prefix_k11,11,9,3,16
prefix_k11,11,9,7,108
prefix_k11,11,10,6,12
prefix_k11,11,11,5,3
prefix_k11,11,11,13,1
prefix_k15,15,0,0,1
prefix_k15,15,0,8,1
prefix_k15,15,3,5,70
prefix_k15,15,4,4,210
prefix_k15,15,5,3,168
prefix_k15,15,5,7,168
prefix_k15,15,6,2,280
prefix_k15,15,6,6,280
prefix_k15,15,7,1,15
prefix_k15,15,7,5,840
prefix_k15,15,7,9,15
prefix_k15,15,8,0,15
prefix_k15,15,8,4,840
prefix_k15,15,8,8,15
prefix_k15,15,9,3,280
prefix_k15,15,9,7,280
prefix_k15,15,10,2,168
prefix_k15,15,10,6,168
prefix_k15,15,11,5,210
prefix_k15,15,12,4,70
prefix_k15,15,15,1,1
prefix_k15,15,15,9,1
random_k13_0,13,0,0,1
random_k13_0,13,1,7,5
random_k13_0,13,2,6,37
random_k13_0,13,2,10,1
random_k13_0,13,3,5,135
random_k13_0,13,3,9,15
random_k13_0,13,4,4,245
random_k13_0,13,4,8,110
random_k13_0,13,5,3,220
random_k13_0,13,5,7,410
random_k13_0,13,5,11,1
