shell,profile_id,actor_image_occurrences,certificate_status,certificate_support_size
12,5,1,EXACT_RATIONAL_PASS,61
12,6,83,EXACT_RATIONAL_PASS,77
12,7,84,EXACT_RATIONAL_PASS,80
12,41,18,EXACT_RATIONAL_PASS,71
12,42,3,EXACT_RATIONAL_PASS,70
12,43,5,EXACT_RATIONAL_PASS,72
12,44,4,EXACT_RATIONAL_PASS,57
12,45,3,EXACT_RATIONAL_PASS,72
12,46,2,EXACT_RATIONAL_PASS,72
12,47,1,EXACT_RATIONAL_PASS,67
12,55,1,EXACT_RATIONAL_PASS,84
12,57,1,EXACT_RATIONAL_PASS,85
12,58,2,EXACT_RATIONAL_PASS,81
12,111,1,EXACT_RATIONAL_PASS,86
12,113,17,EXACT_RATIONAL_PASS,79
12,115,21,EXACT_RATIONAL_PASS,85
12,116,1,EXACT_RATIONAL_PASS,73
12,117,1,EXACT_RATIONAL_PASS,80
12,118,1,EXACT_RATIONAL_PASS,83
12,119,1,EXACT_RATIONAL_PASS,79
12,120,1,EXACT_RATIONAL_PASS,25
12,129,1,EXACT_RATIONAL_PASS,84
12,130,1,EXACT_RATIONAL_PASS,85
12,132,1,EXACT_RATIONAL_PASS,84
12,134,3,EXACT_RATIONAL_PASS,84
12,212,1,EXACT_RATIONAL_PASS,86
12,214,17,EXACT_RATIONAL_PASS,84
12,218,22,EXACT_RATIONAL_PASS,83
12,220,1,EXACT_RATIONAL_PASS,82
12,221,1,EXACT_RATIONAL_PASS,83
12,222,1,EXACT_RATIONAL_PASS,82
12,223,1,EXACT_RATIONAL_PASS,83
12,224,1,EXACT_RATIONAL_PASS,83
12,225,1,EXACT_RATIONAL_PASS,42
12,236,1,EXACT_RATIONAL_PASS,80
12,237,1,EXACT_RATIONAL_PASS,79
12,240,1,EXACT_RATIONAL_PASS,85
12,242,1,EXACT_RATIONAL_PASS,79
12,244,1,EXACT_RATIONAL_PASS,84
12,245,1,EXACT_RATIONAL_PASS,85
12,246,4,EXACT_RATIONAL_PASS,86
12,363,1,EXACT_RATIONAL_PASS,78
12,364,1,EXACT_RATIONAL_PASS,84
12,365,1,EXACT_RATIONAL_PASS,81
12,367,22,EXACT_RATIONAL_PASS,87
12,368,5,EXACT_RATIONAL_PASS,84
12,371,1,EXACT_RATIONAL_PASS,79
12,372,23,EXACT_RATIONAL_PASS,81
12,376,1,EXACT_RATIONAL_PASS,81
12,377,1,EXACT_RATIONAL_PASS,82
12,379,1,EXACT_RATIONAL_PASS,78
