shell,F_threshold,rows_at_or_above_threshold,max_derivative,max_majorization_excess,derivative_violations,majorization_violations
12,0,191,1.8125636669100048e-15,-3.608224830031759e-15,0,0
12,-1e-06,191,1.8125636669100048e-15,-3.608224830031759e-15,0,0
12,-0.001,191,1.8125636669100048e-15,-3.608224830031759e-15,0,0
12,-0.01,381,1.8125636669100048e-15,2.6090241078691182e-14,0,0
12,-0.1,1134,1.8125636669100048e-15,5.306866057708248e-14,0,0
12,-0.5,2141,1.8125636669100048e-15,9.703071408417169e-14,0,0
12,-1.0,2530,1.8125636669100048e-15,9.703071408417169e-14,0,0
12,-2.0,3103,1.8125636669100048e-15,1.8408191637675489e-13,0,0
12,-3.0,3540,1.8125636669100048e-15,1.8408191637675489e-13,0,0
16,0,191,1.321340664272522e-15,2.1094237467877974e-15,0,0
16,-1e-06,191,1.321340664272522e-15,2.1094237467877974e-15,0,0
16,-0.001,191,1.321340664272522e-15,2.1094237467877974e-15,0,0
16,-0.01,381,1.321340664272522e-15,1.9095836023552686e-14,0,0
16,-0.1,949,1.321340664272522e-15,3.5860203695392556e-14,0,0
16,-0.5,1917,1.321340664272522e-15,5.750955267558311e-14,0,0
16,-1.0,2310,1.321340664272522e-15,6.200422120183903e-14,0,0
16,-2.0,2752,1.321340664272522e-15,6.200422120183903e-14,0,0
16,-3.0,3107,1.321340664272522e-15,6.200422120183903e-14,0,0
