shell,profile_id,column,pair,monomial_a,monomial_b,monomial_c,coefficient_num,coefficient_den
12,1,132,bc,0,0,10,135199816976,1
12,1,133,bc,0,1,9,24259000864,1
12,1,134,bc,0,2,8,12798302160,1
12,1,135,bc,0,3,7,1337603456,1
12,1,136,bc,0,4,6,689960992,1
12,1,137,bc,0,5,5,42318528,1
12,1,138,bc,0,6,4,21519904,1
12,1,139,bc,0,7,3,721280,1
12,1,140,bc,0,8,2,363216,1
12,1,141,bc,0,9,1,5152,1
12,1,142,bc,0,10,0,2576,1
12,3190,10,ab,0,10,0,29151147024,1
12,3190,20,ab,1,9,0,56582367264,1
12,3190,29,ab,2,8,0,169006566096,1
12,3190,37,ab,3,7,0,205753986432,1
12,3190,44,ab,4,6,0,253035853344,1
12,3190,50,ab,5,5,0,152404016832,1
12,3190,55,ab,6,4,0,102853921824,1
12,3190,59,ab,7,3,0,32664705408,1
12,3190,62,ab,8,2,0,17796896208,1
12,3190,64,ab,9,1,0,2737984032,1
12,3190,65,ab,10,0,0,1368992016,1
12,4610,10,ab,0,10,0,2576,1
12,4610,20,ab,1,9,0,5152,1
12,4610,29,ab,2,8,0,363216,1
12,4610,37,ab,3,7,0,721280,1
12,4610,44,ab,4,6,0,21519904,1
12,4610,50,ab,5,5,0,42318528,1
12,4610,55,ab,6,4,0,689960992,1
12,4610,59,ab,7,3,0,1337603456,1
12,4610,62,ab,8,2,0,12798302160,1
12,4610,64,ab,9,1,0,24259000864,1
12,4610,65,ab,10,0,0,135199816976,1
16,3190,14,ab,0,14,0,1945233984375,1
16,3190,28,ab,1,13,0,3890467968750,1
16,3190,41,ab,2,12,0,15172825078125,1
16,3190,53,ab,3,11,0,25134278417388,1
16,3190,64,ab,4,10,0,48759623353647,1
16,3190,74,ab,5,9,0,52571411738226,1
16,3190,83,ab,6,8,0,50852867455341,1
16,3190,91,ab,7,7,0,29320766620776,1
16,3190,98,ab,8,6,0,18501083699373,1
16,3190,104,ab,9,5,0,7020948892914,1
16,3190,109,ab,10,4,0,4011452185455,1
16,3190,113,ab,11,3,0,1001955477996,1
16,3190,116,ab,12,2,0,533650200237,1
16,3190,118,ab,13,1,0,65344922478,1
16,3190,119,ab,14,0,0,32672461239,1
