shell,profile_id,rank,grid_F,grid_log_r,grid_log_s,first_size,second_size,rest_size,opt_F,opt_log_r,opt_log_s,grad_norm,counterexample_opt
12,4512,1,1.7763568394002505e-15,0.5,0.5,15,9,0,3.552713678800501e-15,2.0000000000000044,2.0000000000000004,2.637755330588742e-14,False
12,4513,2,1.7763568394002505e-15,0.5,0.5,15,9,0,7.105427357601002e-15,2.0000000007714402,1.9999999992285509,9.071798278736095e-09,False
12,4514,3,1.7763568394002505e-15,0.5,0.5,15,9,0,7.105427357601002e-15,2.000000000956609,1.9999999990433905,1.1249242066768644e-08,False
12,3966,4,1.7763568394002505e-15,0.5,0.5,11,13,0,7.105427357601002e-15,1.9999999999990483,2.0000000000009517,1.1853570026079028e-11,False
12,3965,5,1.7763568394002505e-15,0.5,0.5,11,13,0,7.105427357601002e-15,2.000000000007804,1.9999999999921965,9.720882037599683e-11,False
12,3964,6,1.7763568394002505e-15,0.5,0.5,11,13,0,3.552713678800501e-15,2.0000000013107884,1.999999998689213,1.6327635156202165e-08,False
12,3190,7,1.7763568394002505e-15,0.5,0.5,9,15,0,7.105427357601002e-15,1.9999999988935655,2.0000000011064456,1.3011175958498203e-08,False
12,3191,8,1.7763568394002505e-15,0.5,0.5,9,15,0,3.552713678800501e-15,1.9999999999999976,1.9999999999999956,1.130466570252318e-14,False
12,4353,9,1.7763568394002505e-15,0.5,0.5,13,11,0,7.105427357601002e-15,2.000000000000001,1.9999999999999993,1.0048591735576161e-14,False
12,4354,10,1.7763568394002505e-15,0.5,0.5,13,11,0,7.105427357601002e-15,2.0000000000105587,1.9999999999894416,1.315203648956046e-10,False
12,4355,11,1.7763568394002505e-15,0.5,0.5,13,11,0,7.105427357601002e-15,1.999999998755456,2.000000001244541,1.5502461759875216e-08,False
12,3192,12,1.7763568394002505e-15,0.5,0.5,9,15,0,3.552713678800501e-15,2.5868828150061673e-09,-2.586883043971398e-09,3.042043336463701e-08,False
12,1535,13,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,4.639768081338283e-10,-1.7446604811790117e-09,4.645613453524135e-09,False
12,1534,14,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,-2.4389458888719414e-09,-2.1056327189545653e-09,7.980905923326341e-09,False
12,1533,15,0.0,0.0,0.0,7,2,15,2.6645352591003757e-15,1.0983053505337142e-08,2.8087057064347015e-09,3.905136127163948e-08,False
12,1529,16,0.0,0.0,0.0,7,2,15,3.552713678800501e-15,-2.8277099026086203e-09,-6.980440261172826e-09,1.1043907659148253e-08,False
12,1536,17,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,1.7685908118634434e-09,2.3173963366241578e-10,6.369694939542779e-09,False
12,1537,18,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,-2.1689366258436595e-13,-1.6539708571980596e-13,7.11560081961898e-13,False
12,1532,19,0.0,0.0,0.0,7,2,15,2.6645352591003757e-15,-5.293776055228245e-10,-6.996956008141347e-09,9.315569629749282e-09,False
12,1531,20,0.0,0.0,0.0,7,2,15,2.6645352591003757e-15,-2.1020735395841556e-12,-3.3692839770585293e-10,4.759693526524054e-10,False
12,1530,21,0.0,0.0,0.0,7,2,15,1.7763568394002505e-15,-6.6262059769273886e-12,-1.8909125752797625e-11,2.7902280441715413e-11,False
12,1538,22,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,-7.544247852904352e-11,-7.818827304149705e-09,1.5859021830104388e-08,False
12,1539,23,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,-1.3401324179398197e-12,9.685911607067353e-13,6.181643849725331e-12,False
12,1541,24,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,2.0738781501317213e-11,3.2897882454281446e-10,6.396682431008113e-10,False
12,1511,25,0.0,0.0,0.0,6,15,3,2.6645352591003757e-15,0.0,0.0,9.930136612989092e-16,False
12,1512,26,0.0,0.0,0.0,6,16,2,2.6645352591003757e-15,0.0,0.0,4.440892098500626e-16,False
12,1513,27,0.0,0.0,0.0,6,16,2,4.440892098500626e-15,2.7510210436006984e-10,7.307530939643102e-10,2.4134938048297323e-09,False
12,1514,28,0.0,0.0,0.0,6,16,2,3.552713678800501e-15,4.65139321614957e-09,-2.310695304368568e-09,3.19377383166931e-08,False
12,1515,29,0.0,0.0,0.0,6,16,2,3.552713678800501e-15,-4.236130327574461e-09,7.049697808151546e-09,5.334333836987904e-08,False
12,1516,30,0.0,0.0,0.0,6,16,2,3.552713678800501e-15,5.398969802262014e-10,1.3823696280715695e-09,4.48290526661573e-09,False
12,1517,31,0.0,0.0,0.0,6,17,1,2.6645352591003757e-15,3.20852470520888e-09,1.4428894821449759e-08,5.507080387456298e-08,False
12,1518,32,0.0,0.0,0.0,6,17,1,2.6645352591003757e-15,-1.7074348921656712e-14,-1.3507964393924166e-14,1.517719948885615e-14,False
12,1540,33,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,-8.37515543327748e-10,-1.1028503685702567e-09,2.846972457267972e-09,False
12,1520,34,0.0,-12.0,-12.0,6,18,0,7.105427357601002e-15,2.0000000000044853,2.0000000000044857,3.2023728339893768e-15,False
12,1521,35,0.0,-12.0,-12.0,6,18,0,7.105427357601002e-15,2.000000000751183,1.999999999254041,7.042252490034089e-09,False
12,1522,36,0.0,0.0,-12.0,7,0,17,2.6645352591003757e-15,-1.6203578165934732e-10,-2.0,5.938374236791333e-10,False
12,1523,37,0.0,0.0,-12.0,7,0,17,2.6645352591003757e-15,-2.154409438316913e-09,-2.0,7.895597953222477e-09,False
12,1524,38,0.0,0.0,0.0,7,1,16,3.552713678800501e-15,-3.191143417194757e-13,8.060903330616627e-14,1.1928250436688636e-12,False
12,1525,39,0.0,0.0,0.0,7,1,16,2.6645352591003757e-15,0.0,0.0,0.0,False
12,1526,40,0.0,0.0,0.0,7,1,16,2.6645352591003757e-15,0.0,0.0,0.0,False
16,4512,1,1.7763568394002505e-15,0.5,0.5,15,9,0,3.552713678800501e-15,5.958221912933075e-11,-5.958311855806154e-11,1.0441221616551295e-09,False
16,4513,2,1.7763568394002505e-15,0.5,0.5,15,9,0,2.6645352591003757e-15,0.5,0.5,1.7763568394002505e-15,False
16,4514,3,1.7763568394002505e-15,0.5,0.5,15,9,0,7.105427357601002e-15,2.00000000004371,1.9999999999562925,7.659495087918454e-10,False
16,3966,4,1.7763568394002505e-15,0.5,0.5,11,13,0,7.105427357601002e-15,1.9999999999705182,2.000000000029484,5.472689152508828e-10,False
16,3965,5,1.7763568394002505e-15,0.5,0.5,11,13,0,7.105427357601002e-15,1.9999999999999434,2.0000000000000564,1.0532197065350254e-12,False
16,3964,6,1.7763568394002505e-15,0.5,0.5,11,13,0,3.552713678800501e-15,2.000000002298281,1.9999999977017184,4.2661638493544624e-08,False
16,3190,7,1.7763568394002505e-15,0.5,0.5,9,15,0,7.105427357601002e-15,1.999999999940743,2.000000000059257,1.0384177017332992e-09,False
16,3191,8,1.7763568394002505e-15,0.5,0.5,9,15,0,7.105427357601002e-15,2.000000000000003,2.000000000000003,1.9860273225978185e-15,False
16,4353,9,1.7763568394002505e-15,0.5,0.5,13,11,0,3.552713678800501e-15,1.9999999920976848,2.0000000079023175,1.4668601481600236e-07,False
16,4354,10,1.7763568394002505e-15,0.5,0.5,13,11,0,7.105427357601002e-15,2.000000000000057,1.999999999999943,1.0507060610490087e-12,False
16,4355,11,1.7763568394002505e-15,0.5,0.5,13,11,0,7.105427357601002e-15,2.0000000000441904,1.999999999955808,8.202948050395787e-10,False
16,3192,12,1.7763568394002505e-15,0.5,0.5,9,15,0,7.105427357601002e-15,2.0000000000000004,2.0000000000000004,8.881784197001252e-16,False
16,1535,13,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,0.0,0.0,4.440892098500626e-16,False
16,1534,14,0.0,0.0,0.0,7,3,14,4.440892098500626e-15,-9.561011787191892e-09,-1.0225143066475854e-08,4.699558941708733e-08,False
16,1533,15,0.0,0.0,0.0,7,2,15,1.7763568394002505e-15,1.1224845499989104e-09,-2.4941049390916588e-08,5.5682645990935824e-08,False
16,1529,16,0.0,0.0,0.0,7,2,15,3.552713678800501e-15,-1.1039028068416176e-09,-3.31347890065659e-09,7.140712405177508e-09,False
16,1536,17,0.0,0.0,0.0,7,3,14,4.440892098500626e-15,3.5080174170921348e-09,7.990877159196511e-10,1.8419520269395584e-08,False
16,1537,18,0.0,0.0,0.0,7,3,14,4.440892098500626e-15,2.3448641559460232e-14,-4.006967990390438e-14,2.16552693601413e-13,False
16,1532,19,0.0,0.0,0.0,7,2,15,2.6645352591003757e-15,-2.6533690418215743e-10,-5.683213379102125e-10,1.4593640039968805e-09,False
16,1531,20,0.0,0.0,0.0,7,2,15,8.881784197001252e-16,-8.42072115819141e-11,-1.7340573668891902e-10,4.572541718077047e-10,False
16,1530,21,0.0,0.0,0.0,7,2,15,2.6645352591003757e-15,-1.856739638231266e-12,-4.799170173088317e-12,1.10453748288337e-11,False
16,1538,22,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,0.0,0.0,4.440892098500626e-16,False
16,1539,23,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,0.0,0.0,4.440892098500626e-16,False
16,1541,24,0.0,0.0,0.0,7,3,14,4.440892098500626e-15,-3.312194798220816e-09,-5.679408134401113e-09,1.8279711774647622e-08,False
16,1511,25,0.0,0.0,0.0,6,15,3,3.552713678800501e-15,0.0,0.0,0.0,False
16,1512,26,0.0,0.0,0.0,6,16,2,4.440892098500626e-15,-2.8174501371589843e-09,-2.3237961737779753e-09,3.926766802314274e-09,False
16,1513,27,0.0,0.0,0.0,6,16,2,3.552713678800501e-15,0.0,0.0,0.0,False
16,1514,28,0.0,0.0,0.0,6,16,2,4.440892098500626e-15,1.6877404196374645e-10,2.0051612437326805e-10,4.36852969000533e-10,False
16,1515,29,0.0,0.0,0.0,6,16,2,3.552713678800501e-15,0.0,0.0,4.440892098500626e-16,False
16,1516,30,0.0,0.0,0.0,6,16,2,3.552713678800501e-15,0.0,0.0,0.0,False
16,1517,31,0.0,0.0,0.0,6,17,1,2.6645352591003757e-15,5.84608631454773e-09,4.113425479598256e-09,1.0886539665103825e-08,False
16,1518,32,0.0,0.0,0.0,6,17,1,3.552713678800501e-15,9.612388967272462e-10,8.85370888625954e-10,7.048678890753013e-10,False
16,1540,33,0.0,0.0,0.0,7,3,14,3.552713678800501e-15,0.0,0.0,9.930136612989092e-16,False
16,1520,34,0.0,-12.0,-12.0,6,18,0,1.4210854715202004e-14,2.000000000000015,2.000000000000004,7.914262813082993e-14,False
16,1521,35,0.0,-12.0,-12.0,6,18,0,7.105427357601002e-15,2.000000000000067,2.000000000000067,2.8435583831733384e-15,False
16,1522,36,0.0,0.0,-12.0,7,0,17,1.7763568394002505e-15,9.330461044872235e-13,2.0,5.0954795938196185e-12,False
16,1523,37,0.0,0.0,-12.0,7,0,17,1.7763568394002505e-15,3.55942961722872e-13,-4.0,1.944222560723574e-12,False
16,1524,38,0.0,0.0,0.0,7,1,16,3.552713678800501e-15,0.0,0.0,8.881784197001252e-16,False
16,1525,39,0.0,0.0,0.0,7,1,16,3.552713678800501e-15,0.0,0.0,1.1102230246251565e-16,False
16,1526,40,0.0,0.0,0.0,7,1,16,3.552713678800501e-15,0.0,0.0,1.1102230246251565e-16,False
