,unit,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
unit,-79.06063817117072,-5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17,-5.427757009278543e-17,-5.551115123125783e-17,-5.551115123125783e-17,-5.551115123125783e-17,-5.427757009278543e-17,-5.551115123125783e-17,-5.551115123125783e-17,-5.427757009278543e-17,-5.551115123125783e-17,-5.427757009278543e-17,-5.921189464667501e-17
B-∧B+,1.1348946473946044e-16,-0.8041041393128145,-1.507342187024986e-19,-1.507342187024986e-19,-1.507342187024986e-19,-1.5148713687783575e-19,1.531435568635775e-19,1.531435568635775e-19,1.531435568635775e-19,1.5389647503891466e-19,-2.5787447505297587e-21,-2.2587545260114674e-21,-2.1081708909440364e-21,-2.2587545260114674e-21,3.0116727013486235e-22,3.0116727013486235e-22
B-∧V-,1.1348946473946044e-16,-1.5540231138958897e-19,-0.8041041393126387,-1.507342187024986e-19,-1.507342187024986e-19,-1.5148713687783575e-19,-1.5419764230904953e-19,-2.2775774803948967e-21,1.5058363506743118e-22,3.0116727013486235e-22,1.531435568635775e-19,1.531435568635775e-19,1.5389647503891466e-19,-2.2587545260114674e-21,3.0116727013486235e-22,3.0116727013486235e-22
B-∧V+,1.1348946473946044e-16,-1.5540231138958897e-19,-1.5540231138958897e-19,-0.8041041393124498,-1.507342187024986e-19,-1.5148713687783575e-19,-6.211574946531535e-22,-1.5419764230904953e-19,-2.2587545260114674e-21,3.0116727013486235e-22,-1.5419764230904953e-19,-2.2587545260114674e-21,3.0116727013486235e-22,1.531435568635775e-19,1.5389647503891466e-19,0.0
B-∧S-,1.1348946473946044e-16,-1.5540231138958897e-19,-1.5540231138958897e-19,-1.5540231138958897e-19,-0.8041041393122866,-1.517883041479706e-19,-6.023345402697247e-22,-6.023345402697247e-22,-1.5419764230904953e-19,0.0,-6.023345402697247e-22,-1.5419764230904953e-19,0.0,-1.5419764230904953e-19,0.0,1.5419764230904953e-19
B-∧S+,1.1348946473946044e-16,-1.560046459298587e-19,-1.560046459298587e-19,-1.560046459298587e-19,-1.5660698047012842e-19,-0.8041041393121271,-6.023345402697247e-22,-6.023345402697247e-22,0.0,-1.5419764230904953e-19,-6.023345402697247e-22,0.0,-1.5419764230904953e-19,0.0,-1.5419764230904953e-19,-1.5419764230904953e-19
B+∧V-,1.1348946473946044e-16,1.5299297322851008e-19,-1.5419764230904953e-19,-2.2775774803948967e-21,1.5058363506743118e-22,3.0116727013486235e-22,-0.8041041393126301,-1.507342187024986e-19,-1.507342187024986e-19,-1.5148713687783575e-19,1.531435568635775e-19,1.531435568635775e-19,1.5389647503891466e-19,1.5058363506743118e-22,-2.1081708909440364e-21,3.0116727013486235e-22
B+∧V+,1.1348946473946044e-16,1.5299297322851008e-19,-6.211574946531535e-22,-1.5419764230904953e-19,-2.2587545260114674e-21,3.0116727013486235e-22,-1.5540231138958897e-19,-0.8041041393124435,-1.507342187024986e-19,-1.5148713687783575e-19,-1.5419764230904953e-19,-2.2587545260114674e-21,3.0116727013486235e-22,1.531435568635775e-19,1.5389647503891466e-19,0.0
B+∧S-,1.1348946473946044e-16,1.5299297322851008e-19,-6.023345402697247e-22,-6.023345402697247e-22,-1.5419764230904953e-19,0.0,-1.5540231138958897e-19,-1.5540231138958897e-19,-0.8041041393122841,-1.517883041479706e-19,-6.023345402697247e-22,-1.5419764230904953e-19,0.0,-1.5419764230904953e-19,0.0,1.5419764230904953e-19
B+∧S+,1.1348946473946044e-16,1.535953077687798e-19,-6.023345402697247e-22,-6.023345402697247e-22,0.0,-1.5419764230904953e-19,-1.560046459298587e-19,-1.560046459298587e-19,-1.5660698047012842e-19,-0.8041041393121244,-6.023345402697247e-22,0.0,-1.5419764230904953e-19,0.0,-1.5419764230904953e-19,-1.5419764230904953e-19
V-∧V+,1.1348946473946044e-16,-6.211574946531535e-22,1.5299297322851008e-19,-1.5419764230904953e-19,-2.2587545260114674e-21,3.0116727013486235e-22,1.5299297322851008e-19,-1.5419764230904953e-19,-2.2587545260114674e-21,3.0116727013486235e-22,-0.8041041393124411,-1.507342187024986e-19,-1.5148713687783575e-19,1.531435568635775e-19,1.5389647503891466e-19,0.0
V-∧S-,1.1348946473946044e-16,-6.023345402697247e-22,1.5299297322851008e-19,-6.023345402697247e-22,-1.5419764230904953e-19,0.0,1.5299297322851008e-19,-6.023345402697247e-22,-1.5419764230904953e-19,0.0,-1.5540231138958897e-19,-0.8041041393122815,-1.517883041479706e-19,-1.5419764230904953e-19,0.0,1.5419764230904953e-19
V-∧S+,1.1348946473946044e-16,-6.023345402697247e-22,1.535953077687798e-19,-6.023345402697247e-22,0.0,-1.5419764230904953e-19,1.535953077687798e-19,-6.023345402697247e-22,0.0,-1.5419764230904953e-19,-1.560046459298587e-19,-1.5660698047012842e-19,-0.8041041393121219,0.0,-1.5419764230904953e-19,-1.5419764230904953e-19
V+∧S-,1.1348946473946044e-16,-6.023345402697247e-22,-6.023345402697247e-22,1.5299297322851008e-19,-1.5419764230904953e-19,0.0,-6.023345402697247e-22,1.5299297322851008e-19,-1.5419764230904953e-19,0.0,1.5299297322851008e-19,-1.5419764230904953e-19,0.0,-0.8041041393122798,-1.517883041479706e-19,1.5419764230904953e-19
V+∧S+,1.1348946473946044e-16,-6.023345402697247e-22,-6.023345402697247e-22,1.535953077687798e-19,0.0,-1.5419764230904953e-19,-6.023345402697247e-22,1.535953077687798e-19,0.0,-1.5419764230904953e-19,1.535953077687798e-19,0.0,-1.5419764230904953e-19,-1.5660698047012842e-19,-0.8041041393121184,-1.5419764230904953e-19
S-∧S+,1.1842378929335003e-16,0.0,0.0,0.0,1.5419764230904953e-19,-1.5419764230904953e-19,0.0,0.0,1.5419764230904953e-19,-1.5419764230904953e-19,0.0,1.5419764230904953e-19,-1.5419764230904953e-19,1.5419764230904953e-19,-1.5419764230904953e-19,-0.8041041393121159
