,BLUFF_ENGINE,CURVATURE_INJECTOR,DIVERGENCE_TAX,EXTRACTOR_LURE,FACE12_DENIAL,FACE15_DENIAL,FACE17_DENIAL,HOMOLOGY_PUNCTURE,H_MASK_SPLIT,KERNEL_DRIP,KERNEL_SPIKE,MONODROME_CONTAMINATOR,NONE,OMEGA_LOCK,RANDOM_JABBER,RANK4_TAX
BASIN_SWITCHER,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13
BLUFF_REVEAL,-3.979039320256561e-13,1.4210854715202004e-13,1.4210854715202004e-13,-8.526512829121202e-14,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,-2.5579538487363607e-13,1.4210854715202004e-13,1.4210854715202004e-13,-2.4158453015843406e-13,1.4210854715202004e-13
CURVATURE_ZERO,-5.400124791776761e-13,1.4210854715202004e-13,1.4210854715202004e-13,-4.547473508864641e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,-5.968558980384842e-13,1.4210854715202004e-13,1.4210854715202004e-13,-6.679101716144942e-13,1.4210854715202004e-13
DIVERGENCE_MIN,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13
EMERGENCE_SEEKER,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13
FACE12_ANCHOR,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13
FACE15_ANCHOR,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13
FACE17_ANCHOR,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13
H2047_PURIST,-1.9895196601282805e-13,1.4210854715202004e-13,1.4210854715202004e-13,-1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,-3.410605131648481e-13,1.4210854715202004e-13,1.4210854715202004e-13,-2.8421709430404007e-13,1.4210854715202004e-13
H954_CORRIDOR,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13,1.4210854715202004e-13
