jabber,F7_minus_L3,L3_minus_P1,P1_point
BLUFF_ENGINE,0.013020833333333334,0.2265625,0.7604166666666666
CURVATURE_INJECTOR,0.0,0.0,1.0
DIVERGENCE_TAX,0.0,0.0,1.0
EXTRACTOR_LURE,0.0,0.1796875,0.8203125
FACE12_DENIAL,0.0,0.0,1.0
FACE15_DENIAL,0.0,0.0,1.0
FACE17_DENIAL,0.0,0.0,1.0
HOMOLOGY_PUNCTURE,0.0,0.0,1.0
H_MASK_SPLIT,0.0,0.0,1.0
KERNEL_DRIP,0.0,0.0,1.0
KERNEL_SPIKE,0.0,0.0,1.0
MONODROME_CONTAMINATOR,0.005208333333333333,0.2630208333333333,0.7317708333333334
NONE,0.0,0.0,1.0
OMEGA_LOCK,0.0,0.0,1.0
RANDOM_JABBER,0.026041666666666668,0.19401041666666666,0.7799479166666666
RANK4_TAX,0.0,0.0,1.0
