operator,mode,singular_value,energy_fraction,cumulative_energy,left_loadings,right_loadings
raw,1,857950.9248336084,0.9999998880881845,0.9999998880881845,V-:+0.496763 ; V+:+0.496763 ; S+:+0.496763 ; S-:+0.496763 ; B+:-0.080327 ; B-:-0.080327,V+:+0.499629 ; V-:+0.499629 ; S+:+0.499629 ; S-:+0.499629 ; B+:-0.027228 ; B-:-0.027228
raw,2,287.01225551671513,1.1191181551463483e-07,1.0,B+:-0.702529 ; B-:-0.702529 ; V+:-0.056799 ; S-:-0.056799 ; S+:-0.056799 ; V-:-0.056799,B-:+0.706582 ; B+:+0.706582 ; V-:+0.019253 ; V+:+0.019253 ; S-:+0.019253 ; S+:+0.019253
raw,3,6.625893994278876e-11,5.9643624157429035e-33,1.0,B-:-0.667690 ; B+:+0.667690 ; V-:+0.285106 ; V+:-0.095094 ; S-:-0.095094 ; S+:-0.094918,V-:+0.865520 ; V+:-0.288507 ; S+:-0.288507 ; S-:-0.288507 ; B-:-0.024151 ; B+:+0.024151
raw,4,8.924555081048027e-13,1.0820521854511806e-36,1.0,V-:+0.776868 ; S+:-0.513928 ; B-:+0.221117 ; B+:-0.221117 ; V+:-0.131470 ; S-:-0.131470,B+:-0.706694 ; B-:+0.706694 ; V-:+0.029578 ; V+:-0.009859 ; S-:-0.009859 ; S+:-0.009859
raw,5,2.422324677736723e-27,7.971494764600159e-66,1.0,S+:+0.690557 ; S-:-0.472940 ; V+:-0.472940 ; V-:+0.255324 ; B-:+0.072785 ; B+:-0.072785,V+:+0.816497 ; S+:-0.408248 ; S-:-0.408248 ; V-:+0.000000 ; B-:+0.000000 ; B+:+0.000000
raw,6,2.704991604276441e-44,9.940469586981552e-100,1.0,V+:-0.707107 ; S-:+0.707107 ; S+:+0.000000 ; V-:-0.000000 ; B+:+0.000000 ; B-:+0.000000,S-:+0.707107 ; S+:-0.707107 ; V+:-0.000000 ; B-:-0.000000 ; V-:+0.000000 ; B+:-0.000000
normalized,1,20636.64140079407,0.9999999965216678,0.9999999965216678,V+:+0.495641 ; V-:+0.495641 ; S+:+0.495641 ; S-:+0.495641 ; B+:-0.093166 ; B-:-0.093166,V+:+0.499814 ; V-:+0.499814 ; S+:+0.499814 ; S-:+0.499814 ; B+:-0.019281 ; B-:-0.019281
normalized,2,1.2170951885338026,3.4783321781606577e-09,1.0,B+:-0.700942 ; B-:-0.700942 ; V-:-0.065878 ; V+:-0.065878 ; S-:-0.065878 ; S+:-0.065878,B+:+0.706844 ; B-:+0.706844 ; V+:+0.013634 ; S-:+0.013634 ; S+:+0.013634 ; V-:+0.013634
normalized,3,4.489629331708081e-14,4.733070100140582e-36,1.0,B-:-0.707107 ; B+:+0.707107 ; V-:-0.000000 ; V+:-0.000000 ; S-:-0.000000 ; S+:-0.000000,B-:-0.707107 ; B+:+0.707107 ; V-:-0.000000 ; V+:-0.000000 ; S-:-0.000000 ; S+:-0.000000
normalized,4,0.0,0.0,1.0,S+:+0.833333 ; V-:-0.500000 ; S-:-0.166667 ; V+:-0.166667 ; B-:+0.000000 ; B+:-0.000000,S+:+0.833333 ; V-:-0.500000 ; S-:-0.166667 ; V+:-0.166667 ; B-:+0.000000 ; B+:+0.000000
normalized,5,0.0,0.0,1.0,S-:+0.833333 ; V-:-0.500000 ; S+:-0.166667 ; V+:-0.166667 ; B+:+0.000000 ; B-:+0.000000,S-:+0.833333 ; V-:-0.500000 ; S+:-0.166667 ; V+:-0.166667 ; B-:+0.000000 ; B+:+0.000000
normalized,6,0.0,0.0,1.0,V+:+0.833333 ; V-:-0.500000 ; S+:-0.166667 ; S-:-0.166667 ; B-:+0.000000 ; B+:-0.000000,V+:+0.833333 ; V-:-0.500000 ; S+:-0.166667 ; S-:-0.166667 ; B-:+0.000000 ; B+:+0.000000
