,B-,B+,V-,V+,S-,S+
BASIN_SWITCHER,0.0,0.0,0.0,0.0,0.0,0.0
BLUFF_REVEAL,0.3876404494382026,0.3876404494382026,0.05617977528089877,0.05617977528089877,0.05617977528089877,0.05617977528089877
CURVATURE_ZERO,0.4897959183673469,0.4897959183673469,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.00510204081632653
DIVERGENCE_MIN,0.0,0.0,0.0,0.0,0.0,0.0
EMERGENCE_SEEKER,0.0,0.0,0.0,0.0,0.0,0.0
FACE12_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0
FACE15_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0
FACE17_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0
H2047_PURIST,0.5,0.5,0.0,0.0,0.0,0.0
H954_CORRIDOR,0.0,0.0,0.0,0.0,0.0,0.0
MONODROME_PURIST,0.49468085106382986,0.49468085106382986,0.0026595744680850387,0.0026595744680850387,0.0026595744680850387,0.0026595744680850387
Q4_BALANCER,0.5,0.5,0.0,0.0,0.0,0.0
ROBUST_REVEAL,0.4811320754716984,0.4811320754716984,0.009433962264150888,0.009433962264150888,0.009433962264150888,0.009433962264150888
SIGMA_MIN,0.47619047619047633,0.47619047619047633,0.01190476190476179,0.01190476190476179,0.01190476190476179,0.01190476190476179
SPREAD_CONTROL,0.4901960784313727,0.4901960784313727,0.004901960784313607,0.004901960784313607,0.004901960784313607,0.004901960784313607
STOCHASTIC_CONTROL,0.0,0.0,0.0,0.0,0.0,0.0
