auto_index,matrix_key,image_001,preserve_P1,preserve_line_set,preserve_three_zones,class
0,001010100,4,False,False,False,moves_null_point
1,001010101,5,False,False,False,moves_null_point
2,001010110,4,False,False,False,moves_null_point
3,001010111,5,False,False,False,moves_null_point
4,001011100,6,False,False,False,moves_null_point
5,001011101,7,False,False,False,moves_null_point
6,001011110,6,False,False,False,moves_null_point
7,001011111,7,False,False,False,moves_null_point
8,001100010,4,False,False,False,moves_null_point
9,001100011,5,False,False,False,moves_null_point
10,001100110,4,False,False,False,moves_null_point
11,001100111,5,False,False,False,moves_null_point
12,001101010,6,False,False,False,moves_null_point
13,001101011,7,False,False,False,moves_null_point
14,001101110,6,False,False,False,moves_null_point
15,001101111,7,False,False,False,moves_null_point
16,001110010,4,False,False,False,moves_null_point
17,001110011,5,False,False,False,moves_null_point
18,001110100,4,False,False,False,moves_null_point
19,001110101,5,False,False,False,moves_null_point
20,001111010,6,False,False,False,moves_null_point
21,001111011,7,False,False,False,moves_null_point
22,001111100,6,False,False,False,moves_null_point
23,001111101,7,False,False,False,moves_null_point
24,010001100,2,False,False,False,moves_null_point
25,010001101,3,False,False,False,moves_null_point
26,010001110,2,False,False,False,moves_null_point
27,010001111,3,False,False,False,moves_null_point
28,010011100,2,False,False,False,moves_null_point
29,010011101,3,False,False,False,moves_null_point
30,010011110,2,False,False,False,moves_null_point
31,010011111,3,False,False,False,moves_null_point
32,010100001,1,True,False,False,point_stabilizer_not_flag
33,010100011,1,True,False,False,point_stabilizer_not_flag
34,010100101,1,True,False,False,point_stabilizer_not_flag
35,010100111,1,True,False,False,point_stabilizer_not_flag
36,010101001,3,False,False,False,moves_null_point
37,010101011,3,False,False,False,moves_null_point
38,010101100,2,False,False,False,moves_null_point
39,010101110,2,False,False,False,moves_null_point
40,010110001,1,True,False,False,point_stabilizer_not_flag
41,010110011,1,True,False,False,point_stabilizer_not_flag
42,010110101,1,True,False,False,point_stabilizer_not_flag
43,010110111,1,True,False,False,point_stabilizer_not_flag
44,010111001,3,False,False,False,moves_null_point
45,010111011,3,False,False,False,moves_null_point
46,010111100,2,False,False,False,moves_null_point
47,010111110,2,False,False,False,moves_null_point
48,011001100,6,False,False,False,moves_null_point
49,011001101,7,False,False,False,moves_null_point
50,011001110,6,False,False,False,moves_null_point
51,011001111,7,False,False,False,moves_null_point
52,011010100,4,False,False,False,moves_null_point
53,011010101,5,False,False,False,moves_null_point
54,011010110,4,False,False,False,moves_null_point
55,011010111,5,False,False,False,moves_null_point
56,011100001,5,False,False,False,moves_null_point
57,011100010,4,False,False,False,moves_null_point
58,011100101,5,False,False,False,moves_null_point
59,011100110,4,False,False,False,moves_null_point
60,011101001,7,False,False,False,moves_null_point
61,011101010,6,False,False,False,moves_null_point
62,011101100,6,False,False,False,moves_null_point
63,011101111,7,False,False,False,moves_null_point
64,011110001,5,False,False,False,moves_null_point
65,011110010,4,False,False,False,moves_null_point
66,011110100,4,False,False,False,moves_null_point
67,011110111,5,False,False,False,moves_null_point
68,011111001,7,False,False,False,moves_null_point
69,011111010,6,False,False,False,moves_null_point
70,011111101,7,False,False,False,moves_null_point
71,011111110,6,False,False,False,moves_null_point
72,100001010,2,False,True,False,moves_null_point
73,100001011,3,False,True,False,moves_null_point
74,100001110,2,False,True,False,moves_null_point
75,100001111,3,False,True,False,moves_null_point
76,100010001,1,True,True,True,flag_stabilizer
77,100010011,1,True,True,True,flag_stabilizer
78,100010101,1,True,True,True,flag_stabilizer
79,100010111,1,True,True,True,flag_stabilizer
80,100011001,3,False,True,False,moves_null_point
81,100011010,2,False,True,False,moves_null_point
82,100011101,3,False,True,False,moves_null_point
83,100011110,2,False,True,False,moves_null_point
84,100101010,2,False,True,False,moves_null_point
85,100101011,3,False,True,False,moves_null_point
86,100101110,2,False,True,False,moves_null_point
87,100101111,3,False,True,False,moves_null_point
88,100110001,1,True,True,True,flag_stabilizer
89,100110011,1,True,True,True,flag_stabilizer
90,100110101,1,True,True,True,flag_stabilizer
91,100110111,1,True,True,True,flag_stabilizer
92,100111001,3,False,True,False,moves_null_point
93,100111010,2,False,True,False,moves_null_point
94,100111101,3,False,True,False,moves_null_point
95,100111110,2,False,True,False,moves_null_point
96,101001010,6,False,False,False,moves_null_point
97,101001011,7,False,False,False,moves_null_point
98,101001110,6,False,False,False,moves_null_point
99,101001111,7,False,False,False,moves_null_point
100,101010001,5,False,False,False,moves_null_point
101,101010011,5,False,False,False,moves_null_point
102,101010100,4,False,False,False,moves_null_point
103,101010110,4,False,False,False,moves_null_point
104,101011001,7,False,False,False,moves_null_point
105,101011010,6,False,False,False,moves_null_point
106,101011100,6,False,False,False,moves_null_point
107,101011111,7,False,False,False,moves_null_point
108,101100010,4,False,False,False,moves_null_point
109,101100011,5,False,False,False,moves_null_point
110,101100110,4,False,False,False,moves_null_point
