operator,projector_rank,projector_rank_int,two_sided_energy_fraction,one_sided_left_energy_fraction,one_sided_right_energy_fraction,outside_two_sided_energy_fraction,relative_error_two_sided_projection,projected_participation_rank,original_participation_rank,matrix,projector
compound_Foam16_from_A6__active_chamber_P16_rank2,1.9999999999999993,2,0.03009324276504559,0.5602214029280678,0.2466149691159729,0.9699067572349543,0.9848384422000162,1.00090953030968,1.5181444469011518,compound_Foam16_from_A6,active_chamber_P16_rank2
compound_Foam16_from_A6__pair_P16_rank?,3.9999999999999987,4,0.03009324276504563,0.5602214029280681,0.24661496911597297,0.9699067572349543,0.9848384422000159,1.0009095303097335,1.5181444469011518,compound_Foam16_from_A6,pair_P16_rank?
compound_Foam16_from_A6__CSDO_support_unit_plus_6coords,7.0,7,0.06282677763095952,0.2507003305872614,0.2506061176742237,0.9371732223690405,0.9680770746015219,1.5314793378138825,1.5181444469011518,compound_Foam16_from_A6,CSDO_support_unit_plus_6coords
compound_Foam16_from_A6__CSDO_signspan_unit_plus_4signs,5.0,5,0.0625362978056165,0.2500778186587776,0.2500673505573315,0.9374637021943836,0.9682270922641978,1.5201674533959915,1.5181444469011518,compound_Foam16_from_A6,CSDO_signspan_unit_plus_4signs
compound_Foam16_from_A6__CSDO_support_wedge_only,6.0,6,0.0628267714073342,0.2507003243636361,0.2506061114505984,0.9371732285926658,0.9680770778159483,1.530700593104237,1.5181444469011518,compound_Foam16_from_A6,CSDO_support_wedge_only
compound_Foam16_from_A6__CSDO_signspan_wedge_only,4.0,4,0.06253629158199116,0.25007781243515226,0.2500673443337062,0.9374637084180089,0.9682270954781262,1.5193897905569105,1.5181444469011518,compound_Foam16_from_A6,CSDO_signspan_wedge_only
label_embedding_Rfoam16__active_chamber_P16_rank2,1.9999999999999993,2,0.013859127167797079,0.3238083194274152,0.6899553584591759,0.9861408728322029,0.9930462591602683,1.949473705496046,1.9318967771387872,label_embedding_Rfoam16,active_chamber_P16_rank2
label_embedding_Rfoam16__pair_P16_rank?,3.9999999999999987,4,0.06469298064840749,0.34973227537300944,0.7149325310061688,0.9353070193515922,0.9671127231877327,1.989643130838252,1.9318967771387872,label_embedding_Rfoam16,pair_P16_rank?
label_embedding_Rfoam16__CSDO_support_unit_plus_6coords,7.0,7,0.9556749708643364,0.9767878401727287,0.9788868934359932,0.04432502913566345,0.2105351019085973,1.9247605874601366,1.9318967771387872,label_embedding_Rfoam16,CSDO_support_unit_plus_6coords
label_embedding_Rfoam16__CSDO_signspan_unit_plus_4signs,5.0,5,0.3530864305735144,0.5552805235758671,0.7977650259572823,0.6469135694264855,0.8043093742003046,1.9355483154432374,1.9318967771387872,label_embedding_Rfoam16,CSDO_signspan_unit_plus_4signs
label_embedding_Rfoam16__CSDO_support_wedge_only,6.0,6,5.458293410852897e-05,0.6599959738073032,0.29511005159546716,0.9999454170658918,0.9999727081605237,1.29390668010219,1.9318967771387872,label_embedding_Rfoam16,CSDO_support_wedge_only
label_embedding_Rfoam16__CSDO_signspan_wedge_only,4.0,4,1.676070324349937e-05,0.23848865721044163,0.11398818411675617,0.9999832392967564,0.9999916196132628,1.3200186152365632,1.9318967771387872,label_embedding_Rfoam16,CSDO_signspan_wedge_only
