operator_id,null_point,operator_kind,basis_component,group,coefficient,energy_fraction
R_full,011,normalized,pair_BS,pair_offdiag_chamber,390461.40273643297,0.24657314949543097
R_full,011,normalized,pair_SB,pair_offdiag_chamber,390461.40273642866,0.24657314949542555
R_full,011,normalized,pair_SS,pair_diag_contrast,338056.9599559966,0.18482866451024002
R_full,011,normalized,WD6_scalar_I,WD6_scalar,319671.497182271,0.1652712806308008
R_full,011,normalized,pair_BB,pair_diag_contrast,284767.59659396805,0.13115072686726592
R_full,011,normalized,pair_VV,pair_diag_contrast,-85781.63788879442,0.011900856833922219
R_full,011,normalized,pair_VS,pair_offdiag_chamber,-45781.81836134611,0.0033898121979462925
R_full,011,normalized,pair_VB,pair_offdiag_chamber,-45781.81836134596,0.0033898121979462708
R_full,011,normalized,pair_BV,pair_offdiag_chamber,-12121.233218982856,0.00023762010141614774
R_full,011,normalized,pair_SV,pair_offdiag_chamber,-12121.233218982763,0.00023762010141614408
