,unit,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
BASIN_SWITCHER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLUFF_REVEAL,0.9363050554451589,0.27629732650150013,0.10518459455716886,0.10518459455716886,0.10518459455716886,0.10518459455716886,0.023709740333571625,0.023709740333571625,0.023709740333571625,0.023709740333571625,0.009026143884996818,0.009026143884996818,0.009026143884996818,0.009026143884996818,0.009026143884996818,0.009026143884996818
CURVATURE_ZERO,0.9154687750202015,0.39333386753478544,0.04014446975065392,0.04014446975065392,0.04014446975065392,0.04014446975065392,0.013669296819636472,0.013669296819636472,0.013669296819636472,0.013669296819636472,0.0013951167646149274,0.0013951167646149274,0.0013951167646149274,0.0013951167646149274,0.0013951167646149274,0.0013951167646149274
DIVERGENCE_MIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMERGENCE_SEEKER,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACE12_ANCHOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACE15_ANCHOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACE17_ANCHOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2047_PURIST,0.952911867828874,0.3032473778137027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H954_CORRIDOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONODROME_PURIST,0.9435718761148488,0.32742367223286895,0.024007868461323398,0.024007868461323398,0.024007868461323398,0.024007868461323398,0.006305944311258763,0.006305944311258763,0.006305944311258763,0.006305944311258763,0.0004623742703657002,0.0004623742703657002,0.0004623742703657002,0.0004623742703657002,0.0004623742703657002,0.0004623742703657002
Q4_BALANCER,0.9828775303169702,0.18426003472813357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBUST_REVEAL,0.9355746226339553,0.3390692128333573,0.04747918658376031,0.04747918658376031,0.04747918658376031,0.04747918658376031,0.013178299193162954,0.013178299193162954,0.013178299193162954,0.013178299193162954,0.0018453309901548416,0.0018453309901548416,0.0018453309901548416,0.0018453309901548416,0.0018453309901548416,0.0018453309901548416
SIGMA_MIN,0.935571197965944,0.3355128540240514,0.05304924014897935,0.05304924014897935,0.05304924014897935,0.05304924014897935,0.014568250671606919,0.014568250671606919,0.014568250671606919,0.014568250671606919,0.0023034426823277656,0.0023034426823277656,0.0023034426823277656,0.0023034426823277656,0.0023034426823277656,0.0023034426823277656
SPREAD_CONTROL,0.9678091748776315,0.24662977184672033,0.02466297718467173,0.02466297718467173,0.02466297718467173,0.02466297718467173,0.004605278805185204,0.004605278805185204,0.004605278805185204,0.004605278805185204,0.00046052788051851483,0.00046052788051851483,0.00046052788051851483,0.00046052788051851483,0.00046052788051851483,0.00046052788051851483
STOCHASTIC_CONTROL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
