,unit,B-∧B+,B-∧V-,B-∧V+,B-∧S-,B-∧S+,B+∧V-,B+∧V+,B+∧S-,B+∧S+,V-∧V+,V-∧S-,V-∧S+,V+∧S-,V+∧S+,S-∧S+
BLUFF_ENGINE,0.8950676074568277,0.41897660764399614,0.0710231866285623,0.0710231866285623,0.0710231866285623,0.0710231866285623,0.027412797430820132,0.027412797430820132,0.027412797430820132,0.027412797430820132,0.004646904367497356,0.004646904367497356,0.004646904367497356,0.004646904367497356,0.004646904367497356,0.004646904367497356
CURVATURE_INJECTOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIVERGENCE_TAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXTRACTOR_LURE,0.9213805542534866,0.3886616449349457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACE12_DENIAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACE15_DENIAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACE17_DENIAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOMOLOGY_PUNCTURE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_MASK_SPLIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KERNEL_DRIP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KERNEL_SPIKE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONODROME_CONTAMINATOR,0.8883633752230178,0.44875433205221504,0.04465272496597951,0.04465272496597951,0.04465272496597951,0.04465272496597951,0.01892955899644919,0.01892955899644919,0.01892955899644919,0.01892955899644919,0.0018835615195740964,0.0018835615195740964,0.0018835615195740964,0.0018835615195740964,0.0018835615195740964,0.0018835615195740964
NONE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMEGA_LOCK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_JABBER,0.8972258357465899,0.3865109931640794,0.10013103758089038,0.10013103758089038,0.10013103758089038,0.10013103758089038,0.03531290463880125,0.03531290463880125,0.03531290463880125,0.03531290463880125,0.009148298092461133,0.009148298092461133,0.009148298092461133,0.009148298092461133,0.009148298092461133,0.009148298092461133
RANK4_TAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
