class_id,std_coordinate,d20_coordinate,foam_basis_coordinate,orientation_to_foam_basis,sign_pm,sign_numeric,signed_basis_coefficient,negative_coordinates_d20,A12_image
1,"y_1,3","y_{B-,S-}",B-∧S-,1,-,-1,-1,"y_{B-,S-}","[7, 11, 8, 7, 11, 8]"
1,"y_1,1b","y_{B-,B+}",B-∧B+,1,+,1,1,"y_{B-,S-}","[7, 11, 8, 7, 11, 8]"
1,"y_1,2b","y_{B-,V+}",B-∧V+,1,+,1,1,"y_{B-,S-}","[7, 11, 8, 7, 11, 8]"
1,"y_2,2b","y_{V-,V+}",V-∧V+,1,+,1,1,"y_{B-,S-}","[7, 11, 8, 7, 11, 8]"
1,"y_2,3b","y_{V-,S+}",V-∧S+,1,+,1,1,"y_{B-,S-}","[7, 11, 8, 7, 11, 8]"
1,"y_3,3b","y_{S-,S+}",S-∧S+,1,+,1,1,"y_{B-,S-}","[7, 11, 8, 7, 11, 8]"
2,"y_1,3","y_{B-,S-}",B-∧S-,1,+,1,1,"y_{V-,S+}","[7, 11, 8, 7, 11, 8]"
2,"y_1,1b","y_{B-,B+}",B-∧B+,1,+,1,1,"y_{V-,S+}","[7, 11, 8, 7, 11, 8]"
2,"y_1,2b","y_{B-,V+}",B-∧V+,1,+,1,1,"y_{V-,S+}","[7, 11, 8, 7, 11, 8]"
2,"y_2,2b","y_{V-,V+}",V-∧V+,1,+,1,1,"y_{V-,S+}","[7, 11, 8, 7, 11, 8]"
2,"y_2,3b","y_{V-,S+}",V-∧S+,1,-,-1,-1,"y_{V-,S+}","[7, 11, 8, 7, 11, 8]"
2,"y_3,3b","y_{S-,S+}",S-∧S+,1,+,1,1,"y_{V-,S+}","[7, 11, 8, 7, 11, 8]"
3,"y_1,3","y_{B-,S-}",B-∧S-,1,+,1,1,"y_{B-,V+}","[7, 11, 8, 7, 11, 8]"
3,"y_1,1b","y_{B-,B+}",B-∧B+,1,+,1,1,"y_{B-,V+}","[7, 11, 8, 7, 11, 8]"
3,"y_1,2b","y_{B-,V+}",B-∧V+,1,-,-1,-1,"y_{B-,V+}","[7, 11, 8, 7, 11, 8]"
3,"y_2,2b","y_{V-,V+}",V-∧V+,1,+,1,1,"y_{B-,V+}","[7, 11, 8, 7, 11, 8]"
3,"y_2,3b","y_{V-,S+}",V-∧S+,1,+,1,1,"y_{B-,V+}","[7, 11, 8, 7, 11, 8]"
3,"y_3,3b","y_{S-,S+}",S-∧S+,1,+,1,1,"y_{B-,V+}","[7, 11, 8, 7, 11, 8]"
4,"y_1,3","y_{B-,S-}",B-∧S-,1,+,1,1,,"[7, 11, 8, 7, 11, 8]"
4,"y_1,1b","y_{B-,B+}",B-∧B+,1,+,1,1,,"[7, 11, 8, 7, 11, 8]"
4,"y_1,2b","y_{B-,V+}",B-∧V+,1,+,1,1,,"[7, 11, 8, 7, 11, 8]"
4,"y_2,2b","y_{V-,V+}",V-∧V+,1,+,1,1,,"[7, 11, 8, 7, 11, 8]"
4,"y_2,3b","y_{V-,S+}",V-∧S+,1,+,1,1,,"[7, 11, 8, 7, 11, 8]"
4,"y_3,3b","y_{S-,S+}",S-∧S+,1,+,1,1,,"[7, 11, 8, 7, 11, 8]"
