mode,mode_name,feature,correlation,abs_correlation
1,completion/J-pressure polarity,S_score,0.8505301496480278,0.8505301496480278
1,completion/J-pressure polarity,J_pressure,-0.844340902878224,0.844340902878224
1,completion/J-pressure polarity,divergence,-0.8119693580167241,0.8119693580167241
1,completion/J-pressure polarity,C,0.7897236070654666,0.7897236070654666
1,completion/J-pressure polarity,sealed,0.7897236070654666,0.7897236070654666
1,completion/J-pressure polarity,R_Omega,0.7375075877854651,0.7375075877854651
1,completion/J-pressure polarity,payoff,0.719250777659736,0.719250777659736
1,completion/J-pressure polarity,win,0.6582043959074533,0.6582043959074533
1,completion/J-pressure polarity,omega,-0.45813114287879986,0.45813114287879986
1,completion/J-pressure polarity,V,0.39606412651725326,0.39606412651725326
1,completion/J-pressure polarity,hpop,0.3546284501959881,0.3546284501959881
1,completion/J-pressure polarity,sigma_H,-0.3546284501959881,0.3546284501959881
1,completion/J-pressure polarity,pure,0.3314807192079994,0.3314807192079994
1,completion/J-pressure polarity,flat,0.33069626482685965,0.33069626482685965
1,completion/J-pressure polarity,loss,-0.32556549613262203,0.32556549613262203
1,completion/J-pressure polarity,curved,0.25596080804039634,0.25596080804039634
1,completion/J-pressure polarity,L3_minus_P1,0.21913174361467683,0.21913174361467683
1,completion/J-pressure polarity,P1_point,-0.2157282020195502,0.2157282020195502
1,completion/J-pressure polarity,Pi_flag,-0.18645214936081264,0.18645214936081264
1,completion/J-pressure polarity,bluff,-0.09082093760090124,0.09082093760090124
1,completion/J-pressure polarity,F7_minus_L3,0.05840823854653969,0.05840823854653969
1,completion/J-pressure polarity,q4,-0.029914154444254513,0.029914154444254513
1,completion/J-pressure polarity,X,-0.0184973740975989,0.0184973740975989
1,completion/J-pressure polarity,monodrome,-0.0008715627235916724,0.0008715627235916724
2,kernel-spike q4-loss polarity,q4,-0.6928695328306631,0.6928695328306631
2,kernel-spike q4-loss polarity,payoff,0.6320331505626409,0.6320331505626409
2,kernel-spike q4-loss polarity,R_Omega,0.6206187012389075,0.6206187012389075
2,kernel-spike q4-loss polarity,loss,-0.6147764319998572,0.6147764319998572
2,kernel-spike q4-loss polarity,curved,0.45401414643999255,0.45401414643999255
2,kernel-spike q4-loss polarity,win,0.44382012610991156,0.44382012610991156
2,kernel-spike q4-loss polarity,X,-0.37878223981040376,0.37878223981040376
2,kernel-spike q4-loss polarity,monodrome,-0.35334591924724706,0.35334591924724706
2,kernel-spike q4-loss polarity,J_pressure,-0.3348736428332493,0.3348736428332493
2,kernel-spike q4-loss polarity,bluff,-0.3218883756891478,0.3218883756891478
2,kernel-spike q4-loss polarity,S_score,0.3139796376981077,0.3139796376981077
2,kernel-spike q4-loss polarity,omega,-0.27729137822757927,0.27729137822757927
2,kernel-spike q4-loss polarity,C,0.24945344960847748,0.24945344960847748
2,kernel-spike q4-loss polarity,sealed,0.24945344960847748,0.24945344960847748
2,kernel-spike q4-loss polarity,L3_minus_P1,-0.18967409601471005,0.18967409601471005
2,kernel-spike q4-loss polarity,P1_point,0.1868961013855326,0.1868961013855326
2,kernel-spike q4-loss polarity,Pi_flag,0.16205994129941925,0.16205994129941925
2,kernel-spike q4-loss polarity,flat,0.1594672096970639,0.1594672096970639
2,kernel-spike q4-loss polarity,pure,0.15227386960473063,0.15227386960473063
2,kernel-spike q4-loss polarity,F7_minus_L3,-0.051921644022870625,0.051921644022870625
2,kernel-spike q4-loss polarity,divergence,0.03161039116104706,0.03161039116104706
2,kernel-spike q4-loss polarity,V,-0.025107556626505403,0.025107556626505403
2,kernel-spike q4-loss polarity,sigma_H,-0.02319346638598885,0.02319346638598885
2,kernel-spike q4-loss polarity,hpop,0.023193466385988838,0.023193466385988838
3,monodromy-contamination correction,loss,-0.359823666213942,0.359823666213942
3,monodromy-contamination correction,payoff,0.24582392064414346,0.24582392064414346
3,monodromy-contamination correction,win,0.23823112466952004,0.23823112466952004
3,monodromy-contamination correction,R_Omega,0.22894318905682848,0.22894318905682848
3,monodromy-contamination correction,pure,0.22105953512635135,0.22105953512635135
3,monodromy-contamination correction,P1_point,0.21907615297122582,0.21907615297122582
3,monodromy-contamination correction,L3_minus_P1,-0.21561874969074407,0.21561874969074407
3,monodromy-contamination correction,Pi_flag,0.2107009955938497,0.2107009955938497
3,monodromy-contamination correction,flat,0.20578556623382843,0.20578556623382843
3,monodromy-contamination correction,X,-0.1446236567224903,0.1446236567224903
3,monodromy-contamination correction,q4,-0.11594867574149342,0.11594867574149342
3,monodromy-contamination correction,C,0.11312224415227068,0.11312224415227068
3,monodromy-contamination correction,sealed,0.11312224415227068,0.11312224415227068
3,monodromy-contamination correction,F7_minus_L3,-0.11277621176208744,0.11277621176208744
3,monodromy-contamination correction,omega,-0.11135153407455467,0.11135153407455467
3,monodromy-contamination correction,S_score,0.07918349980334966,0.07918349980334966
3,monodromy-contamination correction,V,-0.07296612485700142,0.07296612485700142
3,monodromy-contamination correction,bluff,0.0719393979378326,0.0719393979378326
3,monodromy-contamination correction,J_pressure,-0.05679412993276639,0.05679412993276639
3,monodromy-contamination correction,curved,0.04743650155871912,0.04743650155871912
3,monodromy-contamination correction,divergence,0.025415798108968452,0.025415798108968452
3,monodromy-contamination correction,hpop,0.019873555877134068,0.019873555877134068
