u,v,graph_distance,shortest_path_count,all_simple_path_count,exact_word_cost_transposition,best_optical_cost_over_shortest_paths,best_optical_cost_over_simple_paths,best_simple_can_use_longer_path
0,1,1,1,561,1,73728,73728,False
0,2,4,2,748,7,712704,626688,True
0,3,3,1,716,5,847872,479232,True
0,4,1,1,561,1,55296,55296,False
0,5,5,6,780,9,589824,589824,False
0,6,4,2,748,7,479232,479232,False
0,7,2,1,589,3,368640,368640,False
0,8,2,1,589,3,331776,331776,False
0,9,3,1,716,5,761856,761856,False
0,10,2,1,589,3,193536,193536,False
0,11,1,1,561,1,27648,27648,False
0,12,3,1,716,5,248832,248832,False
0,13,2,1,589,3,153600,153600,False
0,14,2,1,589,3,258048,258048,False
0,15,3,1,716,5,516096,516096,False
0,16,2,1,589,3,129024,129024,False
0,17,3,1,716,5,285696,285696,False
0,18,4,2,748,7,442368,442368,False
0,19,3,1,716,5,546816,546816,False
1,2,3,1,716,5,565248,565248,False
1,3,3,1,716,5,1253376,626688,True
1,4,2,1,589,3,184320,184320,False
1,5,4,2,748,7,909312,737280,True
1,6,3,1,716,5,1130496,626688,True
1,7,1,1,561,1,221184,221184,False
1,8,2,1,589,3,663552,479232,True
1,9,2,1,589,3,614400,614400,False
1,10,3,1,716,5,340992,340992,False
1,11,2,1,589,3,129024,129024,False
1,12,4,2,748,7,396288,396288,False
1,13,3,1,716,5,301056,301056,False
1,14,1,1,561,1,110592,110592,False
1,15,2,1,589,3,368640,368640,False
1,16,2,1,589,3,737280,276480,True
1,17,3,1,716,5,903168,433152,True
1,18,5,6,780,9,589824,589824,False
1,19,4,2,748,7,694272,694272,False
2,3,1,1,561,1,73728,73728,False
2,4,3,1,716,5,884736,516096,True
2,5,1,1,561,1,196608,196608,False
2,6,2,1,589,3,307200,307200,False
2,7,3,1,716,5,983040,933888,True
2,8,2,1,589,3,442368,442368,False
2,9,2,1,589,3,589824,589824,False
2,10,3,1,716,5,350208,350208,False
2,11,5,6,780,9,768000,681984,True
2,12,2,1,589,3,294912,294912,False
2,13,4,2,748,7,571392,571392,False
2,14,2,1,589,3,344064,344064,False
2,15,1,1,561,1,98304,98304,False
2,16,4,2,748,7,694272,694272,False
2,17,3,1,716,5,528384,528384,False
2,18,2,1,589,3,344064,344064,False
2,19,3,1,716,5,933888,933888,False
3,4,2,1,589,3,737280,368640,True
3,5,2,1,589,3,344064,344064,False
3,6,3,1,716,5,454656,454656,False
3,7,4,2,748,7,1130496,995328,True
3,8,1,1,561,1,294912,294912,False
3,9,3,1,716,5,737280,737280,False
3,10,2,1,589,3,202752,202752,False
3,11,4,2,748,7,620544,534528,True
3,12,1,1,561,1,147456,147456,False
3,13,3,1,716,5,423936,423936,False
3,14,2,1,589,3,1032192,491520,True
3,15,2,1,589,3,245760,245760,False
3,16,5,6,780,9,768000,681984,True
3,17,4,2,748,7,675840,675840,False
3,18,2,1,589,3,368640,368640,False
3,19,3,1,716,5,909312,866304,True
4,5,4,2,748,7,479232,479232,False
4,6,5,6,780,9,589824,589824,False
4,7,3,1,716,5,479232,479232,False
4,8,1,1,561,1,221184,221184,False
4,9,4,2,748,7,872448,872448,False
4,10,1,1,561,1,82944,82944,False
4,11,2,1,589,3,110592,110592,False
4,12,2,1,589,3,138240,138240,False
4,13,2,1,589,3,276480,264192,True
4,14,2,1,589,3,884736,368640,True
4,15,3,1,716,5,1179648,626688,True
4,16,3,1,716,5,239616,239616,False
4,17,4,2,748,7,396288,396288,False
4,18,3,1,716,5,331776,331776,False
4,19,3,1,716,5,681984,657408,True
5,6,1,1,561,1,55296,55296,False
5,7,3,1,716,5,798720,792576,True
5,8,3,1,716,5,835584,811008,True
5,9,2,1,589,3,405504,405504,False
5,10,3,1,716,5,313344,313344,False
5,11,4,2,748,7,534528,534528,False
5,12,2,1,589,3,258048,258048,False
5,13,3,1,716,5,1130496,534528,True
5,14,3,1,716,5,688128,688128,False
5,15,2,1,589,3,393216,393216,False
5,16,3,1,716,5,387072,387072,False
5,17,2,1,589,3,221184,221184,False
5,18,1,1,561,1,73728,73728,False
5,19,2,1,589,3,540672,540672,False
6,7,2,1,589,3,688128,681984,True
6,8,4,2,748,7,946176,921600,True
6,9,1,1,561,1,294912,294912,False
6,10,4,2,748,7,423936,423936,False
6,11,3,1,716,5,423936,423936,False
6,12,3,1,716,5,368640,368640,False
6,13,3,1,716,5,1253376,620544,True
6,14,3,1,716,5,1277952,798720,True
6,15,2,1,589,3,983040,503808,True
6,16,2,1,589,3,276480,276480,False
6,17,1,1,561,1,110592,110592,False
6,18,2,1,589,3,184320,184320,False
6,19,2,1,589,3,663552,651264,True
7,8,3,1,716,5,1105920,921600,True
7,9,1,1,561,1,196608,196608,False
7,10,4,2,748,7,645120,645120,False
7,11,2,1,589,3,442368,423936,True
7,12,5,6,780,9,700416,700416,False
7,13,3,1,716,5,638976,620544,True
7,14,2,1,589,3,442368,442368,False
7,15,2,1,589,3,786432,737280,True
7,16,1,1,561,1,294912,294912,False
7,17,2,1,589,3,460800,460800,False
7,18,4,2,748,7,946176,921600,True
7,19,3,1,716,5,1198080,1136640,True
8,9,3,1,716,5,1523712,1314816,True
8,10,2,1,589,3,387072,387072,False
8,11,3,1,716,5,387072,387072,False
8,12,2,1,589,3,589824,442368,True
8,13,3,1,716,5,608256,583680,True
8,14,1,1,561,1,442368,442368,False
8,15,2,1,589,3,737280,638976,True
8,16,4,2,748,7,534528,534528,False
8,17,5,6,780,9,700416,700416,False
8,18,3,1,716,5,811008,663552,True
8,19,4,2,748,7,1124352,1099776,True
9,10,5,6,780,9,829440,829440,False
9,11,3,1,716,5,835584,817152,True
9,12,4,2,748,7,774144,774144,False
9,13,4,2,748,7,1032192,1013760,True
9,14,2,1,589,3,688128,688128,False
9,15,1,1,561,1,393216,393216,False
9,16,2,1,589,3,688128,681984,True
9,17,2,1,589,3,516096,516096,False
9,18,3,1,716,5,552960,552960,False
9,19,3,1,716,5,1253376,1241088,True
10,11,2,1,589,3,307200,248832,True
10,12,1,1,561,1,27648,27648,False
10,13,1,1,561,1,110592,110592,False
10,14,3,1,716,5,1050624,534528,True
10,15,4,2,748,7,546816,546816,False
10,16,3,1,716,5,454656,396288,True
10,17,3,1,716,5,1253376,562176,True
10,18,2,1,589,3,165888,165888,False
10,19,2,1,589,3,516096,516096,False
11,12,3,1,716,5,362496,304128,True
11,13,1,1,561,1,98304,98304,False
11,14,3,1,716,5,313344,313344,False
11,15,4,2,748,7,571392,571392,False
11,16,1,1,561,1,73728,73728,False
11,17,2,1,589,3,230400,230400,False
11,18,3,1,716,5,1179648,497664,True
11,19,2,1,589,3,491520,491520,False
12,13,2,1,589,3,165888,165888,False
12,14,3,1,716,5,1327104,589824,True
