atom_id,atom_label,h6_triple,complement_atom_id,ordered_distinct_path_count,tensor_path_support,tensor_path_coefficient_mass,internal_relation_count,internal_signature_class_count,self_transpose_relation_count,relation_size_total,left_support_degree_total,right_support_degree_total,output_support_degree_total,left_coefficient_mass_total,right_coefficient_mass_total,output_coefficient_mass_total
0,d20_atom_Bminus_Bplus_Vminus,B-|B+|V-,19,6,2112,9600,111,50,49,518400,85641,85641,85641,209520,209520,285936
1,d20_atom_Bminus_Bplus_Vplus,B-|B+|V+,18,6,15024,32256,231,69,75,1327104,266244,266244,266244,524160,524160,595056
2,d20_atom_Bminus_Bplus_Sminus,B-|B+|S-,17,6,12936,33024,201,81,63,1183744,230112,230112,230112,418880,418880,517776
3,d20_atom_Bminus_Bplus_Splus,B-|B+|S+,16,6,20952,46080,281,72,77,1806336,397320,397320,397320,670656,670656,723856
4,d20_atom_Bminus_Vminus_Vplus,B-|V-|V+,15,6,10944,33024,241,70,75,1218816,250601,250601,250601,502320,502320,620816
5,d20_atom_Bminus_Vminus_Sminus,B-|V-|S-,14,6,9216,22976,183,70,63,1081600,214461,214461,214461,400400,400400,471408
6,d20_atom_Bminus_Vminus_Splus,B-|V-|S+,13,6,22656,36864,271,67,77,1679616,373621,373621,373621,646704,646704,698096
7,d20_atom_Bminus_Vplus_Sminus,B-|V+|S-,12,6,55488,83712,335,97,89,2166784,470438,470438,470438,808128,808128,862960
8,d20_atom_Bminus_Vplus_Splus,B-|V+|S+,11,6,101376,122880,463,90,103,2985984,680126,680126,680126,1145664,1145664,1192688
9,d20_atom_Bminus_Sminus_Splus,B-|S-|S+,10,6,75720,112640,393,110,91,2768896,634178,634178,634178,986752,986752,1012368
10,d20_atom_Bplus_Vminus_Vplus,B+|V-|V+,9,6,4080,16512,192,55,68,831744,160647,160647,160647,357504,357504,494592
11,d20_atom_Bplus_Vminus_Sminus,B+|V-|S-,8,6,2112,10624,122,53,56,719104,122891,122891,122891,273056,273056,314272
12,d20_atom_Bplus_Vminus_Splus,B+|V-|S+,7,6,6912,19584,222,58,70,1218816,260963,260963,260963,481344,481344,571872
13,d20_atom_Bplus_Vplus_Sminus,B+|V+|S-,6,6,19776,38400,258,70,82,1638400,337538,337538,337538,622080,622080,664608
14,d20_atom_Bplus_Vplus_Splus,B+|V+|S+,5,6,45120,66048,398,71,96,2359296,526138,526138,526138,921600,921600,1025248
15,d20_atom_Bplus_Sminus_Splus,B+|S-|S+,4,6,29112,55808,316,89,84,2166784,478574,478574,478574,780160,780160,814016
16,d20_atom_Vminus_Vplus_Sminus,V-|V+|S-,3,6,16512,40960,268,63,82,1517824,319171,319171,319171,598752,598752,690368
17,d20_atom_Vminus_Vplus_Splus,V-|V+|S+,2,6,31488,75264,416,70,96,2214144,499723,499723,499723,892800,892800,1071616
18,d20_atom_Vminus_Sminus_Splus,V-|S-|S+,1,6,24192,45440,306,76,84,2027776,452151,452151,452151,754720,754720,788256
19,d20_atom_Vplus_Sminus_Splus,V+|S-|S+,0,6,125952,165376,514,97,110,3444736,792700,792700,792700,1288064,1288064,1324064
