transfer_edge_id,source_node_id,target_node_id,edge_kind_code,edge_flux_x1e9,transition_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12,stationary_edge_flow_x1e12
0,10,17,0,3779682668121027,554038975701,60964383817,33776644764,33776644764
1,10,19,0,1172114419023438,171812590934,60964383817,45863301091,10474448738
2,10,32,0,1351129321233871,198053215284,60964383817,26617242245,12074192233
3,10,34,0,519125530005461,76095218080,60964383817,88173593812,4639098082
4,13,19,0,2496882136563335,243995552454,91448650143,45863301091,22313063913
5,13,28,0,2272119002390199,222031678273,91448650143,79786909943,20304497267
6,13,41,0,4642976279672583,453712069866,91448650143,79481608761,41491356343
7,13,44,0,821332621031619,80260699407,91448650143,215374612654,7339732620
8,17,19,0,1463210193941143,387125143146,33776644764,45863301091,13075788439
9,17,32,0,1627400070540569,430565265245,33776644764,26617242245,14543050012
10,17,42,0,689072403639315,182309591610,33776644764,40880734813,6157806313
11,19,34,0,2851079746603917,555527063844,45863301091,88173593812,25478304993
12,19,44,0,2281127002923999,444472936156,45863301091,215374612654,20384996098
13,28,34,0,5037050925200033,564164640788,79786909943,88173593812,45012953387
14,28,44,0,3891284105085709,435835359212,79786909943,215374612654,34773956555
15,32,34,0,1459567653683818,490029629291,26617242245,88173593812,13043237350
16,32,42,0,1518961738090622,509970370709,26617242245,40880734813,13574004895
17,34,44,0,9866823855493229,1000000000000,88173593812,215374612654,88173593812
18,38,13,0,5448582589593406,585067658540,83222089120,91448650143,48690552820
19,38,28,0,1067292775099852,114605674896,83222089120,79786909943,9537723690
20,38,41,0,2301484511017070,247132925286,83222089120,79481608761,20566918333
21,38,44,0,495379446077362,53193741279,83222089120,215374612654,4426894277
22,41,28,0,4699677565809980,528399722899,79481608761,79786909943,41998060045
23,41,42,0,2366612212653011,266085751600,79481608761,40880734813,21148923606
24,41,44,0,1827881361578043,205514525502,79481608761,215374612654,16334625111
25,42,44,0,4574646354382948,1000000000000,40880734813,215374612654,40880734813
26,43,13,0,4784727450064330,276912336993,154410228837,91448650143,42758097323
27,43,28,0,889245686985711,51464394558,154410228837,79786909943,7946628941
28,43,38,0,9312739321787690,538967461850,154410228837,83222089120,83222089120
29,43,41,0,1949710349351381,112837952618,154410228837,79481608761,17423334085
30,43,44,0,342429777484562,19817853980,154410228837,215374612654,3060079368
31,44,10,1,6822051938383797,283062070620,215374612654,60964383817,60964383817
32,44,43,1,17278852585673674,716937929380,215374612654,154410228837,154410228837
