chamber_id,chamber_size,chamber_dimension,node_id_0,node_id_1,node_id_2,node_id_3,node_id_4,node_id_5,source_node_id,sink_node_id,min_signature_union_count,max_signature_union_count,directed_edge_count
0,3,2,10,17,19,-1,-1,-1,10,19,167,173,3
1,3,2,10,17,32,-1,-1,-1,10,32,167,175,3
2,3,2,10,19,34,-1,-1,-1,10,34,167,177,3
3,3,2,10,32,34,-1,-1,-1,10,34,167,177,3
4,3,2,13,19,44,-1,-1,-1,13,44,165,185,3
5,3,2,17,32,42,-1,-1,-1,17,42,171,183,3
6,3,2,19,34,44,-1,-1,-1,19,44,173,185,3
7,3,2,28,34,44,-1,-1,-1,28,44,169,185,3
8,3,2,41,42,44,-1,-1,-1,41,44,167,185,3
9,6,5,13,28,38,41,43,44,43,44,155,185,15
