composition_id,left_morphism_id,right_morphism_id,composite_morphism_id,source_node_id,via_node_id,target_node_id,left_path_length,right_path_length,composite_path_length
0,0,0,0,10,10,10,0,0,0
1,0,1,1,10,10,17,0,1,1
2,0,2,2,10,10,19,0,2,2
3,0,3,3,10,10,34,0,3,3
4,0,4,4,10,10,44,0,4,4
5,0,5,5,10,10,44,0,3,3
6,0,6,6,10,10,32,0,2,2
7,0,7,7,10,10,34,0,3,3
8,0,8,8,10,10,44,0,4,4
9,0,9,9,10,10,42,0,3,3
10,0,10,10,10,10,44,0,4,4
11,0,11,11,10,10,42,0,2,2
12,0,12,12,10,10,44,0,3,3
13,0,13,13,10,10,19,0,1,1
14,0,14,14,10,10,34,0,2,2
15,0,15,15,10,10,44,0,3,3
16,0,16,16,10,10,44,0,2,2
17,0,17,17,10,10,32,0,1,1
18,0,18,18,10,10,34,0,2,2
19,0,19,19,10,10,44,0,3,3
20,0,20,20,10,10,42,0,2,2
21,0,21,21,10,10,44,0,3,3
22,0,22,22,10,10,34,0,1,1
23,0,23,23,10,10,44,0,2,2
24,1,42,1,10,17,17,1,0,1
25,1,43,2,10,17,19,1,1,2
26,1,44,3,10,17,34,1,2,3
27,1,45,4,10,17,44,1,3,4
28,1,46,5,10,17,44,1,2,3
29,1,47,6,10,17,32,1,1,2
30,1,48,7,10,17,34,1,2,3
31,1,49,8,10,17,44,1,3,4
32,1,50,9,10,17,42,1,2,3
33,1,51,10,10,17,44,1,3,4
34,1,52,11,10,17,42,1,1,2
35,1,53,12,10,17,44,1,2,3
36,2,54,2,10,19,19,2,0,2
37,2,55,3,10,19,34,2,1,3
38,2,56,4,10,19,44,2,2,4
39,2,57,5,10,19,44,2,1,3
40,3,67,3,10,34,34,3,0,3
41,3,68,4,10,34,44,3,1,4
42,4,175,4,10,44,44,4,0,4
43,5,175,5,10,44,44,3,0,3
44,6,62,6,10,32,32,2,0,2
45,6,63,7,10,32,34,2,1,3
46,6,64,8,10,32,44,2,2,4
47,6,65,9,10,32,42,2,1,3
48,6,66,10,10,32,44,2,2,4
49,7,67,7,10,34,34,3,0,3
50,7,68,8,10,34,44,3,1,4
51,8,175,8,10,44,44,4,0,4
52,9,109,9,10,42,42,3,0,3
53,9,110,10,10,42,44,3,1,4
54,10,175,10,10,44,44,4,0,4
55,11,109,11,10,42,42,2,0,2
56,11,110,12,10,42,44,2,1,3
57,12,175,12,10,44,44,3,0,3
58,13,54,13,10,19,19,1,0,1
59,13,55,14,10,19,34,1,1,2
60,13,56,15,10,19,44,1,2,3
61,13,57,16,10,19,44,1,1,2
62,14,67,14,10,34,34,2,0,2
63,14,68,15,10,34,44,2,1,3
64,15,175,15,10,44,44,3,0,3
65,16,175,16,10,44,44,2,0,2
66,17,62,17,10,32,32,1,0,1
67,17,63,18,10,32,34,1,1,2
68,17,64,19,10,32,44,1,2,3
69,17,65,20,10,32,42,1,1,2
70,17,66,21,10,32,44,1,2,3
71,18,67,18,10,34,34,2,0,2
72,18,68,19,10,34,44,2,1,3
73,19,175,19,10,44,44,3,0,3
74,20,109,20,10,42,42,2,0,2
75,20,110,21,10,42,44,2,1,3
76,21,175,21,10,44,44,3,0,3
77,22,67,22,10,34,34,1,0,1
78,22,68,23,10,34,44,1,1,2
79,23,175,23,10,44,44,2,0,2
80,24,24,24,13,13,13,0,0,0
81,24,25,25,13,13,19,0,1,1
82,24,26,26,13,13,34,0,2,2
83,24,27,27,13,13,44,0,3,3
84,24,28,28,13,13,44,0,2,2
85,24,29,29,13,13,28,0,1,1
86,24,30,30,13,13,34,0,2,2
87,24,31,31,13,13,44,0,3,3
88,24,32,32,13,13,44,0,2,2
89,24,33,33,13,13,41,0,1,1
90,24,34,34,13,13,28,0,2,2
91,24,35,35,13,13,34,0,3,3
92,24,36,36,13,13,44,0,4,4
93,24,37,37,13,13,44,0,3,3
94,24,38,38,13,13,42,0,2,2
95,24,39,39,13,13,44,0,3,3
96,24,40,40,13,13,44,0,2,2
97,24,41,41,13,13,44,0,1,1
98,25,54,25,13,19,19,1,0,1
99,25,55,26,13,19,34,1,1,2
100,25,56,27,13,19,44,1,2,3
101,25,57,28,13,19,44,1,1,2
102,26,67,26,13,34,34,2,0,2
103,26,68,27,13,34,44,2,1,3
104,27,175,27,13,44,44,3,0,3
105,28,175,28,13,44,44,2,0,2
106,29,58,29,13,28,28,1,0,1
107,29,59,30,13,28,34,1,1,2
108,29,60,31,13,28,44,1,2,3
109,29,61,32,13,28,44,1,1,2
110,30,67,30,13,34,34,2,0,2
111,30,68,31,13,34,44,2,1,3
112,31,175,31,13,44,44,3,0,3
113,32,175,32,13,44,44,2,0,2
114,33,101,33,13,41,41,1,0,1
115,33,102,34,13,41,28,1,1,2
116,33,103,35,13,41,34,1,2,3
117,33,104,36,13,41,44,1,3,4
118,33,105,37,13,41,44,1,2,3
119,33,106,38,13,41,42,1,1,2
120,33,107,39,13,41,44,1,2,3
121,33,108,40,13,41,44,1,1,2
122,34,58,34,13,28,28,2,0,2
123,34,59,35,13,28,34,2,1,3
124,34,60,36,13,28,44,2,2,4
125,34,61,37,13,28,44,2,1,3
126,35,67,35,13,34,34,3,0,3
127,35,68,36,13,34,44,3,1,4
128,36,175,36,13,44,44,4,0,4
129,37,175,37,13,44,44,3,0,3
130,38,109,38,13,42,42,2,0,2
131,38,110,39,13,42,44,2,1,3
132,39,175,39,13,44,44,3,0,3
133,40,175,40,13,44,44,2,0,2
134,41,175,41,13,44,44,1,0,1
135,42,42,42,17,17,17,0,0,0
136,42,43,43,17,17,19,0,1,1
137,42,44,44,17,17,34,0,2,2
138,42,45,45,17,17,44,0,3,3
139,42,46,46,17,17,44,0,2,2
140,42,47,47,17,17,32,0,1,1
141,42,48,48,17,17,34,0,2,2
142,42,49,49,17,17,44,0,3,3
143,42,50,50,17,17,42,0,2,2
144,42,51,51,17,17,44,0,3,3
145,42,52,52,17,17,42,0,1,1
146,42,53,53,17,17,44,0,2,2
147,43,54,43,17,19,19,1,0,1
148,43,55,44,17,19,34,1,1,2
149,43,56,45,17,19,44,1,2,3
150,43,57,46,17,19,44,1,1,2
151,44,67,44,17,34,34,2,0,2
152,44,68,45,17,34,44,2,1,3
153,45,175,45,17,44,44,3,0,3
154,46,175,46,17,44,44,2,0,2
155,47,62,47,17,32,32,1,0,1
156,47,63,48,17,32,34,1,1,2
157,47,64,49,17,32,44,1,2,3
158,47,65,50,17,32,42,1,1,2
159,47,66,51,17,32,44,1,2,3
160,48,67,48,17,34,34,2,0,2
161,48,68,49,17,34,44,2,1,3
162,49,175,49,17,44,44,3,0,3
163,50,109,50,17,42,42,2,0,2
164,50,110,51,17,42,44,2,1,3
165,51,175,51,17,44,44,3,0,3
166,52,109,52,17,42,42,1,0,1
167,52,110,53,17,42,44,1,1,2
168,53,175,53,17,44,44,2,0,2
169,54,54,54,19,19,19,0,0,0
170,54,55,55,19,19,34,0,1,1
171,54,56,56,19,19,44,0,2,2
172,54,57,57,19,19,44,0,1,1
173,55,67,55,19,34,34,1,0,1
174,55,68,56,19,34,44,1,1,2
175,56,175,56,19,44,44,2,0,2
176,57,175,57,19,44,44,1,0,1
177,58,58,58,28,28,28,0,0,0
178,58,59,59,28,28,34,0,1,1
179,58,60,60,28,28,44,0,2,2
180,58,61,61,28,28,44,0,1,1
181,59,67,59,28,34,34,1,0,1
182,59,68,60,28,34,44,1,1,2
183,60,175,60,28,44,44,2,0,2
