morphism_id,source_node_id,target_node_id,path_length,source_is_morse_source,target_is_sink,source_sink_path,node_id_0,node_id_1,node_id_2,node_id_3,node_id_4,node_id_5,node_id_6,min_signature_union_count,max_signature_union_count
0,10,10,0,1,0,0,10,-1,-1,-1,-1,-1,-1,167,167
1,10,17,1,1,0,0,10,17,-1,-1,-1,-1,-1,167,171
2,10,19,2,1,0,0,10,17,19,-1,-1,-1,-1,167,173
3,10,34,3,1,0,0,10,17,19,34,-1,-1,-1,167,177
4,10,44,4,1,1,1,10,17,19,34,44,-1,-1,167,185
5,10,44,3,1,1,1,10,17,19,44,-1,-1,-1,167,185
6,10,32,2,1,0,0,10,17,32,-1,-1,-1,-1,167,175
7,10,34,3,1,0,0,10,17,32,34,-1,-1,-1,167,177
8,10,44,4,1,1,1,10,17,32,34,44,-1,-1,167,185
9,10,42,3,1,0,0,10,17,32,42,-1,-1,-1,167,183
10,10,44,4,1,1,1,10,17,32,42,44,-1,-1,167,185
11,10,42,2,1,0,0,10,17,42,-1,-1,-1,-1,167,183
12,10,44,3,1,1,1,10,17,42,44,-1,-1,-1,167,185
13,10,19,1,1,0,0,10,19,-1,-1,-1,-1,-1,167,173
14,10,34,2,1,0,0,10,19,34,-1,-1,-1,-1,167,177
15,10,44,3,1,1,1,10,19,34,44,-1,-1,-1,167,185
16,10,44,2,1,1,1,10,19,44,-1,-1,-1,-1,167,185
17,10,32,1,1,0,0,10,32,-1,-1,-1,-1,-1,167,175
18,10,34,2,1,0,0,10,32,34,-1,-1,-1,-1,167,177
19,10,44,3,1,1,1,10,32,34,44,-1,-1,-1,167,185
20,10,42,2,1,0,0,10,32,42,-1,-1,-1,-1,167,183
21,10,44,3,1,1,1,10,32,42,44,-1,-1,-1,167,185
22,10,34,1,1,0,0,10,34,-1,-1,-1,-1,-1,167,177
23,10,44,2,1,1,1,10,34,44,-1,-1,-1,-1,167,185
24,13,13,0,0,0,0,13,-1,-1,-1,-1,-1,-1,165,165
25,13,19,1,0,0,0,13,19,-1,-1,-1,-1,-1,165,173
26,13,34,2,0,0,0,13,19,34,-1,-1,-1,-1,165,177
27,13,44,3,0,1,0,13,19,34,44,-1,-1,-1,165,185
28,13,44,2,0,1,0,13,19,44,-1,-1,-1,-1,165,185
29,13,28,1,0,0,0,13,28,-1,-1,-1,-1,-1,165,169
30,13,34,2,0,0,0,13,28,34,-1,-1,-1,-1,165,177
31,13,44,3,0,1,0,13,28,34,44,-1,-1,-1,165,185
32,13,44,2,0,1,0,13,28,44,-1,-1,-1,-1,165,185
33,13,41,1,0,0,0,13,41,-1,-1,-1,-1,-1,165,167
34,13,28,2,0,0,0,13,41,28,-1,-1,-1,-1,165,169
35,13,34,3,0,0,0,13,41,28,34,-1,-1,-1,165,177
36,13,44,4,0,1,0,13,41,28,34,44,-1,-1,165,185
37,13,44,3,0,1,0,13,41,28,44,-1,-1,-1,165,185
38,13,42,2,0,0,0,13,41,42,-1,-1,-1,-1,165,183
39,13,44,3,0,1,0,13,41,42,44,-1,-1,-1,165,185
40,13,44,2,0,1,0,13,41,44,-1,-1,-1,-1,165,185
41,13,44,1,0,1,0,13,44,-1,-1,-1,-1,-1,165,185
42,17,17,0,0,0,0,17,-1,-1,-1,-1,-1,-1,171,171
43,17,19,1,0,0,0,17,19,-1,-1,-1,-1,-1,171,173
44,17,34,2,0,0,0,17,19,34,-1,-1,-1,-1,171,177
45,17,44,3,0,1,0,17,19,34,44,-1,-1,-1,171,185
46,17,44,2,0,1,0,17,19,44,-1,-1,-1,-1,171,185
47,17,32,1,0,0,0,17,32,-1,-1,-1,-1,-1,171,175
48,17,34,2,0,0,0,17,32,34,-1,-1,-1,-1,171,177
49,17,44,3,0,1,0,17,32,34,44,-1,-1,-1,171,185
50,17,42,2,0,0,0,17,32,42,-1,-1,-1,-1,171,183
51,17,44,3,0,1,0,17,32,42,44,-1,-1,-1,171,185
52,17,42,1,0,0,0,17,42,-1,-1,-1,-1,-1,171,183
53,17,44,2,0,1,0,17,42,44,-1,-1,-1,-1,171,185
54,19,19,0,0,0,0,19,-1,-1,-1,-1,-1,-1,173,173
55,19,34,1,0,0,0,19,34,-1,-1,-1,-1,-1,173,177
56,19,44,2,0,1,0,19,34,44,-1,-1,-1,-1,173,185
57,19,44,1,0,1,0,19,44,-1,-1,-1,-1,-1,173,185
58,28,28,0,0,0,0,28,-1,-1,-1,-1,-1,-1,169,169
59,28,34,1,0,0,0,28,34,-1,-1,-1,-1,-1,169,177
60,28,44,2,0,1,0,28,34,44,-1,-1,-1,-1,169,185
61,28,44,1,0,1,0,28,44,-1,-1,-1,-1,-1,169,185
62,32,32,0,0,0,0,32,-1,-1,-1,-1,-1,-1,175,175
63,32,34,1,0,0,0,32,34,-1,-1,-1,-1,-1,175,177
64,32,44,2,0,1,0,32,34,44,-1,-1,-1,-1,175,185
65,32,42,1,0,0,0,32,42,-1,-1,-1,-1,-1,175,183
66,32,44,2,0,1,0,32,42,44,-1,-1,-1,-1,175,185
67,34,34,0,0,0,0,34,-1,-1,-1,-1,-1,-1,177,177
68,34,44,1,0,1,0,34,44,-1,-1,-1,-1,-1,177,185
69,38,38,0,0,0,0,38,-1,-1,-1,-1,-1,-1,155,155
70,38,13,1,0,0,0,38,13,-1,-1,-1,-1,-1,155,165
71,38,19,2,0,0,0,38,13,19,-1,-1,-1,-1,155,173
72,38,34,3,0,0,0,38,13,19,34,-1,-1,-1,155,177
73,38,44,4,0,1,0,38,13,19,34,44,-1,-1,155,185
74,38,44,3,0,1,0,38,13,19,44,-1,-1,-1,155,185
75,38,28,2,0,0,0,38,13,28,-1,-1,-1,-1,155,169
76,38,34,3,0,0,0,38,13,28,34,-1,-1,-1,155,177
77,38,44,4,0,1,0,38,13,28,34,44,-1,-1,155,185
78,38,44,3,0,1,0,38,13,28,44,-1,-1,-1,155,185
79,38,41,2,0,0,0,38,13,41,-1,-1,-1,-1,155,167
80,38,28,3,0,0,0,38,13,41,28,-1,-1,-1,155,169
81,38,34,4,0,0,0,38,13,41,28,34,-1,-1,155,177
82,38,44,5,0,1,0,38,13,41,28,34,44,-1,155,185
83,38,44,4,0,1,0,38,13,41,28,44,-1,-1,155,185
84,38,42,3,0,0,0,38,13,41,42,-1,-1,-1,155,183
85,38,44,4,0,1,0,38,13,41,42,44,-1,-1,155,185
86,38,44,3,0,1,0,38,13,41,44,-1,-1,-1,155,185
87,38,44,2,0,1,0,38,13,44,-1,-1,-1,-1,155,185
88,38,28,1,0,0,0,38,28,-1,-1,-1,-1,-1,155,169
89,38,34,2,0,0,0,38,28,34,-1,-1,-1,-1,155,177
90,38,44,3,0,1,0,38,28,34,44,-1,-1,-1,155,185
91,38,44,2,0,1,0,38,28,44,-1,-1,-1,-1,155,185
92,38,41,1,0,0,0,38,41,-1,-1,-1,-1,-1,155,167
93,38,28,2,0,0,0,38,41,28,-1,-1,-1,-1,155,169
94,38,34,3,0,0,0,38,41,28,34,-1,-1,-1,155,177
95,38,44,4,0,1,0,38,41,28,34,44,-1,-1,155,185
