core_edge_id,source_node_id,target_node_id,source_core_node_id,target_core_node_id,edge_sector_union_count,source_signature_union_count,target_signature_union_count,signature_union_delta_abs,poincare_barycenter_distance_x1e10
0,10,17,0,2,6,167,171,4,498528095
1,10,19,0,3,6,167,173,6,1989903044
2,10,32,0,5,6,167,175,8,603740977
3,10,34,0,6,6,167,177,10,1935526928
4,13,19,1,3,6,165,173,8,448225904
5,13,28,1,4,6,165,169,4,284193792
6,13,38,1,7,6,165,155,10,2004501073
7,13,41,1,8,6,165,167,2,602142590
8,13,43,1,10,6,165,155,10,1942843248
9,13,44,1,11,6,165,185,20,2453959784
10,17,19,2,3,6,171,173,2,1537692837
11,17,32,2,5,6,171,175,4,284368537
12,17,42,2,9,6,171,183,12,1999491715
13,19,34,3,6,6,173,177,4,283881986
14,19,44,3,11,6,173,185,12,2006504745
15,28,34,4,6,6,169,177,8,447531634
16,28,38,4,7,6,169,155,14,1880028266
17,28,41,4,8,6,169,167,2,496637978
18,28,43,4,10,6,169,155,14,1994339405
19,28,44,4,11,6,169,185,16,2328853769
20,32,34,5,6,6,175,177,2,1536147670
21,32,42,5,9,6,175,183,8,1876343784
22,34,44,6,11,6,177,185,8,1882171461
23,38,41,7,8,6,155,167,12,1406127982
24,38,43,7,10,6,155,155,0,1229175072
25,38,44,7,11,6,155,185,30,449953010
26,41,42,8,9,6,167,183,16,1420912866
27,41,43,8,10,6,167,155,12,1543910678
28,41,44,8,11,6,167,185,18,1856056236
29,42,44,9,11,6,183,185,2,1539634214
30,43,44,10,11,6,155,185,30,1434519593
