core_node_id,node_id,symbol_0_count,symbol_1_count,symbol_2_count,symbol_3_count,symbol_4_count,symbol_5_count,sector_union_mask,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum,core_internal_degree,boundary_degree,full_high_interval_cover_count,is_boundary_node
0,10,1,1,0,0,0,1,63,6,167,151920,230656,4,11,5,1
1,13,1,0,1,0,1,0,63,6,165,77424,135552,6,9,8,1
2,17,1,0,0,1,0,1,63,6,171,143088,208256,4,11,5,1
3,19,1,0,0,0,1,1,63,6,173,147888,217216,5,10,7,1
4,28,0,1,1,0,1,0,63,6,169,73344,136320,6,9,8,1
5,32,0,1,0,1,0,1,63,6,175,139008,209024,4,11,5,1
6,34,0,1,0,0,1,1,63,6,177,143808,217984,5,10,7,1
7,38,0,0,2,0,1,0,63,6,155,117888,187008,5,5,8,1
8,41,0,0,1,1,1,0,63,6,167,64512,113920,6,9,8,1
9,42,0,0,1,1,0,1,63,6,183,183552,259712,4,11,6,1
10,43,0,0,1,0,2,0,63,6,155,69312,122880,5,5,7,1
11,44,0,0,1,0,1,1,63,6,185,188352,268672,8,7,12,1
