signature_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_carrier_atom_mask,target_carrier_atom_mask
0,0,1,3,146,146
1,0,2,3,146,146
2,0,3,3,146,146
3,0,4,3,146,146
4,0,5,3,146,146
5,0,6,3,146,146
6,0,7,3,146,146
7,0,8,3,146,146
8,0,9,3,146,146
9,0,10,3,146,146
10,0,11,3,146,146
11,0,12,3,146,146
12,0,13,3,146,146
13,0,14,3,146,146
14,0,15,1,146,2
15,0,16,1,146,2
16,0,17,1,146,2
17,0,18,1,146,16
18,0,19,1,146,16
19,0,20,1,146,16
20,0,21,3,146,146
21,0,22,3,146,146
22,0,23,3,146,146
23,0,24,3,146,146
24,0,25,3,146,146
25,0,26,3,146,146
26,0,27,3,146,146
27,0,28,1,146,128
28,0,29,1,146,128
29,0,30,1,146,128
30,0,31,1,146,128
31,0,32,1,146,128
32,0,33,1,146,128
33,0,34,1,146,128
34,0,35,1,146,128
35,0,36,1,146,128
36,0,37,1,146,128
37,0,38,1,146,128
38,0,45,1,146,2
39,0,46,1,146,2
40,0,47,1,146,2
41,0,48,1,146,6146
42,0,49,1,146,6146
43,0,50,1,146,6146
44,0,51,1,146,6146
45,0,52,1,146,6146
46,0,53,1,146,6146
47,0,54,1,146,6146
48,0,55,1,146,6146
49,0,56,1,146,6146
50,0,57,1,146,6146
51,0,61,1,146,2
52,0,62,1,146,2
53,0,72,1,146,16
54,0,73,1,146,16
55,0,74,1,146,16
56,0,78,1,146,6160
57,0,79,1,146,6160
58,0,80,1,146,6160
59,0,81,1,146,6160
60,0,82,1,146,6160
61,0,83,1,146,6160
62,0,84,1,146,6160
63,0,85,1,146,16
64,0,86,1,146,16
65,0,87,1,146,16
66,0,88,1,146,16
67,0,93,3,146,146
68,0,94,3,146,146
69,0,95,3,146,146
70,0,96,3,146,146
71,0,97,3,146,146
72,0,98,3,146,146
73,0,99,3,146,146
74,0,100,1,146,2
75,0,101,1,146,2
76,0,102,1,146,16
77,0,103,1,146,16
78,0,104,1,146,16
79,0,105,1,146,16
80,0,106,3,146,524434
81,0,107,3,146,524434
82,0,108,3,146,524434
83,0,109,3,146,524434
84,0,110,3,146,524434
85,0,111,3,146,524434
86,0,112,3,146,524434
87,0,113,3,146,524434
88,0,114,3,146,524434
89,0,115,3,146,524434
90,0,116,3,146,524434
91,0,117,3,146,524434
92,0,118,3,146,524434
93,0,119,3,146,524434
94,0,120,3,146,524434
95,0,121,3,146,524434
96,0,122,3,146,524434
97,0,123,3,146,524434
98,0,124,3,146,524434
99,0,125,3,146,524434
100,0,126,1,146,524416
101,0,127,1,146,524416
102,0,128,1,146,524416
103,0,129,1,146,524416
104,0,134,1,146,128
105,0,135,1,146,128
106,0,136,1,146,128
107,0,137,1,146,128
108,0,138,1,146,128
109,0,139,1,146,128
110,0,140,1,146,128
111,0,141,1,146,128
112,0,142,1,146,128
113,0,143,1,146,128
114,0,144,1,146,128
115,0,151,1,146,524416
116,0,152,1,146,524416
117,0,153,1,146,524416
118,0,154,1,146,524416
119,0,155,1,146,526464
120,0,156,1,146,526464
121,0,157,1,146,526464
122,0,158,1,146,526464
123,0,159,1,146,526464
124,0,160,1,146,526464
125,0,161,1,146,526464
126,0,162,1,146,526464
127,0,163,1,146,526464
128,0,164,1,146,526464
129,0,165,1,146,526464
130,0,166,1,146,526464
131,0,167,1,146,526464
132,0,168,1,146,526464
133,0,169,1,146,526464
134,0,170,1,146,526464
135,0,171,1,146,526464
136,0,172,1,146,526464
137,1,2,3,146,146
138,1,3,3,146,146
139,1,4,3,146,146
140,1,5,3,146,146
141,1,6,3,146,146
142,1,7,3,146,146
143,1,8,3,146,146
144,1,9,3,146,146
145,1,10,3,146,146
146,1,11,3,146,146
147,1,12,3,146,146
148,1,13,3,146,146
149,1,14,3,146,146
150,1,15,1,146,2
151,1,16,1,146,2
152,1,17,1,146,2
153,1,18,1,146,16
154,1,19,1,146,16
155,1,20,1,146,16
156,1,21,3,146,146
157,1,22,3,146,146
158,1,23,3,146,146
159,1,24,3,146,146
160,1,25,3,146,146
161,1,26,3,146,146
162,1,27,3,146,146
163,1,28,1,146,128
164,1,29,1,146,128
165,1,30,1,146,128
166,1,31,1,146,128
167,1,32,1,146,128
168,1,33,1,146,128
169,1,34,1,146,128
170,1,35,1,146,128
171,1,36,1,146,128
172,1,37,1,146,128
173,1,38,1,146,128
174,1,45,1,146,2
175,1,46,1,146,2
176,1,47,1,146,2
177,1,48,1,146,6146
178,1,49,1,146,6146
179,1,50,1,146,6146
180,1,51,1,146,6146
181,1,52,1,146,6146
182,1,53,1,146,6146
183,1,54,1,146,6146
184,1,55,1,146,6146
185,1,56,1,146,6146
186,1,57,1,146,6146
187,1,61,1,146,2
