signature_vertex_id,signature_class_id,signature_flow_mass_x1e12,carrier_atom_mask,active_atom_count,degree,eccentricity,carrier_mask_class_id,signature_flow_rank
0,0,5182662234,146,3,137,2,3,97
1,1,5182662233,146,3,137,2,3,98
2,2,5182662233,146,3,137,2,3,99
3,3,5182662233,146,3,137,2,3,100
4,4,5182662233,146,3,137,2,3,101
5,5,5182662233,146,3,137,2,3,102
6,6,5182662233,146,3,137,2,3,103
7,7,5182662233,146,3,137,2,3,104
8,8,5182662233,146,3,137,2,3,105
9,9,5182662233,146,3,137,2,3,106
10,10,5182662233,146,3,137,2,3,107
11,11,5182662233,146,3,137,2,3,108
12,12,5182662233,146,3,137,2,3,109
13,13,5182662233,146,3,137,2,3,110
14,14,5182662233,146,3,137,2,3,111
15,15,1121028888,2,1,68,2,0,212
16,16,1121028888,2,1,68,2,0,213
17,17,1121028888,2,1,68,2,0,214
18,18,1216867285,16,1,69,2,1,186
19,19,1216867285,16,1,69,2,1,187
20,20,1216867285,16,1,69,2,1,188
21,21,5182662233,146,3,137,2,3,112
22,22,5182662233,146,3,137,2,3,113
23,23,5182662233,146,3,137,2,3,114
24,24,5182662233,146,3,137,2,3,115
25,25,5182662233,146,3,137,2,3,116
26,26,5182662233,146,3,137,2,3,117
27,27,5182662233,146,3,137,2,3,118
28,28,2844766060,128,1,96,3,2,134
29,29,2844766060,128,1,96,3,2,135
30,30,2844766060,128,1,96,3,2,136
31,31,2844766060,128,1,96,3,2,137
32,32,2844766060,128,1,96,3,2,138
33,33,2844766060,128,1,96,3,2,139
34,34,2844766060,128,1,96,3,2,140
35,35,2844766060,128,1,96,3,2,141
36,36,2844766060,128,1,96,3,2,142
37,37,2844766060,128,1,96,3,2,143
38,38,2844766060,128,1,96,3,2,144
39,45,1121028888,2,1,68,2,0,215
40,46,1121028888,2,1,68,2,0,216
41,47,1121028888,2,1,68,2,0,217
42,48,7959993994,6146,3,146,2,7,8
43,49,7959993994,6146,3,146,2,7,9
44,50,7959993994,6146,3,146,2,7,10
45,51,7959993994,6146,3,146,2,7,11
46,52,7959993994,6146,3,146,2,7,12
47,53,7959993994,6146,3,146,2,7,13
48,54,7959993994,6146,3,146,2,7,14
49,55,7959993994,6146,3,146,2,7,15
50,56,7959993994,6146,3,146,2,7,16
51,57,7959993994,6146,3,146,2,7,17
52,58,6838965106,6144,2,87,2,6,59
