edge_id,source_node_id,target_node_id,source_removed_symbol_id,target_added_symbol_id,source_degree,target_degree,source_sector_coverage_count,target_sector_coverage_count,edge_sector_union_count,source_signature_union_count,target_signature_union_count,signature_union_delta_abs
0,0,1,0,1,5,10,3,4,4,69,90,21
1,0,2,0,2,5,10,3,4,4,69,117,48
2,0,3,0,3,5,10,3,5,5,69,112,43
3,0,4,0,4,5,10,3,5,5,69,117,48
4,0,5,0,5,5,10,3,5,5,69,146,77
5,1,2,1,2,10,10,4,4,5,90,117,27
6,1,3,1,3,10,10,4,5,5,90,112,22
7,1,4,1,4,10,10,4,5,5,90,117,27
8,1,5,1,5,10,10,4,5,6,90,146,56
9,1,6,0,1,10,10,4,4,4,90,90,0
10,1,7,0,2,10,15,4,5,5,90,138,48
11,1,8,0,3,10,15,4,5,5,90,126,36
12,1,9,0,4,10,15,4,5,5,90,131,41
13,1,10,0,5,10,15,4,6,6,90,167,77
14,2,3,2,3,10,10,4,5,5,117,112,5
15,2,4,2,4,10,10,4,5,6,117,117,0
16,2,5,2,5,10,10,4,5,5,117,146,29
17,2,7,0,1,10,15,4,5,5,117,138,21
18,2,11,0,2,10,10,4,4,4,117,117,0
19,2,12,0,3,10,15,4,5,5,117,142,25
20,2,13,0,4,10,15,4,6,6,117,165,48
21,2,14,0,5,10,15,4,5,5,117,168,51
22,3,4,3,4,10,10,5,5,6,112,117,5
23,3,5,3,5,10,10,5,5,6,112,146,34
24,3,8,0,1,10,15,5,5,5,112,126,14
25,3,12,0,2,10,15,5,5,5,112,142,30
26,3,15,0,3,10,10,5,5,5,112,112,0
27,3,16,0,4,10,15,5,6,6,112,147,35
28,3,17,0,5,10,15,5,6,6,112,171,59
29,4,5,4,5,10,10,5,5,6,117,146,29
30,4,9,0,1,10,15,5,5,5,117,131,14
31,4,13,0,2,10,15,5,6,6,117,165,48
32,4,16,0,3,10,15,5,6,6,117,147,30
33,4,18,0,4,10,10,5,5,5,117,117,0
34,4,19,0,5,10,15,5,6,6,117,173,56
35,5,10,0,1,10,15,5,6,6,146,167,21
36,5,14,0,2,10,15,5,5,5,146,168,22
37,5,17,0,3,10,15,5,6,6,146,171,25
38,5,19,0,4,10,15,5,6,6,146,173,27
39,5,20,0,5,10,10,5,5,5,146,146,0
40,6,7,1,2,10,15,4,5,5,90,138,48
41,6,8,1,3,10,15,4,5,5,90,126,36
42,6,9,1,4,10,15,4,5,5,90,131,41
43,6,10,1,5,10,15,4,6,6,90,167,77
44,6,21,0,1,10,5,4,3,4,90,70,20
45,6,22,0,2,10,10,4,4,5,90,118,28
46,6,23,0,3,10,10,4,5,5,90,116,26
47,6,24,0,4,10,10,4,5,5,90,121,31
48,6,25,0,5,10,10,4,5,6,90,147,57
49,7,8,2,3,15,15,5,5,5,138,126,12
50,7,9,2,4,15,15,5,5,6,138,131,7
51,7,10,2,5,15,15,5,6,6,138,167,29
52,7,11,1,2,15,10,5,4,5,138,117,21
53,7,12,1,3,15,15,5,5,5,138,142,4
54,7,13,1,4,15,15,5,6,6,138,165,27
55,7,14,1,5,15,15,5,5,6,138,168,30
56,7,22,0,1,15,10,5,4,5,138,118,20
57,7,26,0,2,15,10,5,4,5,138,118,20
58,7,27,0,3,15,15,5,5,5,138,146,8
59,7,28,0,4,15,15,5,6,6,138,169,31
60,7,29,0,5,15,15,5,5,6,138,169,31
61,8,9,3,4,15,15,5,5,6,126,131,5
62,8,10,3,5,15,15,5,6,6,126,167,41
63,8,12,1,2,15,15,5,5,5,126,142,16
64,8,15,1,3,15,10,5,5,5,126,112,14
65,8,16,1,4,15,15,5,6,6,126,147,21
66,8,17,1,5,15,15,5,6,6,126,171,45
67,8,23,0,1,15,10,5,5,5,126,116,10
68,8,27,0,2,15,15,5,5,5,126,146,20
69,8,30,0,3,15,10,5,5,5,126,116,10
70,8,31,0,4,15,15,5,6,6,126,151,25
