node_id,symbol_0_count,symbol_1_count,symbol_2_count,symbol_3_count,symbol_4_count,symbol_5_count,first_atom_id,second_atom_id,third_atom_id,sector_union_mask,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum,normal_word_triple_multiplicity,graph_degree
0,3,0,0,0,0,0,1,1,1,11,3,69,45072,96768,216,5
1,2,1,0,0,0,0,1,1,4,15,4,90,40992,97536,216,10
2,2,0,1,0,0,0,1,1,7,27,4,117,85536,148224,216,10
3,2,0,0,1,0,0,1,1,11,31,5,112,32160,75136,216,10
4,2,0,0,0,1,0,1,1,12,47,5,117,36960,84096,216,10
5,2,0,0,0,0,1,1,1,19,59,5,146,156000,229888,216,10
6,1,2,0,0,0,0,1,4,4,15,4,90,36912,98304,216,10
7,1,1,1,0,0,0,1,4,7,31,5,138,81456,148992,216,15
8,1,1,0,1,0,0,1,4,11,31,5,126,28080,75904,216,15
9,1,1,0,0,1,0,1,4,12,47,5,131,32880,84864,216,15
10,1,1,0,0,0,1,1,4,19,63,6,167,151920,230656,216,15
11,1,0,2,0,0,0,1,7,7,27,4,117,126000,199680,216,10
12,1,0,1,1,0,0,1,7,11,31,5,142,72624,126592,216,15
13,1,0,1,0,1,0,1,7,12,63,6,165,77424,135552,216,15
14,1,0,1,0,0,1,1,7,19,59,5,168,196464,281344,216,15
15,1,0,0,2,0,0,1,11,11,31,5,112,19248,53504,216,10
16,1,0,0,1,1,0,1,11,12,63,6,147,24048,62464,216,15
17,1,0,0,1,0,1,1,11,19,63,6,171,143088,208256,216,15
18,1,0,0,0,2,0,1,12,12,47,5,117,28848,71424,216,10
19,1,0,0,0,1,1,1,12,19,63,6,173,147888,217216,216,15
20,1,0,0,0,0,2,1,19,19,59,5,146,266928,363008,216,10
21,0,3,0,0,0,0,4,4,4,13,3,70,32832,99072,216,5
22,0,2,1,0,0,0,4,4,7,29,4,118,77376,149760,216,10
23,0,2,0,1,0,0,4,4,11,31,5,116,24000,76672,216,10
24,0,2,0,0,1,0,4,4,12,47,5,121,28800,85632,216,10
25,0,2,0,0,0,1,4,4,19,61,5,147,147840,231424,216,10
26,0,1,2,0,0,0,4,7,7,29,4,118,121920,200448,216,10
27,0,1,1,1,0,0,4,7,11,31,5,146,68544,127360,216,15
28,0,1,1,0,1,0,4,7,12,63,6,169,73344,136320,216,15
29,0,1,1,0,0,1,4,7,19,61,5,169,192384,282112,216,15
30,0,1,0,2,0,0,4,11,11,31,5,116,15168,54272,216,10
31,0,1,0,1,1,0,4,11,12,63,6,151,19968,63232,216,15
32,0,1,0,1,0,1,4,11,19,63,6,175,139008,209024,216,15
33,0,1,0,0,2,0,4,12,12,47,5,121,24768,72192,216,10
34,0,1,0,0,1,1,4,12,19,63,6,177,143808,217984,216,15
35,0,1,0,0,0,2,4,19,19,61,5,147,262848,363776,216,10
36,0,0,3,0,0,0,7,7,7,25,3,97,166464,251136,216,5
37,0,0,2,1,0,0,7,7,11,31,5,132,113088,178048,216,10
38,0,0,2,0,1,0,7,7,12,63,6,155,117888,187008,216,10
39,0,0,2,0,0,1,7,7,19,57,4,148,236928,332800,216,10
40,0,0,1,2,0,0,7,11,11,31,5,132,59712,104960,216,10
41,0,0,1,1,1,0,7,11,12,63,6,167,64512,113920,216,15
42,0,0,1,1,0,1,7,11,19,63,6,183,183552,259712,216,15
43,0,0,1,0,2,0,7,12,12,63,6,155,69312,122880,216,10
44,0,0,1,0,1,1,7,12,19,63,6,185,188352,268672,216,15
45,0,0,1,0,0,2,7,19,19,57,4,148,307392,414464,216,10
46,0,0,0,3,0,0,11,11,11,22,3,53,6336,31872,216,5
47,0,0,0,2,1,0,11,11,12,54,4,88,11136,40832,216,10
48,0,0,0,2,0,1,11,11,19,62,5,132,130176,186624,216,10
49,0,0,0,1,2,0,11,12,12,54,4,88,15936,49792,216,10
50,0,0,0,1,1,1,11,12,19,62,5,146,134976,195584,216,15
51,0,0,0,1,0,2,11,19,19,62,5,132,254016,341376,216,10
52,0,0,0,0,3,0,12,12,12,38,3,58,20736,58752,216,5
53,0,0,0,0,2,1,12,12,19,62,5,134,139776,204544,216,10
54,0,0,0,0,1,2,12,19,19,62,5,134,258816,350336,216,10
55,0,0,0,0,0,3,19,19,19,56,3,97,377856,496128,216,5
