directed_edge_id,boundary_spine_rank,boundary_mask_edge_id,source_state_id,target_state_id,source_nodal_sign,target_nodal_sign,source_carrier_mask_class_id,target_carrier_mask_class_id,boundary_partition_code,transition_probability_x1e12,stationary_flow_twice_x1e12,entropy_contribution_x1e12
0,1,14,0,1,1,-1,11,13,5,34792242660,43567340880,73157425520
1,1,14,1,0,-1,1,13,11,5,58261793466,43567340880,61926808805
2,2,15,0,1,1,-1,12,13,5,25894571865,32425551018,59236973143
3,2,15,1,0,-1,1,13,12,5,43362085413,32425551018,50878442926
4,3,2,0,1,1,-1,3,7,5,19138996919,23966124030,47405320492
5,3,2,1,0,-1,1,7,3,5,32049451268,23966124030,41227427885
6,4,6,0,1,1,-1,11,7,5,17677252430,22135706800,44664063844
7,4,6,1,0,-1,1,7,11,5,29601668400,22135706800,38958008947
8,5,3,0,1,1,-1,3,8,5,13558601414,16978273445,36509520142
9,5,3,1,0,-1,1,8,3,5,22704728838,16978273445,32132928004
10,6,7,0,1,1,-1,12,7,5,13156521499,16474783260,35674806318
11,6,7,1,0,-1,1,7,12,5,22031420792,16474783260,31428001888
12,7,8,0,1,1,-1,11,8,5,12523060747,15681554700,34344043377
13,7,8,1,0,-1,1,8,11,5,20970651013,15681554700,30301714266
14,8,11,0,1,1,-1,11,9,5,11713959008,14668386000,32614966101
15,8,11,1,0,-1,1,9,11,5,19615759382,14668386000,28833807608
16,9,9,0,1,1,-1,12,8,5,9320448251,11671197804,27284602676
17,9,9,1,0,-1,1,8,12,5,15607675434,11671197804,24276047495
18,10,13,0,1,1,-1,10,13,5,9229290638,11557048944,27074543046
19,10,13,1,0,-1,1,13,10,5,15455026289,11557048944,24095412706
20,11,12,0,1,1,-1,12,9,5,8718263981,10917134100,25886354366
21,11,12,1,0,-1,1,9,12,5,14599280088,10917134100,23072178742
22,12,5,0,1,1,-1,12,6,5,6782190351,8492755176,21204096115
23,12,5,1,0,-1,1,6,12,5,11357203309,8492755176,19014867295
24,13,10,0,1,1,-1,10,9,5,3107346035,3891062880,11233471846
25,13,10,1,0,-1,1,9,10,5,5203445914,3891062880,10230449056
26,14,4,0,1,1,-1,12,4,5,2254788086,2823477696,8604123749
27,14,4,1,0,-1,1,4,12,5,3775784132,2823477696,7876298842
28,15,1,0,1,1,-1,1,8,4,1536863286,1924482056,6233408702
29,15,1,1,0,-1,1,8,1,4,2573574008,1924482056,5737323333
30,16,0,0,1,1,-1,0,7,4,1427529393,1787572600,5855918042
31,16,0,1,0,-1,1,7,0,4,2390487542,1787572600,5395124651
