boundary_spine_rank,boundary_mask_edge_id,source_carrier_mask_class_id,target_carrier_mask_class_id,positive_carrier_mask_class_id,negative_carrier_mask_class_id,positive_region_code,negative_region_code,boundary_partition_code,signature_cut_edge_count,undirected_stationary_flux_x1e12,flux_fraction_of_total_cut_x1e12,positive_to_negative_probability_x1e12,negative_to_positive_probability_x1e12,positive_entropy_contribution_x1e12,negative_entropy_contribution_x1e12,total_entropy_contribution_x1e12,cumulative_flux_x1e12,cumulative_entropy_contribution_x1e12
1,14,11,13,11,13,1,-1,5,420,43567340880,182318772789,34792242660,58261793466,73157425520,61926808805,135084234325,43567340880,135084234325
2,15,12,13,12,13,1,-1,5,378,32425551018,135693079936,25894571865,43362085413,59236973143,50878442926,110115416069,75992891898,245199650394
3,2,3,7,3,7,1,-1,5,290,23966124030,100292426240,19138996919,32049451268,47405320492,41227427885,88632748377,99959015928,333832398771
4,6,7,11,11,7,1,-1,5,200,22135706800,92632573324,17677252430,29601668400,44664063844,38958008947,83622072791,122094722728,417454471562
5,3,3,8,3,8,1,-1,5,203,16978273445,71049963483,13558601414,22704728838,36509520142,32132928004,68642448146,139072996173,486096919708
6,7,7,12,12,7,1,-1,5,180,16474783260,68942978967,13156521499,22031420792,35674806318,31428001888,67102808206,155547779433,553199727914
7,8,8,11,11,8,1,-1,5,140,15681554700,65623509505,12523060747,20970651013,34344043377,30301714266,64645757642,171229334133,617845485556
8,11,9,11,11,9,1,-1,5,600,14668386000,61383643810,11713959008,19615759382,32614966101,28833807608,61448773709,185897720133,679294259265
9,9,8,12,12,8,1,-1,5,126,11671197804,48841136907,9320448251,15607675434,27284602676,24276047495,51560650171,197568917937,730854909436
10,13,10,13,10,13,1,-1,5,168,11557048944,48363451567,9229290638,15455026289,27074543046,24095412706,51169955752,209125966881,782024865188
11,12,9,12,12,9,1,-1,5,540,10917134100,45685562885,8718263981,14599280088,25886354366,23072178742,48958533108,220043100981,830983398296
12,5,6,12,12,6,1,-1,5,108,8492755176,35540124093,6782190351,11357203309,21204096115,19014867295,40218963410,228535856157,871202361706
13,10,9,10,10,9,1,-1,5,240,3891062880,16283156025,3107346035,5203445914,11233471846,10230449056,21463920902,232426919037,892666282608
14,4,4,12,12,4,1,-1,5,216,2823477696,11815570520,2254788086,3775784132,8604123749,7876298842,16480422590,235250396733,909146705198
15,1,1,8,1,8,2,-1,4,98,1924482056,8053491437,1536863286,2573574008,6233408702,5737323333,11970732035,237174878789,921117437233
16,0,0,7,0,7,2,-1,4,100,1787572600,7480558513,1427529393,2390487542,5855918042,5395124651,11251042693,238962451389,932368479926
