observable_id,observable_code,value_x1e12,aux_id
0,0,2,-1
1,1,2,-1
2,2,626107108209,-1
3,3,373892891791,-1
4,4,238962451389,-1
5,5,3712054656,-1
6,6,235250396733,-1
7,7,15534049950,-1
8,8,984465950050,-1
9,9,190831926563,-1
10,10,319560035288,-1
11,11,2964392679,-1
12,12,187867533884,-1
13,13,4964061550,-1
14,14,314595973738,-1
15,15,809168073437,-1
16,16,680439964712,-1
17,17,984465950050,-1
18,18,984465950050,-1
19,19,539439395042,-1
20,20,558582139199,-1
21,21,19142744157,-1
22,22,80107749339,-1
23,23,502714136745,-1
24,24,652136614894,-1
25,25,15287116139,-1
26,26,25599235206,-1
27,27,332701021922,-1
28,28,20651299856,-1
29,29,205229817421,-1
