component_id,component_kind_code,cell_count,edge_count,left_boundary_flag,right_boundary_flag,target_cell_count,clear_cell_count,endpoint13_heavy_cell_count,min_variation,min_target_variation,max_endpoint13_path_count,min_left_edit_radius,min_right_edit_radius,left_to_right_bridge_flag
0,0,347,1345,1,0,18,37,84,127,137,416,0,2,0
1,1,185,675,0,1,0,1,49,173,-1,624,2,0,0
2,2,15,27,0,0,0,0,1,173,-1,36,99,3,0
3,2,4,4,0,0,0,0,0,173,-1,0,99,3,0
4,2,2,2,0,0,1,1,0,153,153,0,3,99,0
5,2,2,1,0,0,0,0,0,215,-1,0,99,3,0
6,2,1,0,0,0,0,0,1,169,-1,72,3,99,0
7,2,1,0,0,0,0,0,0,199,-1,0,99,3,0
8,2,1,0,0,0,0,0,0,199,-1,0,99,3,0
9,2,1,0,0,0,0,0,0,201,-1,0,3,99,0
10,2,1,0,0,0,0,0,0,215,-1,0,99,3,0
11,2,1,0,0,0,0,0,1,215,-1,36,99,3,0
12,2,1,0,0,0,0,0,1,221,-1,36,99,3,0
