splice_witness_id,word_length,pre_tail_symbol_count,inserted_symbol_count_over_rank104,metric_gromov_delta_twice,trace_signature_total_variation,first_return_closed_path_count,full_carrier_path_count,normalized_tail_template_count,template_lift_count_min,template_lift_count_max,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,has_chord_31_28_flag,has_chord_50_34_flag,rank104_prefix_27_31_50_flag,shared_rewrite_tail_suffix_flag,six_template_retention_flag,selected_min_variation_flag,selected_six_template_retention_flag
0,12,7,2,2,197,24,192,2,12,12,0,0,24,0,1,1,0,0,1,0
1,13,8,3,2,199,24,160,3,8,8,0,0,0,0,1,1,0,0,0,0
2,13,8,3,2,223,24,240,6,4,4,12,4,8,0,1,1,1,1,0,1
3,13,8,3,2,229,24,160,3,8,8,0,0,0,1,0,0,0,0,0,0
4,13,8,3,2,229,24,160,3,8,8,0,0,0,1,0,0,0,0,0,0
5,13,8,3,2,249,24,160,3,8,8,0,0,0,0,1,1,0,0,0,0
6,13,8,3,2,255,24,480,3,8,8,0,8,16,0,1,1,0,0,0,0
7,10,5,0,2,289,24,160,3,8,8,0,0,0,1,0,0,0,0,0,0
8,12,7,2,2,289,24,640,3,8,8,0,8,16,1,0,0,0,0,0,0
9,12,7,2,2,301,24,192,2,12,12,0,0,24,1,0,0,0,0,0,0
10,13,8,3,2,347,24,320,3,8,8,0,8,16,1,1,0,0,0,0,0
