splice_witness_id,word_length,pre_tail_symbol_count,inserted_symbol_count_over_rank104,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,metric_gromov_delta_twice,trace_signature_total_variation,first_return_closed_path_count,full_carrier_path_count,normalized_tail_template_count,template_lift_count_min,template_lift_count_max,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,fixed_tail_atom_sequence_flag,has_chord_31_28_flag,has_chord_50_34_flag,rank104_prefix_27_31_50_flag,shared_rewrite_tail_suffix_flag,six_template_retention_flag,selected_min_variation_flag,selected_six_template_retention_flag
0,12,7,2,2,1,3,4,5,1,1,5,2,1,4,5,-1,11,48,42,27,31,50,34,25,29,28,34,44,-1,-1,-1,-1,-1,2,197,24,192,2,12,12,0,0,24,1,0,1,1,0,0,1,0
1,13,8,3,2,1,3,4,5,1,3,4,5,2,1,4,5,10,48,42,27,31,50,34,32,31,50,44,-1,-1,-1,-1,-1,-1,2,199,24,160,3,8,8,0,0,0,1,0,1,1,0,0,0,0
2,13,8,3,2,1,3,4,5,1,4,5,5,2,1,4,5,12,48,42,27,31,50,34,54,45,29,28,34,44,-1,-1,-1,-1,2,223,24,240,6,4,4,12,4,8,1,0,1,1,1,1,0,1
3,13,8,3,2,1,3,4,1,2,1,4,5,2,1,4,5,9,48,42,27,31,28,22,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,229,24,160,3,8,8,0,0,0,1,1,0,0,0,0,0,0
4,13,8,3,2,1,4,3,1,2,1,4,5,2,1,4,5,10,48,42,27,28,31,27,22,28,34,44,-1,-1,-1,-1,-1,-1,2,229,24,160,3,8,8,0,0,0,1,1,0,0,0,0,0,0
5,13,8,3,2,1,3,4,5,1,1,4,5,2,1,4,5,10,48,42,27,31,50,34,25,24,34,44,-1,-1,-1,-1,-1,-1,2,249,24,160,3,8,8,0,0,0,1,0,1,1,0,0,0,0
6,13,8,3,2,1,3,4,5,1,2,2,5,2,1,4,5,13,48,42,27,31,50,34,29,26,39,29,28,34,44,-1,-1,-1,2,255,24,480,3,8,8,0,8,16,1,0,1,1,0,0,0,0
7,10,5,0,2,1,4,3,4,5,2,1,4,5,-1,-1,-1,8,48,42,27,28,31,49,50,44,-1,-1,-1,-1,-1,-1,-1,-1,2,289,24,160,3,8,8,0,0,0,1,1,0,0,0,0,0,0
8,12,7,2,2,1,4,3,4,5,2,5,2,1,4,5,-1,8,48,42,27,28,31,49,50,44,-1,-1,-1,-1,-1,-1,-1,-1,2,289,24,640,3,8,8,0,8,16,1,1,0,0,0,0,0,0
9,12,7,2,2,1,4,3,4,3,1,5,2,1,4,5,-1,13,48,42,27,28,31,49,47,31,32,29,28,34,44,-1,-1,-1,2,301,24,192,2,12,12,0,0,24,1,1,0,0,0,0,0,0
10,13,8,3,2,1,4,3,4,5,1,2,5,2,1,4,5,14,48,42,27,28,31,49,50,34,29,39,29,28,34,44,-1,-1,2,347,24,320,3,8,8,0,8,16,1,1,1,0,0,0,0,0
