corridor_cell_id,component_id,nearest_anchor_edit_radius,selected_anchor_edit_radius,oversplitter217_anchor_edit_radius,oversplitter219_anchor_edit_radius,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,trace_node_16_id,trace_node_17_id,trace_node_18_id,trace_node_19_id,metric_gromov_delta_twice,trace_signature_total_variation,first_return_closed_path_count,closure_excess_signed_from_24,closure_excess_abs_from_24,normalized_tail_template_count,template_excess_signed_from_6,template_excess_abs_from_6,template_lift_count_min,template_lift_count_max,four_lift_template_count,non_four_template_count,all_four_lift_flag,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count,endpoint13_free_flag,endpoint11_gap_abs_from_8,angel_local_mass,has_chord_31_28_flag,has_chord_50_34_flag,clear_flag,underclosed_endpoint13_free_all_four_flag,exact24_six_all_four_flag,anchor_selected_flag,anchor_oversplitter_flag
0,1,0,2,0,2,13,2,1,4,3,1,5,2,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,28,31,32,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,217,28,4,4,7,1,1,4,4,7,0,1,12,4,0,12,0,8,25,1,0,0,0,0,0,1
1,1,0,2,2,0,11,2,1,4,3,1,5,5,2,1,4,5,-1,-1,-1,-1,-1,12,48,42,27,28,31,32,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,219,28,4,4,7,1,1,4,4,7,0,1,12,4,0,12,0,8,25,1,0,0,0,0,0,1
2,0,0,0,2,2,13,2,1,3,4,5,1,4,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,31,50,34,54,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,223,24,0,0,6,0,0,4,4,6,0,1,12,4,8,0,1,0,0,0,1,1,0,1,1,0
3,0,1,1,2,2,12,2,1,3,4,5,1,4,5,2,1,4,5,-1,-1,-1,-1,7,48,42,27,31,50,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,137,12,-12,12,3,-3,3,4,4,3,0,1,0,0,0,12,0,8,35,0,1,0,0,0,0,0
4,0,1,1,2,2,13,2,1,3,4,5,1,4,5,2,2,1,4,5,-1,-1,-1,7,48,42,27,31,50,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,137,36,12,12,9,3,3,4,4,9,0,1,0,16,20,0,1,12,27,0,1,1,0,0,0,0
5,0,1,1,2,2,14,2,1,3,4,5,1,4,5,2,5,2,1,4,5,-1,-1,7,48,42,27,31,50,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,137,12,-12,12,3,-3,3,4,4,3,0,1,0,4,8,0,1,0,15,0,1,0,1,0,0,0
6,1,1,2,2,1,10,2,1,4,3,1,5,2,1,4,5,-1,-1,-1,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,8,-16,16,2,-4,4,4,4,2,0,1,0,0,8,0,1,0,20,1,0,0,1,0,0,0
7,1,1,2,1,2,13,2,1,4,3,1,5,2,1,5,2,1,4,5,-1,-1,-1,10,48,42,27,28,31,32,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,175,8,-16,16,2,-4,4,4,4,2,0,1,0,0,8,0,1,0,20,1,0,0,1,0,0,0
8,0,1,1,2,2,13,2,1,3,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,31,50,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,60,36,36,9,3,3,4,8,3,6,0,24,4,8,24,0,0,69,0,1,0,0,0,0,0
9,0,1,1,2,2,13,2,1,3,4,5,1,1,5,5,2,1,4,5,-1,-1,-1,13,48,42,27,31,50,34,25,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,197,84,60,60,7,1,1,12,12,0,7,0,36,12,0,36,0,8,112,0,1,0,0,0,0,0
10,1,1,2,2,1,11,2,1,4,3,1,2,5,2,1,4,5,-1,-1,-1,-1,-1,12,48,42,27,28,31,27,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,16,-8,8,3,-3,3,4,8,2,1,0,0,8,8,0,1,0,12,1,0,0,0,0,0,0
11,1,1,2,1,1,12,2,1,4,3,1,2,5,5,2,1,4,5,-1,-1,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,92,68,68,9,3,3,4,12,1,8,0,36,4,16,36,0,8,123,1,0,0,0,0,0,0
12,1,1,2,1,2,14,2,1,4,3,1,2,5,2,5,5,2,1,4,5,-1,-1,13,48,42,27,28,31,27,29,39,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,215,92,68,68,9,3,3,4,12,1,8,0,36,4,16,36,0,8,123,1,0,0,0,0,0,0
13,1,1,2,1,1,12,2,1,4,3,1,5,2,5,2,1,4,5,-1,-1,-1,-1,13,48,42,27,28,31,32,29,45,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,217,8,-16,16,2,-4,4,4,4,2,0,1,0,0,8,0,1,0,20,1,0,0,1,0,0,0
14,1,1,2,1,2,13,2,1,4,3,1,5,2,2,5,2,1,4,5,-1,-1,-1,12,48,42,27,28,31,32,29,39,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,217,28,4,4,3,-3,3,8,12,0,3,0,0,12,16,0,1,8,18,1,0,0,0,0,0,0
15,1,1,2,1,2,14,2,1,4,3,1,5,2,2,5,5,2,1,4,5,-1,-1,13,48,42,27,28,31,32,29,39,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,217,152,128,128,9,3,3,8,20,0,9,0,60,8,24,60,0,16,216,1,0,0,0,0,0,0
16,1,1,2,1,2,14,2,1,4,3,1,5,2,5,2,5,2,1,4,5,-1,-1,15,48,42,27,28,31,32,29,45,39,45,39,29,28,34,44,-1,-1,-1,-1,-1,2,217,8,-16,16,2,-4,4,4,4,2,0,1,0,0,8,0,1,0,20,1,0,0,1,0,0,0
17,1,1,2,1,2,14,2,1,4,3,1,5,2,5,5,2,1,4,5,2,-1,-1,12,48,42,27,28,31,32,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,217,56,32,32,6,0,0,8,12,0,6,0,0,32,24,0,1,16,54,1,0,0,0,0,0,0
18,1,1,2,2,1,12,2,1,4,3,1,5,5,2,1,4,5,2,-1,-1,-1,-1,12,48,42,27,28,31,32,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,219,56,32,32,6,0,0,8,12,0,6,0,0,32,24,0,1,16,54,1,0,0,0,0,0,0
19,1,1,2,1,2,14,2,1,4,3,1,5,2,1,5,5,2,1,4,5,-1,-1,13,48,42,27,28,31,32,29,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,2,219,28,4,4,7,1,1,4,4,7,0,1,12,4,0,12,0,8,25,1,0,0,0,0,0,0
20,1,1,2,1,2,14,2,1,4,3,1,5,5,2,5,5,2,1,4,5,-1,-1,12,48,42,27,28,31,32,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,219,152,128,128,9,3,3,8,20,0,9,0,60,8,24,60,0,16,216,1,0,0,0,0,0,0
21,0,1,1,2,2,12,2,1,3,4,5,1,4,5,5,1,4,5,-1,-1,-1,-1,10,48,42,27,31,50,34,54,35,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,223,8,-16,16,2,-4,4,4,4,2,0,1,0,0,0,8,0,8,36,0,1,0,0,0,0,0
22,0,1,1,2,2,14,2,1,3,4,5,1,3,4,5,5,2,1,4,5,-1,-1,15,48,42,27,31,50,34,32,31,50,54,45,29,28,34,44,-1,-1,-1,-1,-1,2,223,48,24,24,6,0,0,8,8,0,6,0,24,8,16,0,1,8,38,0,1,0,0,0,0,0
23,0,1,1,2,2,14,2,1,3,4,5,1,4,5,5,2,1,4,5,2,-1,-1,12,48,42,27,31,50,34,54,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,223,48,24,24,6,0,0,8,8,0,6,0,0,32,16,0,1,8,38,0,1,0,0,0,0,0
24,0,1,1,2,2,14,2,1,3,4,5,1,4,5,5,2,5,1,4,5,-1,-1,11,48,42,27,31,50,34,54,45,29,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,223,8,-16,16,1,-5,5,8,8,0,1,0,0,0,8,0,1,0,22,0,1,0,0,0,0,0
