gate_path_id,path_step_index,word_class_code,gate_flag,anchor_edit_radius,component_id,word_length,word_symbol_0_id,word_symbol_1_id,word_symbol_2_id,word_symbol_3_id,word_symbol_4_id,word_symbol_5_id,word_symbol_6_id,word_symbol_7_id,word_symbol_8_id,word_symbol_9_id,word_symbol_10_id,word_symbol_11_id,word_symbol_12_id,word_symbol_13_id,word_symbol_14_id,word_symbol_15_id,trace_node_count,trace_node_0_id,trace_node_1_id,trace_node_2_id,trace_node_3_id,trace_node_4_id,trace_node_5_id,trace_node_6_id,trace_node_7_id,trace_node_8_id,trace_node_9_id,trace_node_10_id,trace_node_11_id,trace_node_12_id,trace_node_13_id,trace_node_14_id,trace_node_15_id,trace_node_16_id,trace_node_17_id,trace_node_18_id,trace_node_19_id,metric_gromov_delta_twice,trace_signature_total_variation,repair_chord_flag,first_return_closed_path_count,normalized_tail_template_count,all_four_lift_flag,tail_entry_9_path_count,tail_entry_10_path_count,tail_entry_11_path_count,tail_entry_13_path_count
0,0,0,0,0,0,13,2,1,3,4,5,1,4,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,31,50,34,54,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,223,1,24,6,1,12,4,8,0
0,1,0,0,1,0,13,2,1,3,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,31,50,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,1,60,9,0,24,4,8,24
0,2,1,1,2,-1,12,2,1,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,-1,11,48,42,27,28,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,185,0,30,9,0,12,2,4,12
0,3,0,0,1,1,12,2,1,4,3,1,2,5,5,2,1,4,5,-1,-1,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,1,92,9,0,36,4,16,36
0,4,0,0,0,1,13,2,1,4,3,1,5,2,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,28,31,32,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,217,1,28,7,1,12,4,0,12
1,0,0,0,0,0,13,2,1,3,4,5,1,4,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,31,50,34,54,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,223,1,24,6,1,12,4,8,0
1,1,0,0,1,0,13,2,1,3,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,12,48,42,27,31,50,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,195,1,60,9,0,24,4,8,24
1,2,1,1,2,-1,12,2,1,4,5,1,2,5,5,2,1,4,5,-1,-1,-1,-1,11,48,42,27,28,34,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,185,0,30,9,0,12,2,4,12
1,3,0,0,1,1,12,2,1,4,3,1,2,5,5,2,1,4,5,-1,-1,-1,-1,12,48,42,27,28,31,27,29,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,215,1,92,9,0,36,4,16,36
1,4,0,0,0,1,11,2,1,4,3,1,5,5,2,1,4,5,-1,-1,-1,-1,-1,12,48,42,27,28,31,32,35,45,29,28,34,44,-1,-1,-1,-1,-1,-1,-1,-1,2,219,1,28,7,1,12,4,0,12
